Company Name,Asset Type,Percentage Allocation
HDFC Bank Ltd.,Equity,8.75%
ICICI Bank Ltd.,Equity,8.27%
Reliance Industries Ltd.,Equity,6.92%
Infosys Ltd.,Equity,4.41%
State Bank Of India,Equity,4.31%
Tata Consultancy Services Ltd.,Equity,3.93%
Larsen & Toubro Ltd.,Equity,3.00%
ITC Ltd.,Equity,2.87%
Kotak Mahindra Bank Ltd.,Equity,2.80%
National Thermal Power Corporation Ltd.,Equity,2.67%
Avenue Supermarts Ltd.,Equity,2.56%
GAIL (India) Ltd.,Equity,2.53%
Divi Laboratories Ltd.,Equity,2.15%
Maruti Suzuki India Ltd.,Equity,2.10%
Indusind Bank Ltd.,Equity,2.09%
Net Receivables/(Payable),Others,2.08%
Tata Motors - DVR - A - ORDY,Equity,2.07%
Bharti Airtel Ltd.,Equity,2.05%
Cholamandalam Investment & Finance Company Ltd.,Equity,1.94%
Grasim Industries Ltd.,Equity,1.94%
Nestle India Ltd.,Equity,1.87%
Triparty Repo,Others,1.81%
Havells India Ltd.,Equity,1.76%
Mphasis Ltd.,Equity,1.67%
Tata Steel Ltd.,Equity,1.55%
Siemens Ltd.,Equity,1.54%
Hindalco Industries Ltd.,Equity,1.48%
Wipro Ltd.,Equity,1.41%
Natco Pharma Ltd.,Equity,1.31%
Marico Ltd.,Equity,1.17%
Aurobindo Pharma Ltd.,Equity,1.16%
Canara Bank,Equity,1.14%
Balrampur Chini Mills Ltd.,Equity,1.12%
Tech Mahindra Ltd.,Equity,1.11%
Honeywell Automation India Ltd.,Equity,1.05%
Dabur India Ltd.,Equity,1.04%
Coal India Ltd.,Equity,1.02%
Bank Of India,Equity,1.02%
CESC Ltd.,Equity,1.01%
Jio Financial Services Ltd.,Equity,0.97%
Bharat Electronics Ltd.,Equity,0.97%
Fsn ECommerce Ventures Ltd.,Equity,0.96%
Gland Pharma Ltd.,Equity,0.94%
SRF Ltd.,Equity,0.76%
ICICI Prudential Life Insurance Company Ltd.,Equity,0.72%
