Company Name,Asset Type,Percentage Allocation
HDFC Bank Ltd.,Equity,9.94%
ICICI Bank Ltd.,Equity,9.33%
Infosys Ltd.,Equity,7.33%
Reliance Industries Ltd.,Equity,7.30%
Axis Bank Ltd.,Equity,5.10%
Bharti Airtel Ltd.,Equity,3.94%
State Bank Of India,Equity,3.48%
Triparty Repo,Others,3.44%
Larsen & Toubro Ltd.,Equity,3.39%
Kotak Mahindra Bank Ltd.,Equity,2.77%
Hindustan Unilever Ltd.,Equity,2.53%
HCL Technologies Ltd.,Equity,2.33%
ITC Ltd.,Equity,2.31%
Maruti Suzuki India Ltd.,Equity,2.29%
Tata Consultancy Services Ltd.,Equity,2.03%
Sun Pharmaceuticals Ind Ltd.,Equity,1.96%
Fsn ECommerce Ventures Ltd.,Equity,1.57%
National Thermal Power Corporation Ltd.,Equity,1.56%
Ambuja Cements Ltd.,Equity,1.38%
Avenue Supermarts Ltd.,Equity,1.25%
SBI Cards & Payment Services Pvt. Ltd.,Equity,1.24%
One 97 Communications Ltd.,Equity,1.13%
Eicher Motors Ltd.,Equity,1.10%
Crompton Greaves Consumer Electrcials Ltd.,Equity,1.09%
Dabur India Ltd.,Equity,1.06%
Sona Blw Precision Forgings Ltd.,Equity,1.04%
Gland Pharma Ltd.,Equity,1.01%
SBI Life Insurance Company Ltd.,Equity,0.97%
Tata Steel Ltd.,Equity,0.97%
Indian Energy Exchange Ltd.,Equity,0.96%
Kajaria Ceramics Ltd.,Equity,0.91%
Max Financial Services Ltd.,Equity,0.88%
Havells India Ltd.,Equity,0.87%
PI Industries Ltd.,Equity,0.82%
Biocon Ltd.,Equity,0.80%
Shriram Finance Ltd.(Erstwhile Shriram Transport Finance Company Limited),Equity,0.78%
SRF Ltd.,Equity,0.76%
Jubilant Foodworks Ltd.,Equity,0.75%
UPL Ltd. (Erstwhile United Phosphorus Ltd.),Equity,0.67%
ICICI Lombard General Insurance Company Ltd.,Equity,0.66%
Voltas Ltd.,Equity,0.63%
EPL Ltd. (Erstwhile Essel Propack Ltd.),Equity,0.61%
Timken India Ltd.,Equity,0.58%
Nuvoco Vistas Corporation Ltd.,Equity,0.56%
Chemplast Sanmar Ltd.,Equity,0.52%
Britannia Industries Ltd.,Equity,0.51%
Mphasis Ltd.,Equity,0.49%
Vinati Organics Ltd.,Equity,0.42%
Zomato Ltd.,Equity,0.36%
Krishna Institute of Medical Sciences Ltd.,Equity,0.31%
Ultratech Cement Ltd.,Equity,0.29%
Ashok Leyland Ltd.,Equity,0.22%
Bharat Electronics Ltd.,Equity,0.18%
Torrent Pharmaceuticals Ltd.,Equity,0.16%
The Federal Bank Ltd.,Equity,0.12%
TVS Motor Company Ltd.,Equity,0.09%
Net Receivables/(Payable),Others,0.08%
Asian Paints Ltd.,Equity,0.06%
Titan Company Ltd.,Equity,0.05%
Indian Bank,Equity,0.04%
Mirae Asset Mutual Fund (Mirae Asset Nifty 50 ETF),Equity,0.02%
National Aluminium Company Ltd.,Equity,0.01%
Bank Of Baroda,Equity,0.01%
Mirae Asset Mutual Fund,Debt,0.00%
Balkrishna Industries Ltd.,Equity,0.00%
