Company Name,Asset Type,Percentage Allocation
HDFC Bank Ltd.,Equity,9.43%
ICICI Bank Ltd.,Equity,7.25%
Reliance Industries Ltd.,Equity,6.14%
State Bank Of India,Equity,5.75%
Larsen & Toubro Ltd.,Equity,4.71%
ITC Ltd.,Equity,4.57%
Axis Bank Ltd.,Equity,4.20%
National Thermal Power Corporation Ltd.,Equity,3.31%
Tata Power Company Ltd.,Equity,3.29%
Infosys Ltd.,Equity,3.05%
Bajaj Finance Ltd.,Equity,2.94%
HCL Technologies Ltd.,Equity,2.61%
Chalet Hotels Ltd.,Equity,2.32%
The Indian Hotels Company Ltd.,Equity,2.17%
Hindustan Unilever Ltd.,Equity,2.16%
Tata Motors Ltd.,Equity,2.12%
Zomato Ltd.,Equity,1.96%
Triparty Repo,Others,1.87%
Tata Steel Ltd.,Equity,1.73%
Zee Entertainment Enterprises Ltd.,Equity,1.59%
SBI Cards & Payment Services Pvt. Ltd.,Equity,1.54%
EIH Ltd.,Equity,1.40%
Siemens Ltd.,Equity,1.39%
HDFC Asset Management Company Ltd.,Equity,1.27%
Hero Motocorp Ltd.,Equity,1.23%
GE T&D India Ltd.,Equity,1.08%
Tata Consumer Products Ltd.,Equity,1.08%
SBI Life Insurance Company Ltd.,Equity,1.06%
Mahindra & Mahindra Ltd.,Equity,1.03%
Sun Pharmaceuticals Ind Ltd.,Equity,0.97%
Coal India Ltd.,Equity,0.93%
ABB India Ltd.,Equity,0.87%
Samvardhana Motherson International Ltd. (Erstwhile Motherson Sumi Systems Ltd.),Equity,0.86%
Union Bank Of India,Equity,0.82%
Gland Pharma Ltd.,Equity,0.80%
PVR INOX Ltd.,Equity,0.78%
Jindal Steel & Power Ltd.,Equity,0.74%
Honeywell Automation India Ltd.,Equity,0.74%
ICICI Lombard General Insurance Company Ltd.,Equity,0.70%
One 97 Communications Ltd.,Equity,0.63%
Colgate-Palmolive Ltd.,Equity,0.62%
Kotak Mahindra Bank Ltd.,Equity,0.61%
REC Ltd.,Equity,0.61%
Linde India Ltd.,Equity,0.60%
3M India Ltd.,Equity,0.56%
Godrej Consumer Products Ltd.,Equity,0.56%
Bharat Electronics Ltd.,Equity,0.55%
Tech Mahindra Ltd.,Equity,0.54%
Ultratech Cement Ltd.,Equity,0.52%
Divi Laboratories Ltd.,Equity,0.49%
Mankind Pharma Ltd.,Equity,0.49%
Max Financial Services Ltd.,Equity,0.48%
United Breweries Ltd.,Equity,0.45%
Tata Technologies Ltd.,Equity,0.06%
Cash Margin,Debt,0.00%
Current Assets,Others,-0.23%
