Company Name,Asset Type,Percentage Allocation
ICICI Bank Ltd.,Equity,8.69%
HDFC Bank Ltd.,Equity,8.59%
Reliance Industries Ltd.,Equity,6.38%
Bharti Airtel Ltd.,Equity,4.88%
Axis Bank Ltd.,Equity,4.33%
Kotak Mahindra Bank Ltd.,Equity,4.27%
Tata Consultancy Services Ltd.,Equity,3.69%
Bajaj Finance Ltd.,Equity,3.53%
Ltimindtree Ltd.,Equity,3.44%
Titan Company Ltd.,Equity,3.42%
Infosys Ltd.,Equity,3.35%
Ultratech Cement Ltd.,Equity,3.32%
Larsen & Toubro Ltd.,Equity,3.19%
Avenue Supermarts Ltd.,Equity,2.87%
Maruti Suzuki India Ltd.,Equity,2.71%
Sun Pharmaceuticals Ind Ltd.,Equity,2.69%
United Spirits Ltd.,Equity,2.59%
Triparty Repo,Others,2.44%
Hindustan Unilever Ltd.,Equity,2.41%
Interglobe Aviation Ltd.,Equity,2.08%
Mahindra & Mahindra Ltd.,Equity,2.01%
Mankind Pharma Ltd.,Equity,2.00%
Cholamandalam Investment & Finance Company Ltd.,Equity,1.99%
PI Industries Ltd.,Equity,1.78%
Varun Beverages Ltd.,Equity,1.76%
Bharat Electronics Ltd.,Equity,1.61%
National Thermal Power Corporation Ltd.,Equity,1.54%
ITC Ltd.,Equity,1.35%
ICICI Lombard General Insurance Company Ltd.,Equity,1.03%
TVS Motor Company Ltd.,Equity,1.02%
The Indian Hotels Company Ltd.,Equity,1.01%
Divi Laboratories Ltd.,Equity,0.99%
SRF Ltd.,Equity,0.97%
Zomato Ltd.,Equity,0.80%
Britannia Industries Ltd.,Equity,0.78%
Havells India Ltd.,Equity,0.46%
Treasury Bill (364D),Others,0.18%
Net Receivables/(Payable),Others,-0.16%
