Company Name,Asset Type,Percentage Allocation
Triparty Repo,Others,16.31%
Reliance Industries Ltd.,Equity,9.54%
Jio Financial Services Ltd.,Equity,8.67%
Adani Power Ltd.,Equity,8.57%
GAIL (India) Ltd.,Equity,8.15%
Sun Pharmaceuticals Ind Ltd.,Equity,7.64%
Life Insurance Corporation of India,Equity,7.25%
Hindalco Industries Ltd.,Equity,6.73%
Ambuja Cements Ltd.,Equity,6.07%
Jindal Steel & Power Ltd.,Equity,5.21%
Britannia Industries Ltd.,Equity,4.78%
Britannia Industries Ltd.,Equity,4.26%
Treasury Bill (91D),Others,3.48%
Adani Green Energy Ltd.,Equity,3.38%
Godrej Consumer Products Ltd.,Equity,3.33%
Tata Consumer Products Ltd.,Equity,3.07%
Godrej Consumer Products Ltd.,Equity,2.53%
Aurobindo Pharma Ltd.,Equity,2.43%
GAIL (India) Ltd.,Equity,1.76%
Nestle India Ltd.,Equity,0.81%
Treasury Bill (91D),Others,0.71%
Current Assets,Others,-14.69%
