Company Name,Asset Type,Percentage Allocation
HDFC Bank Ltd.,Equity,10.04%
ICICI Bank Ltd.,Equity,7.35%
Larsen & Toubro Ltd.,Equity,6.01%
ITC Ltd.,Equity,5.21%
Bajaj Finance Ltd.,Equity,4.74%
Infosys Ltd.,Equity,4.26%
Triparty Repo,Others,3.77%
Reliance Industries Ltd.,Equity,3.61%
Britannia Industries Ltd.,Equity,2.94%
Page Industries Ltd.,Equity,2.81%
Divi Laboratories Ltd.,Equity,2.50%
Eicher Motors Ltd.,Equity,2.39%
Cholamandalam Investment & Finance Company Ltd.,Equity,2.11%
Hindustan Unilever Ltd.,Equity,2.08%
Kotak Mahindra Bank Ltd.,Equity,2.06%
Bharti Airtel Ltd.,Equity,2.00%
Mahindra & Mahindra Ltd.,Equity,1.99%
Sun Pharmaceuticals Ind Ltd.,Equity,1.85%
Hindalco Industries Ltd.,Equity,1.84%
Shree Cement Ltd.,Equity,1.81%
Maruti Suzuki India Ltd.,Equity,1.66%
DLF Ltd.,Equity,1.59%
Ultratech Cement Ltd.,Equity,1.55%
Sona Blw Precision Forgings Ltd.,Equity,1.48%
Bajaj Auto Ltd.,Equity,1.40%
HDFC Life Insurance Company Ltd.,Equity,1.37%
Cummins India Ltd.,Equity,1.36%
Thermax Ltd.,Equity,1.23%
Mankind Pharma Ltd.,Equity,1.19%
TVS Motor Company Ltd.,Equity,1.09%
Cipla Ltd.,Equity,1.06%
Samvardhana Motherson International Ltd. (Erstwhile Motherson Sumi Systems Ltd.),Equity,1.04%
ICICI Prudential Life Insurance Company Ltd.,Equity,1.03%
Axis Bank Ltd.,Equity,1.01%
Tube Investments Of India Ltd.,Equity,1.01%
ICICI Lombard General Insurance Company Ltd.,Equity,0.99%
Schaeffler India Ltd.,Equity,0.97%
Hero Motocorp Ltd.,Equity,0.95%
Avenue Supermarts Ltd.,Equity,0.88%
Godrej Properties Ltd.,Equity,0.79%
Asian Paints Ltd.,Equity,0.78%
SKF India Ltd.,Equity,0.73%
Motherson Sumi Wiring India Ltd.,Equity,0.63%
PI Industries Ltd.,Equity,0.49%
Max Healthcare Institute Ltd.,Equity,0.39%
Indian Oil Corporation Ltd.,Equity,0.39%
Life Insurance Corporation of India,Equity,0.38%
Jio Financial Services Ltd.,Equity,0.33%
State Bank Of India,Equity,0.30%
Zomato Ltd.,Equity,0.20%
Net Receivables/(Payable),Others,0.20%
Hindustan Petroleum Corporation Ltd.,Equity,0.06%
Treasury Bill (182D),Others,0.06%
Treasury Bill (364D),Others,0.06%
Other Margin,Debt,0.01%
