Company Name,Asset Type,Percentage Allocation
HDFC Bank Ltd.,Equity,9.42%
Reliance Industries Ltd.,Equity,8.08%
ICICI Bank Ltd.,Equity,7.42%
Larsen & Toubro Ltd.,Equity,6.74%
Infosys Ltd.,Equity,5.57%
State Bank Of India,Equity,4.15%
Axis Bank Ltd.,Equity,3.85%
Sun Pharmaceuticals Ind Ltd.,Equity,3.69%
Bharti Airtel Ltd.,Equity,2.32%
Tata Consultancy Services Ltd.,Equity,2.32%
Maruti Suzuki India Ltd.,Equity,2.22%
Hindustan Unilever Ltd.,Equity,2.07%
Tata Motors - DVR - A - ORDY,Equity,2.04%
Bajaj Finserv Ltd.,Equity,1.92%
Indusind Bank Ltd.,Equity,1.91%
Ultratech Cement Ltd.,Equity,1.86%
National Thermal Power Corporation Ltd.,Equity,1.83%
Varun Beverages Ltd.,Equity,1.76%
Cipla Ltd.,Equity,1.58%
Interglobe Aviation Ltd.,Equity,1.49%
Ashok Leyland Ltd.,Equity,1.48%
Cholamandalam Investment & Finance Company Ltd.,Equity,1.48%
Bajaj Finance Ltd.,Equity,1.38%
Triparty Repo,Others,1.36%
Tech Mahindra Ltd.,Equity,1.28%
HCL Technologies Ltd.,Equity,1.26%
ITC Ltd.,Equity,1.23%
Ltimindtree Ltd.,Equity,1.13%
Nestle India Ltd.,Equity,1.11%
United Spirits Ltd.,Equity,1.09%
Titan Company Ltd.,Equity,1.05%
Tata Consumer Products Ltd.,Equity,0.99%
Sona Blw Precision Forgings Ltd.,Equity,0.95%
Dr Reddys Laboratories Ltd.,Equity,0.90%
Procter & Gamble Hygiene & Healthcare Ltd.,Equity,0.87%
Hindalco Industries Ltd.,Equity,0.86%
Asian Paints Ltd.,Equity,0.82%
Alkem Laboratories Ltd.,Equity,0.81%
Avenue Supermarts Ltd.,Equity,0.77%
Fsn ECommerce Ventures Ltd.,Equity,0.77%
Kotak Mahindra Bank Ltd.,Equity,0.74%
Jio Financial Services Ltd.,Equity,0.73%
Info Edge (India) Ltd.,Equity,0.72%
SBI Life Insurance Company Ltd.,Equity,0.61%
Britannia Industries Ltd.,Equity,0.61%
Havells India Ltd.,Equity,0.52%
NIIT Learning Systems Ltd.,Equity,0.49%
Tata Steel Ltd.,Equity,0.33%
Apollo Hospitals Enterprise Ltd.,Equity,0.32%
Canara Bank,Equity,0.29%
Marico Ltd.,Equity,0.27%
ABB India Ltd.,Equity,0.25%
Dalmia Bharat Ltd.,Equity,0.22%
Tata Motors Ltd.,Equity,0.14%
5.5 Britannia Industries Ltd. Jun  3 2024,Debt,0.00%
Cash,Others,-0.08%
