Company Name,Asset Type,Percentage Allocation
HDFC Bank Ltd.,Equity,12.68%
Reliance Industries Ltd.,Equity,6.87%
Larsen & Toubro Ltd.,Equity,5.15%
ICICI Bank Ltd.,Equity,4.65%
Infosys Ltd.,Equity,4.64%
Axis Bank Ltd.,Equity,3.89%
Kotak Mahindra Bank Ltd.,Equity,3.44%
Tata Consultancy Services Ltd.,Equity,3.03%
Hindustan Unilever Ltd.,Equity,2.66%
National Thermal Power Corporation Ltd.,Equity,2.60%
Bajaj Auto Ltd.,Equity,1.98%
Cyient Ltd.,Equity,1.98%
State Bank Of India,Equity,1.98%
Tata Motors Ltd.,Equity,1.72%
Power Grid Corporation Of India Ltd.,Equity,1.71%
Adani Ports and Special Economic Zone Ltd.,Equity,1.66%
Godrej Consumer Products Ltd.,Equity,1.65%
Mahindra & Mahindra Ltd.,Equity,1.63%
DLF Ltd.,Equity,1.57%
Havells India Ltd.,Equity,1.55%
ITC Ltd.,Equity,1.49%
Bharat Heavy Electricals Ltd.,Equity,1.46%
Grasim Industries Ltd.,Equity,1.45%
Ambuja Cements Ltd.,Equity,1.40%
Tata Power Company Ltd.,Equity,1.38%
Tech Mahindra Ltd.,Equity,1.37%
Sun Pharmaceuticals Ind Ltd.,Equity,1.36%
Avenue Supermarts Ltd.,Equity,1.32%
Siemens Ltd.,Equity,1.30%
Colgate-Palmolive Ltd.,Equity,1.30%
PNB Housing Finance Ltd.,Equity,1.27%
Power Finance Corporation Ltd.,Equity,1.27%
Dabur India Ltd.,Equity,1.26%
RBL Bank Ltd.,Equity,1.19%
Kajaria Ceramics Ltd.,Equity,1.16%
Karur Vysya Bank Ltd.,Equity,1.09%
Eicher Motors Ltd.,Equity,1.05%
PI Industries Ltd.,Equity,0.95%
Jio Financial Services Ltd.,Equity,0.94%
Cash,Others,0.91%
Divi Laboratories Ltd.,Equity,0.91%
Honeywell Automation India Ltd.,Equity,0.89%
Cholamandalam Investment & Finance Company Ltd.,Equity,0.89%
Fsn ECommerce Ventures Ltd.,Equity,0.85%
Ltimindtree Ltd.,Equity,0.85%
Repo,Others,0.74%
Zydus Wellness Ltd.,Equity,0.73%
Life Insurance Corporation of India,Equity,0.67%
Mankind Pharma Ltd.,Equity,0.65%
Vedanta Ltd.,Equity,0.50%
ABB India Ltd.,Equity,0.36%
