Company Name,Asset Type,Percentage Allocation
HDFC Bank Ltd.,Equity,8.96%
HCL Technologies Ltd.,Equity,7.20%
State Bank Of India,Equity,5.43%
Axis Bank Ltd.,Equity,5.35%
Coal India Ltd.,Equity,5.32%
ICICI Bank Ltd.,Equity,4.71%
ITC Ltd.,Equity,4.13%
BEML Ltd.,Equity,3.96%
Mahindra & Mahindra Ltd.,Equity,3.57%
National Thermal Power Corporation Ltd.,Equity,2.95%
Tech Mahindra Ltd.,Equity,2.95%
Infosys Ltd.,Equity,2.80%
National Fertilizers Ltd.,Equity,2.77%
DLF Ltd.,Equity,2.70%
Computer Age Management Services Ltd.,Equity,2.68%
Eicher Motors Ltd.,Equity,2.50%
Info Edge (India) Ltd.,Equity,2.49%
Cipla Ltd.,Equity,2.37%
ICICI Lombard General Insurance Company Ltd.,Equity,2.20%
Varun Beverages Ltd.,Equity,2.17%
Dr Reddys Laboratories Ltd.,Equity,2.14%
Apollo Hospitals Enterprise Ltd.,Equity,2.12%
Sun Pharmaceuticals Ind Ltd.,Equity,2.09%
JSW Steel Ltd.,Equity,1.95%
Maruti Suzuki India Ltd.,Equity,1.94%
Power Grid Corporation Of India Ltd.,Equity,1.92%
Tata Steel Ltd.,Equity,1.92%
Tata Motors Ltd.,Equity,1.66%
Net Receivables/(Payable),Others,1.63%
Triparty Repo,Others,1.60%
Reliance Industries Ltd.,Equity,1.57%
Titan Company Ltd.,Equity,1.26%
NBCC (India) Ltd.,Equity,0.98%
