Company Name,Asset Type,Percentage Allocation
HDFC Bank Ltd.,Equity,8.75%
HCL Technologies Ltd.,Equity,7.05%
Axis Bank Ltd.,Equity,5.59%
Coal India Ltd.,Equity,5.19%
State Bank Of India,Equity,5.11%
ICICI Bank Ltd.,Equity,4.74%
BEML Ltd.,Equity,4.17%
ITC Ltd.,Equity,4.17%
Mahindra & Mahindra Ltd.,Equity,3.65%
Computer Age Management Services Ltd.,Equity,3.60%
Apollo Hospitals Enterprise Ltd.,Equity,3.18%
Tech Mahindra Ltd.,Equity,3.03%
Infosys Ltd.,Equity,2.83%
Varun Beverages Ltd.,Equity,2.66%
National Thermal Power Corporation Ltd.,Equity,2.65%
Eicher Motors Ltd.,Equity,2.52%
DLF Ltd.,Equity,2.49%
Cipla Ltd.,Equity,2.46%
ICICI Lombard General Insurance Company Ltd.,Equity,2.45%
Info Edge (India) Ltd.,Equity,2.39%
Dr Reddys Laboratories Ltd.,Equity,2.29%
Sun Pharmaceuticals Ind Ltd.,Equity,2.18%
Maruti Suzuki India Ltd.,Equity,2.14%
JSW Steel Ltd.,Equity,1.90%
Tata Steel Ltd.,Equity,1.89%
Net Receivables/(Payable),Others,1.85%
National Fertilizers Ltd.,Equity,1.84%
Power Grid Corporation Of India Ltd.,Equity,1.82%
Tata Motors Ltd.,Equity,1.61%
Reliance Industries Ltd.,Equity,1.55%
Titan Company Ltd.,Equity,1.28%
NBCC (India) Ltd.,Equity,0.98%
