Company Name,Asset Type,Percentage Allocation
HDFC Bank Ltd.,Equity,9.17%
ICICI Bank Ltd.,Equity,7.17%
Reliance Industries Ltd.,Equity,5.94%
Larsen & Toubro Ltd.,Equity,5.29%
Infosys Ltd.,Equity,4.98%
National Thermal Power Corporation Ltd.,Equity,3.35%
Axis Bank Ltd.,Equity,3.10%
Bharti Airtel Ltd.,Equity,3.07%
ITC Ltd.,Equity,2.66%
State Bank Of India,Equity,2.55%
Tata Motors - DVR - A - ORDY,Equity,2.48%
Ultratech Cement Ltd.,Equity,2.47%
Tata Consultancy Services Ltd.,Equity,2.44%
Triparty Repo,Others,2.09%
Bajaj Auto Ltd.,Equity,2.04%
Titan Company Ltd.,Equity,1.93%
HCL Technologies Ltd.,Equity,1.85%
Sun Pharmaceuticals Ind Ltd.,Equity,1.80%
Coal India Ltd.,Equity,1.72%
HDFC Asset Management Company Ltd.,Equity,1.69%
SBI Life Insurance Company Ltd.,Equity,1.60%
Canara Bank,Equity,1.59%
Varun Beverages Ltd.,Equity,1.57%
Kotak Mahindra Bank Ltd.,Equity,1.57%
Bajaj Finance Ltd.,Equity,1.53%
Ltimindtree Ltd.,Equity,1.51%
Shriram Finance Ltd.(Erstwhile Shriram Transport Finance Company Limited),Equity,1.49%
TVS Motor Company Ltd.,Equity,1.43%
Maruti Suzuki India Ltd.,Equity,1.35%
Zomato Ltd.,Equity,1.29%
Mahindra & Mahindra Ltd.,Equity,1.25%
Bharat Electronics Ltd.,Equity,1.22%
Tata Consumer Products Ltd.,Equity,1.21%
CG Power & Industrial Solutions Ltd.,Equity,1.18%
REC Ltd.,Equity,1.16%
Gland Pharma Ltd.,Equity,1.08%
Hindalco Industries Ltd.,Equity,1.05%
Max Healthcare Institute Ltd.,Equity,1.03%
The Phoenix Mills Ltd.,Equity,0.99%
3M India Ltd.,Equity,0.89%
Polycab India Ltd.,Equity,0.88%
Trent Ltd.,Equity,0.83%
Avenue Supermarts Ltd.,Equity,0.80%
Oberoi Realty Ltd.,Equity,0.75%
Tech Mahindra Ltd.,Equity,0.73%
Tata Steel Ltd.,Equity,0.70%
Jio Financial Services Ltd.,Equity,0.64%
Nestle India Ltd.,Equity,0.61%
Hindustan Aeronautics Ltd.,Equity,0.49%
Treasury Bill (182D),Others,0.04%
Net Receivables/(Payable),Others,-0.27%
