Company Name,Asset Type,Percentage Allocation
CBLO(CCIL),Others,4.78%
Canara Bank,Others,4.35%
Bank Of Baroda,Others,4.33%
5.53 National Bank For Agriculture & Rural Development (Nabard) Feb 22 2024,Debt,3.79%
Kotak Mahindra Prime Ltd.,Debt,2.92%
Tata Capital Financial Services Ltd. (91D),Others,2.91%
Aditya Birla Finance Ltd. (91D),Others,2.91%
Aditya Birla Finance Ltd. (91D),Others,2.91%
Kotak Mahindra Bank Ltd.,Others,2.90%
Union Bank Of India,Others,2.90%
Axis Bank Ltd.,Others,2.90%
Small Industries Development Bank Of India (211D),Others,2.90%
Kotak Mahindra Bank Ltd.,Others,2.90%
Punjab National Bank,Others,2.90%
HDFC Securities Ltd. (91D),Others,2.90%
National Bank For Agriculture & Rural Development (Nabard) (90D),Others,2.90%
Axis Finance Ltd. (91D),Others,2.90%
Reliance Retail Ventures Ltd. (91D),Others,2.90%
REC Ltd. (137D),Others,2.89%
Canara Bank,Others,2.89%
HDFC Bank Ltd.,Others,2.89%
HDFC Bank Ltd.,Others,2.89%
HDFC Securities Ltd. (91D),Others,2.89%
National Bank For Agriculture & Rural Development (Nabard) (91D),Others,2.89%
Canara Bank,Others,2.88%
5.14 National Bank For Agriculture & Rural Development (Nabard) Jan 31 2024,Debt,2.34%
HDFC Bank Ltd.,Others,1.46%
Axis Bank Ltd.,Others,1.45%
Standard Chartered Capital Ltd. (Erstwhile Standard Chartered Investments & Loans (India) Ltd.) (203D),Others,1.45%
Punjab National Bank,Others,1.45%
Axis Bank Ltd.,Others,1.45%
Canara Bank,Others,1.45%
Union Bank Of India,Others,1.45%
Punjab National Bank,Others,1.45%
Punjab National Bank,Others,1.45%
ICICI Securities Ltd. (364D),Others,1.44%
HDFC Bank Ltd. (364D),Others,1.44%
Treasury Bill (364D),Others,0.88%
Net Receivables/(Payable),Others,0.87%
Bank Of Baroda,Others,0.86%
9.6 Export Import Bank Of India Feb  7 2024,Debt,0.29%
Small Industries Development Bank Of India (90D),Others,0.29%
Treasury Bill (364D),Others,0.29%
Treasury Bill (91D),Others,0.10%
Treasury Bill (91D),Others,0.03%
