Company Name,Asset Type,Percentage Allocation
Triparty Repo,Others,16.08%
Bank Of Baroda,Others,8.69%
Treasury Bill (91D),Others,8.48%
Treasury Bill (91D),Others,6.73%
Reliance Retail Ventures Ltd. (91D),Others,4.83%
HDFC Bank Ltd. (364D),Others,4.06%
Reliance Retail Ventures Ltd. (91D),Others,3.85%
Bajaj Finance Ltd. (91D),Others,3.62%
HDFC Bank Ltd.,Others,3.60%
Bajaj Finance Ltd. (91D),Others,3.38%
Punjab National Bank,Others,3.37%
Bajaj Finance Ltd. (91D),Others,3.12%
National Bank For Agriculture & Rural Development (Nabard) (90D),Others,2.66%
5.53 National Bank For Agriculture & Rural Development (Nabard) Feb 22 2024,Debt,2.43%
HDFC Bank Ltd.,Others,2.41%
Treasury Bill (91D),Others,2.41%
Canara Bank,Others,2.41%
Indian Bank,Others,2.41%
Canara Bank,Others,2.41%
National Bank For Agriculture & Rural Development (Nabard) (90D),Others,2.41%
HDFC Bank Ltd.,Others,2.40%
5.14 National Bank For Agriculture & Rural Development (Nabard) Jan 31 2024,Debt,2.19%
Small Industries Development Bank Of India,Others,2.13%
Kotak Mahindra Bank Ltd.,Others,2.12%
HDFC Securities Ltd. (91D),Others,1.94%
Tata Capital Housing Finance Ltd. (91D),Others,1.93%
Bajaj Finance Ltd. (91D),Others,1.69%
Kotak Securities Ltd. (91D),Others,1.69%
L&T Finance Ltd. (90D),Others,1.69%
ICICI Securities Ltd. (91D),Others,1.45%
Treasury Bill (91D),Others,1.21%
5.44 National Bank For Agriculture & Rural Development (Nabard) Feb  5 2024,Debt,0.97%
HDFC Securities Ltd. (91D),Others,0.97%
Kotak Securities Ltd. (91D),Others,0.97%
Union Bank Of India,Others,0.96%
Axis Bank Ltd.,Others,0.96%
HDFC Securities Ltd. (91D),Others,0.96%
Small Industries Development Bank Of India (211D),Others,0.72%
7.32 GOI Jan 28 2024,Debt,0.68%
5.8 Kotak Mahindra Prime Ltd. Feb 20 2024,Debt,0.68%
National Bank For Agriculture & Rural Development (Nabard),Others,0.68%
Treasury Bill (91D),Others,0.58%
Small Industries Development Bank Of India,Others,0.49%
National Bank For Agriculture & Rural Development (Nabard) (91D),Others,0.49%
HDFC Securities Ltd. (91D),Others,0.49%
HDFC Bank Ltd.,Others,0.48%
Axis Bank Ltd.,Others,0.48%
Small Industries Development Bank Of India (142D),Others,0.48%
SBI - CDMDF - A2 Units,Others,0.27%
Cash Margin,Debt,0.00%
Current Assets,Others,-22.13%
