Company Name,Asset Type,Percentage Allocation
Treasury Bill (91D),Others,4.85%
Treasury Bill (91D),Others,4.75%
Sikka Ports Terminals (Erst Reliance Ports & Terminals Ltd.) (88D),Others,4.46%
Bajaj Finance Ltd. (91D),Others,4.46%
HDFC Bank Ltd.,Others,4.44%
Punjab National Bank,Others,4.37%
Small Industries Development Bank Of India (90D),Others,3.73%
Ultratech Cement Ltd. (91D),Others,3.73%
Treasury Bill (91D),Others,3.72%
Axis Bank Ltd.,Others,3.72%
Canara Bank,Others,3.71%
Reliance Industries Ltd. (91D),Others,3.71%
REC Ltd. (137D),Others,3.56%
Treasury Bill (364D),Others,3.34%
Treasury Bill (182D),Others,3.11%
Grasim Industries Ltd. (70D),Others,2.98%
Sundaram Finance Ltd. (91D),Others,2.98%
Reliance Retail Ventures Ltd. (91D),Others,2.97%
Hinduja Leyland Finance Ltd. (91D),Others,2.58%
360 One Prime Ltd. (Erstwhile IIFL Wealth Prime Ltd.) (90D),Others,2.24%
HDFC Bank Ltd.,Others,2.23%
PNB Housing Finance Ltd. (91D),Others,2.23%
Axis Bank Ltd.,Others,2.22%
Piramal Capital & Housing Finance Ltd. (Erstwhile Dewan Housing Finance Corporation Ltd.) (72D),Others,2.22%
Shriram Finance Ltd.(Erstwhile Shriram Transport Finance Company Limited) (88D),Others,1.85%
Motilal Oswal Financial Services Ltd. (91D),Others,1.49%
360 ONE WAM LTD.(Erstwhile IIFL WEALTH MANAGEMENT LIMITED) (90D),Others,1.49%
Kotak Mahindra Bank Ltd.,Others,1.49%
Kotak Mahindra Bank Ltd.,Others,1.49%
Reliance Retail Ventures Ltd. (91D),Others,1.49%
Punjab National Bank,Others,1.48%
Small Industries Development Bank Of India,Others,1.42%
Treasury Bill (364D),Others,1.27%
Canara Bank,Others,1.04%
Canara Bank,Others,0.74%
Godrej Housing Finance Ltd. (91D),Others,0.74%
Sundaram Finance Ltd. (91D),Others,0.74%
Small Industries Development Bank Of India,Others,0.74%
Motilal Oswal Financial Services Ltd. (91D),Others,0.59%
5.35 National Housing Bank Feb 12 2024,Debt,0.45%
Treasury Bill (91D),Others,0.37%
Aditya Birla Finance Ltd. (91D),Others,0.37%
Kotak Mahindra Prime Ltd. (353D),Others,0.37%
Axis Bank Ltd.,Others,0.37%
Axis Bank Ltd.,Others,0.37%
Small Industries Development Bank Of India (350D),Others,0.30%
SBI - CDMDF - A2 Units,Others,0.19%
Net Receivables/(Payable),Others,-3.17%
