Company Name,Asset Type,Percentage Allocation
HDFC Bank Ltd.,Others,9.47%
Axis Bank Ltd.,Others,8.27%
Aditya Birla Finance Ltd. (91D),Others,7.44%
Export Import Bank Of India (91D),Others,6.31%
Treasury Bill (364D),Others,5.31%
Union Bank Of India,Others,5.26%
Treasury Bill (182D),Others,4.27%
5.44 National Bank For Agriculture & Rural Development (Nabard) Feb  5 2024,Debt,4.27%
Bank Of Baroda,Others,4.25%
Treasury Bill (91D),Others,4.25%
Kotak Securities Ltd. (91D),Others,4.24%
National Bank For Agriculture & Rural Development (Nabard) (90D),Others,4.23%
Union Bank Of India,Others,4.23%
Bank Of Baroda,Others,4.21%
Triparty Repo,Others,3.80%
5.72 LIC Housing Finance Ltd. Feb 22 2024,Debt,3.20%
Bajaj Finance Ltd. (91D),Others,3.16%
HDFC Securities Ltd. (91D),Others,3.16%
5.84 Bajaj Housing Finance Ltd. Feb 21 2024,Debt,2.13%
HDFC Bank Ltd. (364D),Others,2.12%
Aditya Birla Finance Ltd. (164D),Others,2.12%
ICICI Securities Ltd. (91D),Others,2.11%
HDFC Securities Ltd. (91D),Others,1.06%
Tata Capital Financial Services Ltd. (365D),Others,1.06%
Axis Bank Ltd.,Others,1.06%
REC Ltd. (137D),Others,1.06%
ICICI Securities Ltd. (91D),Others,1.05%
SBI - CDMDF - A2 Units,Others,0.28%
Treasury Bill (91D),Others,0.21%
Net Receivables/(Payable),Others,-3.58%
