Company Name,Asset Type,Percentage Allocation
Triparty Repo,Others,8.19%
Punjab National Bank,Others,5.28%
Bank Of Baroda,Others,4.04%
Treasury Bill (91D),Others,3.02%
Bank Of Baroda,Others,3.02%
Treasury Bill (364D),Others,3.02%
Treasury Bill (364D),Others,3.01%
Canara Bank,Others,2.99%
5.53 National Bank For Agriculture & Rural Development (Nabard) Feb 22 2024,Debt,2.81%
Treasury Bill (364D),Others,2.53%
Canara Bank,Others,2.51%
Treasury Bill (91D),Others,2.51%
Tata Steel Ltd.,Others,2.51%
HDFC Bank Ltd.,Others,2.50%
Treasury Bill (91D),Others,2.27%
Reliance Retail Ventures Ltd.,Others,2.26%
Treasury Bill (91D),Others,2.11%
Poonawalla Fincorp Ltd. (Erstwhile Magma Fincorp Ltd.),Others,2.02%
ICICI Home Finance Company Ltd.,Others,2.01%
Indian Bank,Others,2.01%
Union Bank Of India,Others,2.01%
Reliance Retail Ventures Ltd.,Others,2.01%
Bajaj Financial Securities Ltd.,Others,2.01%
Kotak Securities Ltd.,Others,2.01%
IDFC First Bank Ltd. (Erstwhile IDFC Bank Ltd.),Others,2.01%
HDFC Bank Ltd.,Others,2.00%
Bajaj Finance Ltd.,Others,2.00%
ICICI Securities Ltd.,Others,2.00%
Canara Bank,Others,2.00%
Axis Bank Ltd.,Others,1.95%
Axis Bank Ltd.,Others,1.76%
6 Bharti Hexacom Ltd. Jan 19 2024,Debt,1.66%
Birla Group Holdings Pvt. Ltd. (Erstwhile TGS Investment & Trade Pvt. Ltd.-Trapti-Turquoise),Others,1.51%
Axis Bank Ltd.,Others,1.51%
National Bank For Agriculture & Rural Development (Nabard),Others,1.25%
6.2 Hero Fincorp Ltd. Feb 28 2024,Debt,1.06%
Julius Baer Capital (India) Pvt. Ltd.,Others,1.01%
Axis Securities Ltd.,Others,1.01%
HDFC Securities Ltd.,Others,1.01%
Cholamandalam Investment & Finance Company Ltd.,Others,1.01%
Treasury Bill (91D),Others,1.01%
Deutsche Investments India Pvt. Ltd. (91D),Others,1.01%
Axis Bank Ltd.,Others,1.01%
HDFC Bank Ltd.,Others,1.01%
National Bank For Agriculture & Rural Development (Nabard) (90D),Others,1.00%
Bank Of Maharashtra,Others,1.00%
Union Bank Of India,Others,1.00%
Bank Of Maharashtra,Others,1.00%
Canara Bank,Others,1.00%
Axis Bank Ltd.,Others,1.00%
Treasury Bill (182D),Others,1.00%
Bank Of Baroda,Others,1.00%
Aditya Birla Money Ltd. (Formerly Apollo Sindhoori Capital Investments Ltd.) (91D),Others,1.00%
ICICI Securities Ltd.,Others,1.00%
National Bank For Agriculture & Rural Development (Nabard),Others,0.76%
Axis Securities Ltd.,Others,0.76%
REC Ltd.,Others,0.75%
Punjab National Bank,Others,0.75%
Julius Baer Capital (India) Pvt. Ltd.,Others,0.75%
Redington (India) Ltd. (91D),Others,0.75%
HDFC Bank Ltd.,Others,0.75%
Treasury Bill (91D),Others,0.71%
Treasury Bill (182D),Others,0.60%
5.72 LIC Housing Finance Ltd. Feb 22 2024,Debt,0.53%
Canara Bank,Others,0.50%
Pilani Investment & Industries Corporation Ltd. (91D),Others,0.50%
Axis Finance Ltd.,Others,0.50%
Axis Securities Ltd.,Others,0.50%
Bharti Telecom Ltd.,Others,0.45%
Treasury Bill (182D),Others,0.35%
SBI - CDMDF - A2 Units,Others,0.29%
Net Receivables/(Payable),Others,0.27%
Small Industries Development Bank Of India,Others,0.25%
National Bank For Agriculture & Rural Development (Nabard),Others,0.25%
Canara Bank,Others,0.25%
Canara Bank,Others,0.25%
TMF Holdings Ltd.,Others,0.25%
Pilani Investment & Industries Corporation Ltd. (91D),Others,0.25%
Julius Baer Capital (India) Pvt. Ltd.,Others,0.25%
Treasury Bill (182D),Others,0.20%
Treasury Bill (182D),Others,0.20%
Treasury Bill (364D),Others,0.10%
Triparty Repo,Others,-6.66%
Triparty Repo,Others,-13.54%
