Company Name,Asset Type,Percentage Allocation
8.79 LIC Housing Finance Ltd. Mar  5 2024,Debt,6.99%
Punjab National Bank,Others,6.45%
Indian Bank,Others,6.45%
Treasury Bill (91D),Others,6.44%
Treasury Bill (182D),Others,5.79%
HDFC Securities Ltd. (91D),Others,4.87%
Small Industries Development Bank Of India,Others,4.84%
HDFC Bank Ltd.,Others,4.82%
Export Import Bank Of India,Others,4.82%
Aditya Birla Finance Ltd. (91D),Others,4.19%
Union Bank Of India,Others,3.25%
Bank Of Baroda,Others,3.24%
Union Bank Of India,Others,3.23%
Aditya Birla Finance Ltd. (164D),Others,3.23%
Treasury Bill (91D),Others,3.23%
HDFC Bank Ltd.,Others,3.22%
National Bank For Agriculture & Rural Development (Nabard) (90D),Others,3.22%
Canara Bank,Others,3.22%
National Bank For Agriculture & Rural Development (Nabard) (91D),Others,3.21%
Julius Baer Capital (India) Pvt. Ltd. (91D),Others,2.92%
HDFC Bank Ltd.,Others,2.60%
5.44 National Bank For Agriculture & Rural Development (Nabard) Feb  5 2024,Debt,1.70%
Bank Of Baroda,Others,1.62%
National Bank For Agriculture & Rural Development (Nabard),Others,1.62%
Union Bank Of India,Others,1.61%
Indian Bank,Others,1.61%
BoB Financial Solutions Ltd. (90D),Others,1.61%
Axis Securities Ltd. (90D),Others,1.61%
Export Import Bank Of India (364D),Others,1.60%
SBI - CDMDF - A2 Units,Others,0.24%
Treasury Bill (91D),Others,0.19%
Cash,Others,-3.63%
