Company Name,Asset Type,Percentage Allocation
National Bank For Agriculture & Rural Development (Nabard),Others,5.67%
Small Industries Development Bank Of India (90D),Others,5.67%
Sikka Ports Terminals (Erst Reliance Ports & Terminals Ltd.) (88D),Others,5.65%
Treasury Bill (91D),Others,5.65%
Union Bank Of India,Others,5.65%
Punjab National Bank,Others,5.64%
Indian Bank,Others,5.64%
Axis Securities Ltd. (91D),Others,5.63%
Canara Bank,Others,5.62%
Treasury Bill (364D),Others,5.62%
HDFC Bank Ltd.,Others,5.62%
Cholamandalam Investment & Finance Company Ltd. (305D),Others,5.60%
Treasury Bill (91D),Others,2.84%
Bank Of Baroda,Others,2.83%
Aditya Birla Finance Ltd. (182D),Others,2.83%
Aditya Birla Finance Ltd. (91D),Others,2.83%
Axis Bank Ltd.,Others,2.82%
Treasury Bill (91D),Others,2.82%
Treasury Bill (364D),Others,2.81%
National Bank For Agriculture & Rural Development (Nabard),Others,2.81%
Export Import Bank Of India (364D),Others,2.81%
Export Import Bank Of India (364D),Others,2.80%
CBLO(CCIL),Others,1.75%
Reverse Repo,Others,1.71%
HDFC Bank Ltd.,Debt,0.34%
SBI - CDMDF - A2 Units,Others,0.29%
Net Receivables/(Payable),Others,0.03%
