Company Name,Asset Type,Percentage Allocation
Bank Of Baroda,Others,4.00%
Treasury Bill (91D),Others,3.76%
Treasury Bill (91D),Others,3.35%
Treasury Bill (91D),Others,2.70%
Treasury Bill (91D),Others,2.70%
Small Industries Development Bank Of India (90D),Others,2.69%
Canara Bank,Others,2.68%
Canara Bank,Others,2.67%
Bank Of Maharashtra,Others,2.67%
Tata Power Renewable Energy Ltd. (76D),Others,2.34%
National Bank For Agriculture & Rural Development (Nabard) (91D),Others,2.33%
National Bank For Agriculture & Rural Development (Nabard) (91D),Others,2.02%
Treasury Bill (91D),Others,2.02%
ICICI Securities Ltd. (91D),Others,2.01%
Reliance Retail Ventures Ltd. (91D),Others,2.01%
Bank Of Baroda,Others,2.01%
Treasury Bill (364D),Others,2.01%
HDFC Bank Ltd.,Others,2.01%
Sikka Ports Terminals (Erst Reliance Ports & Terminals Ltd.) (87D),Others,2.01%
Tata Capital Housing Finance Ltd. (91D),Others,2.01%
Tata Steel Ltd. (84D),Others,2.01%
Kotak Mahindra Prime Ltd. (91D),Others,2.01%
Punjab National Bank,Others,2.00%
Bharti Telecom Ltd. (91D),Others,2.00%
HDFC Bank Ltd.,Others,2.00%
REC Ltd. (137D),Others,1.84%
Sikka Ports Terminals (Erst Reliance Ports & Terminals Ltd.) (91D),Others,1.68%
Small Industries Development Bank Of India (211D),Others,1.68%
Punjab National Bank,Others,1.68%
ICICI Securities Ltd. (91D),Others,1.67%
HDFC Securities Ltd. (91D),Others,1.67%
HDFC Securities Ltd. (91D),Others,1.67%
Treasury Bill (364D),Others,1.38%
National Bank For Agriculture & Rural Development (Nabard) (90D),Others,1.35%
Bank Of Baroda,Others,1.35%
Aditya Birla Housing Finance Ltd. (91D),Others,1.35%
ICICI Home Finance Company Ltd. (91D),Others,1.34%
Tata Motors Finance Solutions Ltd. (88D),Others,1.34%
Union Bank Of India,Others,1.34%
Reliance Retail Ventures Ltd. (91D),Others,1.34%
Treasury Bill (364D),Others,1.34%
Kotak Securities Ltd. (91D),Others,1.34%
Reliance Retail Ventures Ltd. (91D),Others,1.34%
Treasury Bill (91D),Others,1.34%
Nirma Ltd. (90D),Others,1.33%
Canara Bank,Others,1.33%
Bajaj Financial Securities Ltd. (91D),Others,1.33%
Kotak Securities Ltd. (91D),Others,1.01%
Aditya Birla Housing Finance Ltd. (91D),Others,1.01%
Kotak Securities Ltd. (91D),Others,1.01%
Aditya Birla Housing Finance Ltd. (91D),Others,1.00%
Reliance Industries Ltd. (91D),Others,1.00%
ICICI Securities Ltd. (91D),Others,1.00%
Birla Group Holdings Pvt. Ltd. (Erstwhile TGS Investment & Trade Pvt. Ltd.-Trapti-Turquoise) (365D),Others,1.00%
Network18 Media & Investments Ltd. (91D),Others,0.84%
HDFC Securities Ltd. (91D),Others,0.67%
Aditya Birla Finance Ltd. (91D),Others,0.67%
Birla Group Holdings Pvt. Ltd. (Erstwhile TGS Investment & Trade Pvt. Ltd.-Trapti-Turquoise) (91D),Others,0.67%
Axis Bank Ltd.,Others,0.67%
LIC Housing Finance Ltd. (364D),Others,0.67%
Kotak Securities Ltd. (91D),Others,0.67%
Axis Bank Ltd.,Others,0.67%
ICICI Home Finance Company Ltd. (91D),Others,0.67%
HDFC Securities Ltd. (91D),Others,0.67%
5.72 LIC Housing Finance Ltd. Feb 22 2024,Debt,0.53%
Infina Finance Pvt. Ltd. (91D),Others,0.50%
5.44 National Bank For Agriculture & Rural Development (Nabard) Feb  5 2024,Debt,0.35%
Union Bank Of India,Others,0.34%
Small Industries Development Bank Of India (350D),Others,0.33%
HDFC Bank Ltd.,Others,0.33%
SBI - CDMDF - A2 Units,Others,0.19%
Current Assets,Others,-8.53%
