Company Name,Asset Type,Percentage Allocation
Treasury Bill (364D),Others,4.33%
National Bank For Agriculture & Rural Development (Nabard) (91D),Others,3.27%
Sikka Ports Terminals (Erst Reliance Ports & Terminals Ltd.) (88D),Others,3.25%
Bank Of Baroda,Others,3.23%
Treasury Bill (91D),Others,2.99%
Godrej Consumer Products Ltd. (91D),Others,2.45%
HDFC Bank Ltd.,Others,2.44%
Birla Group Holdings Pvt. Ltd. (Erstwhile TGS Investment & Trade Pvt. Ltd.-Trapti-Turquoise) (91D),Others,2.44%
Treasury Bill (91D),Others,2.44%
Reliance Retail Ventures Ltd. (91D),Others,2.44%
Bank Of Baroda,Others,2.44%
Small Industries Development Bank Of India (211D),Others,2.44%
Treasury Bill (364D),Others,2.44%
Canara Bank,Others,2.43%
Reliance Industries Ltd. (91D),Others,2.43%
HDFC Bank Ltd.,Others,2.43%
Axis Finance Ltd. (154D),Others,2.04%
National Bank For Agriculture & Rural Development (Nabard),Others,2.04%
Small Industries Development Bank Of India,Others,2.04%
Axis Bank Ltd.,Others,2.03%
Treasury Bill (182D),Others,2.03%
Bajaj Financial Securities Ltd. (91D),Others,1.63%
Cholamandalam Investment & Finance Company Ltd. (79D),Others,1.63%
Canara Bank,Others,1.63%
Aditya Birla Finance Ltd. (91D),Others,1.63%
ICICI Securities Ltd. (91D),Others,1.63%
Bharti Telecom Ltd. (91D),Others,1.62%
National Bank For Agriculture & Rural Development (Nabard) (90D),Others,1.62%
Axis Bank Ltd.,Others,1.62%
TVS Credit Services Ltd. (91D),Others,1.62%
SBIcap Securities Ltd. (68D),Others,1.62%
Treasury Bill (364D),Others,1.62%
Punjab National Bank,Others,1.62%
HDFC Bank Ltd.,Others,1.62%
National Bank For Agriculture & Rural Development (Nabard) (91D),Others,1.62%
Small Industries Development Bank Of India,Others,1.62%
Bank Of Baroda,Others,1.62%
SBIcap Securities Ltd. (91D),Others,1.61%
Godrej Properties Ltd. (91D),Others,1.46%
Axis Bank Ltd.,Others,1.22%
Canara Bank,Others,1.21%
Canara Bank,Others,1.21%
Mahindra & Mahindra Financial Services Ltd. (140D),Others,1.21%
ICICI Securities Ltd. (280D),Others,1.21%
Treasury Bill (364D),Others,1.05%
Treasury Bill (91D),Others,0.90%
Century Textiles & Industries Ltd. (60D),Others,0.82%
HDFC Securities Ltd. (91D),Others,0.82%
Canfin Homes Ltd. (89D),Others,0.81%
HDFC Bank Ltd.,Others,0.81%
Punjab National Bank,Others,0.81%
PNB Housing Finance Ltd. (91D),Others,0.81%
Reliance Retail Ventures Ltd. (91D),Others,0.81%
Reliance Retail Ventures Ltd. (91D),Others,0.81%
Godrej Properties Ltd. (91D),Others,0.81%
Network18 Media & Investments Ltd. (90D),Others,0.81%
PNB Housing Finance Ltd. (91D),Others,0.81%
Bharti Enterprises Ltd. (181D),Others,0.81%
TV18 Broadcast Ltd. (91D),Others,0.81%
Axis Bank Ltd.,Others,0.81%
Godrej Consumer Products Ltd. (90D),Others,0.81%
4.99 REC Ltd. Jan 31 2024,Debt,0.49%
Treasury Bill (182D),Others,0.33%
SBI - CDMDF - A2 Units,Others,0.29%
Net Receivables/(Payable),Others,-4.36%
