Company Name,Asset Type,Percentage Allocation
Triparty Repo,Others,10.74%
Punjab National Bank,Others,5.20%
Treasury Bill (364D),Others,3.49%
Axis Bank Ltd.,Others,3.49%
National Bank For Agriculture & Rural Development (Nabard),Others,3.49%
HDFC Securities Ltd. (91D),Others,3.48%
Bank Of Baroda,Others,3.48%
Small Industries Development Bank Of India (90D),Others,3.48%
Kotak Mahindra Bank Ltd.,Others,3.48%
HDFC Bank Ltd.,Others,3.48%
ICICI Securities Ltd. (91D),Others,3.47%
Bank Of Baroda,Others,3.46%
Reliance Retail Ventures Ltd. (91D),Others,3.46%
Kotak Mahindra Bank Ltd.,Others,3.46%
Canara Bank,Others,3.46%
Union Bank Of India,Others,3.46%
Axis Bank Ltd.,Others,3.45%
Aditya Birla Finance Ltd. (238D),Others,3.45%
Bank Of Baroda,Others,3.45%
Bajaj Finance Ltd. (91D),Others,3.45%
Union Bank Of India,Others,3.45%
IIFL Finance Ltd. (Erstwhile India Infoline Finance Limited) (90D),Others,3.44%
Small Industries Development Bank Of India,Others,3.44%
Treasury Bill (182D),Others,2.42%
Treasury Bill (364D),Others,2.37%
Treasury Bill (91D),Others,1.74%
Treasury Bill (91D),Others,1.73%
Cholamandalam Investment & Finance Company Ltd. (305D),Others,1.03%
Treasury Bill (91D),Others,0.55%
9.6 Export Import Bank Of India Feb  7 2024,Debt,0.35%
SBI - CDMDF - A2 Units,Others,0.34%
Treasury Bill (182D),Others,0.21%
Treasury Bill (91D),Others,0.21%
Treasury Bill (182D),Others,0.21%
Current Assets,Others,0.13%
