Company Name,Asset Type,Percentage Allocation
Punjab National Bank,Others,4.85%
Treasury Bill (91D),Others,3.89%
Birla Group Holdings Pvt. Ltd. (Erstwhile TGS Investment & Trade Pvt. Ltd.-Trapti-Turquoise) (91D),Others,3.20%
Small Industries Development Bank Of India (90D),Others,2.92%
Indian Bank,Others,2.91%
National Bank For Agriculture & Rural Development (Nabard) (90D),Others,2.91%
Canara Bank,Others,2.90%
National Bank For Agriculture & Rural Development (Nabard) (91D),Others,2.89%
ICICI Securities Ltd. (180D),Others,2.89%
Treasury Bill (91D),Others,2.42%
Reliance Retail Ventures Ltd. (91D),Others,2.42%
National Bank For Agriculture & Rural Development (Nabard) (90D),Others,1.96%
Treasury Bill (91D),Others,1.95%
Treasury Bill (91D),Others,1.95%
Small Industries Development Bank Of India,Others,1.95%
Indian Bank,Others,1.94%
Treasury Bill (91D),Others,1.94%
Reliance Retail Ventures Ltd. (91D),Others,1.94%
Bank Of Baroda,Others,1.94%
Treasury Bill (364D),Others,1.94%
HDFC Bank Ltd.,Others,1.94%
Treasury Bill (91D),Others,1.94%
IDFC First Bank Ltd. (Erstwhile IDFC Bank Ltd.),Others,1.94%
Punjab National Bank,Others,1.93%
Punjab National Bank,Others,1.93%
HDFC Securities Ltd. (91D),Others,1.93%
HDFC Securities Ltd. (91D),Others,1.92%
Motilal Oswal Financial Services Ltd. (91D),Others,1.46%
Shriram Finance Ltd.(Erstwhile Shriram Transport Finance Company Limited) (88D),Others,1.45%
Redington (India) Ltd. (89D),Others,1.45%
Bank Of Baroda,Others,1.45%
Treasury Bill (91D),Others,1.31%
Treasury Bill (182D),Others,1.22%
Treasury Bill (364D),Others,1.22%
National Bank For Agriculture & Rural Development (Nabard),Others,1.22%
Network18 Media & Investments Ltd. (82D),Others,1.21%
Triparty Repo,Others,1.05%
Canara Bank,Others,0.98%
National Bank For Agriculture & Rural Development (Nabard) (91D),Others,0.98%
Bank Of Baroda,Others,0.97%
Aditya Birla Finance Ltd. (91D),Others,0.97%
Larsen & Toubro Ltd. (91D),Others,0.97%
Reliance Retail Ventures Ltd. (91D),Others,0.97%
Godrej Housing Finance Ltd. (91D),Others,0.97%
GODREJ FINANCE LTD. (91D),Others,0.97%
GODREJ FINANCE LTD. (90D),Others,0.97%
Axis Bank Ltd.,Others,0.96%
Poonawalla Fincorp Ltd. (Erstwhile Magma Fincorp Ltd.) (90D),Others,0.96%
National Bank For Agriculture & Rural Development (Nabard),Others,0.73%
Bank Of Baroda,Others,0.73%
ICICI Securities Ltd. (91D),Others,0.73%
Network18 Media & Investments Ltd. (81D),Others,0.73%
Godrej Industries Ltd. (91D),Others,0.73%
Treasury Bill (364D),Others,0.73%
TV18 Broadcast Ltd. (91D),Others,0.72%
Network18 Media & Investments Ltd. (90D),Others,0.72%
Tata Motors Finance Solutions Ltd. (365D),Others,0.72%
Godrej Industries Ltd. (91D),Others,0.49%
Godrej Industries Ltd. (91D),Others,0.49%
GIC Housing Finance Ltd. (87D),Others,0.49%
Aditya Birla Fashion & Retail Ltd. (90D),Others,0.49%
HDFC Securities Ltd. (91D),Others,0.48%
HDFC Securities Ltd. (91D),Others,0.48%
Birla Group Holdings Pvt. Ltd. (Erstwhile TGS Investment & Trade Pvt. Ltd.-Trapti-Turquoise) (364D),Others,0.48%
Godrej Industries Ltd. (91D),Others,0.24%
PNB Housing Finance Ltd. (91D),Others,0.24%
HDFC Bank Ltd. (359D),Others,0.24%
Godrej Industries Ltd. (91D),Others,0.24%
SBI - CDMDF - A2 Units,Others,0.15%
Net Receivables/(Payable),Others,0.00%
