Company Name,Asset Type,Percentage Allocation
Treasury Bill (91D),Others,4.17%
Union Bank Of India,Others,3.56%
National Bank For Agriculture & Rural Development (Nabard) (90D),Others,2.69%
Treasury Bill (91D),Others,2.67%
Treasury Bill (91D),Others,2.64%
Grasim Industries Ltd. (70D),Others,2.39%
Treasury Bill (91D),Others,2.39%
Reliance Retail Ventures Ltd. (91D),Others,2.39%
Treasury Bill (91D),Others,2.39%
Punjab National Bank,Others,2.38%
Sikka Ports Terminals (Erst Reliance Ports & Terminals Ltd.) (87D),Others,2.38%
Treasury Bill (182D),Others,2.38%
Reliance Retail Ventures Ltd. (91D),Others,2.38%
Axis Bank Ltd.,Others,2.09%
Treasury Bill (91D),Others,1.79%
Bank Of Baroda,Others,1.78%
Canara Bank,Others,1.78%
Small Industries Development Bank Of India (90D),Others,1.56%
Bajaj Finance Ltd. (91D),Others,1.20%
Godrej Consumer Products Ltd. (91D),Others,1.20%
HDFC Securities Ltd. (91D),Others,1.20%
Bank Of Baroda,Others,1.20%
Treasury Bill (91D),Others,1.20%
ICICI Securities Ltd. (91D),Others,1.20%
Union Bank Of India,Others,1.19%
Sikka Ports Terminals (Erst Reliance Ports & Terminals Ltd.) (88D),Others,1.19%
Bank Of Baroda,Others,1.19%
Tata Steel Ltd. (91D),Others,1.19%
HDFC Bank Ltd.,Others,1.19%
Union Bank Of India,Others,1.19%
Indian Bank,Others,1.19%
National Bank For Agriculture & Rural Development (Nabard) (90D),Others,1.19%
Canara Bank,Others,1.19%
Reliance Retail Ventures Ltd. (91D),Others,1.19%
Sundaram Finance Ltd. (91D),Others,1.19%
IDFC First Bank Ltd. (Erstwhile IDFC Bank Ltd.),Others,1.19%
Axis Bank Ltd.,Others,1.19%
Canara Bank,Others,1.19%
Network18 Media & Investments Ltd. (91D),Others,1.19%
Reliance Industries Ltd. (91D),Others,1.19%
TV18 Broadcast Ltd. (91D),Others,1.19%
Treasury Bill (364D),Others,1.19%
Punjab National Bank,Others,1.19%
Bank Of Maharashtra,Others,1.19%
Canara Bank,Others,1.19%
Union Bank Of India,Others,1.19%
Bank Of Maharashtra,Others,1.19%
Treasury Bill (91D),Others,1.19%
HDFC Bank Ltd.,Others,1.19%
Axis Bank Ltd.,Others,1.19%
National Bank For Agriculture & Rural Development (Nabard) (91D),Others,1.19%
Bajaj Housing Finance Ltd. (91D),Others,1.19%
Bank Of Baroda,Others,1.19%
ICICI Securities Ltd. (364D),Others,1.18%
Network18 Media & Investments Ltd. (90D),Others,1.18%
Treasury Bill (91D),Others,1.18%
Axis Bank Ltd.,Others,1.18%
Bank Of Baroda,Others,0.90%
Axis Bank Ltd.,Others,0.90%
Godrej Industries Ltd. (91D),Others,0.90%
Godrej Industries Ltd. (91D),Others,0.90%
Godrej Industries Ltd. (91D),Others,0.90%
Motilal Oswal Financial Services Ltd. (91D),Others,0.90%
Bajaj Finance Ltd. (91D),Others,0.89%
Shriram Finance Ltd.(Erstwhile Shriram Transport Finance Company Limited) (87D),Others,0.89%
Redington (India) Ltd. (91D),Others,0.89%
ICICI Securities Ltd. (180D),Others,0.89%
Canara Bank,Others,0.87%
HDFC Bank Ltd.,Others,0.66%
HDFC Bank Ltd.,Others,0.60%
Network18 Media & Investments Ltd. (84D),Others,0.60%
Tata Capital Financial Services Ltd. (91D),Others,0.60%
Aditya Birla Housing Finance Ltd. (91D),Others,0.60%
Bank Of Baroda,Others,0.60%
Tata Capital Financial Services Ltd. (91D),Others,0.60%
Small Industries Development Bank Of India,Others,0.60%
360 One Prime Ltd. (Erstwhile IIFL Wealth Prime Ltd.) (135D),Others,0.60%
Indian Bank,Others,0.60%
Small Industries Development Bank Of India,Others,0.60%
Indian Bank,Others,0.60%
Tata Motors Finance Solutions Ltd. (88D),Others,0.60%
Julius Baer Capital (India) Pvt. Ltd. (91D),Others,0.60%
HDFC Securities Ltd. (91D),Others,0.60%
ICICI Securities Ltd. (91D),Others,0.60%
Godrej Agrovet Ltd. (75D),Others,0.60%
Axis Bank Ltd.,Others,0.59%
HDFC Securities Ltd. (91D),Others,0.59%
National Bank For Agriculture & Rural Development (Nabard),Others,0.59%
Godrej Agrovet Ltd. (86D),Others,0.59%
Tata Motors Finance Solutions Ltd. (90D),Others,0.59%
Aditya Birla Money Ltd. (Formerly Apollo Sindhoori Capital Investments Ltd.) (91D),Others,0.59%
Axis Bank Ltd.,Others,0.59%
Small Industries Development Bank Of India,Others,0.59%
Hero Fincorp Ltd. (83D),Others,0.59%
Birla Group Holdings Pvt. Ltd. (Erstwhile TGS Investment & Trade Pvt. Ltd.-Trapti-Turquoise) (91D),Others,0.48%
Motilal Oswal Financial Services Ltd. (91D),Others,0.42%
5.14 National Bank For Agriculture & Rural Development (Nabard) Jan 31 2024,Debt,0.30%
Canara Bank,Others,0.30%
Axis Bank Ltd.,Others,0.30%
Punjab National Bank,Others,0.18%
SBI - CDMDF - A2 Units,Others,0.17%
Net Receivables/(Payable),Others,-17.76%
