Company Name,Asset Type,Percentage Allocation
Treasury Bill (182D),Others,29.67%
Triparty Repo,Others,10.43%
Axis Bank Ltd.,Others,4.94%
Sundaram Finance Ltd. (91D),Others,4.93%
Bank Of Baroda,Others,4.92%
Small Industries Development Bank Of India,Others,4.92%
Aditya Birla Finance Ltd. (91D),Others,4.92%
Canara Bank,Others,4.92%
HDFC Bank Ltd.,Others,4.91%
Union Bank Of India,Others,4.90%
Punjab National Bank,Others,4.90%
Indian Bank,Others,4.90%
National Bank For Agriculture & Rural Development (Nabard),Others,4.88%
State Bank Of India,Others,4.88%
Net Receivables/(Payable),Others,0.77%
SBI - CDMDF - A2 Units,Others,0.23%
