Company Name,Asset Type,Percentage Allocation
Triparty Repo,Others,20.75%
Treasury Bill (91D),Others,9.34%
Treasury Bill (91D),Others,9.31%
Treasury Bill (91D),Others,9.30%
Treasury Bill (91D),Others,9.27%
Treasury Bill (364D),Others,9.24%
Treasury Bill (91D),Others,4.68%
IDFC First Bank Ltd. (Erstwhile IDFC Bank Ltd.),Others,4.66%
Treasury Bill (91D),Others,4.66%
Treasury Bill (91D),Others,4.64%
Aditya Birla Finance Ltd. (91D),Others,4.63%
Time Technoplast Ltd. (91D),Others,4.62%
Cholamandalam Investment & Finance Company Ltd. (305D),Others,4.60%
SBI - CDMDF - A2 Units,Others,0.30%
