Company Name,Asset Type,Percentage Allocation
7.32 GOI Jan 28 2024,Debt,5.48%
Treasury Bill (91D),Others,3.67%
Bank Of Baroda,Others,3.39%
Canara Bank,Others,3.38%
Deutsche Bank A. G.,Others,2.90%
Poonawalla Fincorp Ltd. (Erstwhile Magma Fincorp Ltd.) (91D),Others,2.43%
Union Bank Of India,Others,2.43%
Treasury Bill (91D),Others,2.42%
Punjab National Bank,Others,2.42%
Bank Of Maharashtra,Others,2.41%
HDFC Bank Ltd.,Others,2.41%
Bank Of Baroda,Others,2.41%
Bank Of Baroda,Others,2.41%
Larsen & Toubro Ltd. (90D),Others,2.41%
Small Industries Development Bank Of India (90D),Others,2.19%
Treasury Bill (364D),Others,2.18%
Treasury Bill (91D),Others,2.18%
HDFC Bank Ltd.,Others,2.12%
Tata Capital Housing Finance Ltd. (91D),Others,1.95%
IDFC First Bank Ltd. (Erstwhile IDFC Bank Ltd.),Others,1.93%
Union Bank Of India,Others,1.93%
Hindustan Zinc Ltd. (90D),Others,1.93%
Larsen & Toubro Ltd. (91D),Others,1.93%
HDFC Bank Ltd.,Others,1.82%
PNB Housing Finance Ltd. (91D),Others,1.69%
IIFL Finance Ltd. (Erstwhile India Infoline Finance Limited) (90D),Others,1.68%
Treasury Bill (364D),Others,1.50%
Treasury Bill (364D),Others,1.47%
HDFC Securities Ltd. (91D),Others,1.46%
Treasury Bill (91D),Others,1.46%
National Bank For Agriculture & Rural Development (Nabard) (90D),Others,1.45%
Punjab National Bank,Others,1.45%
Union Bank Of India,Others,1.45%
National Bank For Agriculture & Rural Development (Nabard) (91D),Others,1.45%
Bajaj Finance Ltd. (91D),Others,1.45%
ICICI Securities Ltd. (364D),Others,1.44%
Canara Bank,Others,1.26%
Aditya Birla Finance Ltd. (91D),Others,1.21%
HDFC Securities Ltd. (162D),Others,1.21%
Canara Bank,Others,1.21%
HDFC Securities Ltd. (91D),Others,1.21%
Reliance Retail Ventures Ltd. (91D),Others,1.21%
Tata Motors Finance Solutions Ltd. (350D),Others,1.21%
Punjab National Bank,Others,1.21%
Canara Bank,Others,1.21%
National Bank For Agriculture & Rural Development (Nabard) (90D),Others,1.21%
Bank Of Maharashtra,Others,1.21%
Treasury Bill (91D),Others,1.20%
Shriram Finance Ltd.(Erstwhile Shriram Transport Finance Company Limited) (91D),Others,1.20%
Indian Bank,Others,1.16%
Tata Capital Housing Finance Ltd. (91D),Others,0.97%
Tata Capital Housing Finance Ltd. (91D),Others,0.97%
Hinduja Leyland Finance Ltd. (90D),Others,0.96%
Export Import Bank Of India,Others,0.90%
Jm Financial Services Ltd. (91D),Others,0.85%
HDFC Bank Ltd.,Others,0.85%
LIC Housing Finance Ltd. (364D),Others,0.73%
Export Import Bank Of India,Others,0.72%
Network18 Media & Investments Ltd. (91D),Others,0.61%
REC Ltd. (137D),Others,0.60%
Aditya Birla Money Ltd. (Formerly Apollo Sindhoori Capital Investments Ltd.) (90D),Others,0.60%
Pilani Investment & Industries Corporation Ltd. (91D),Others,0.60%
Treasury Bill (182D),Others,0.51%
Bajaj Finance Ltd. (91D),Others,0.49%
Axis Securities Ltd. (91D),Others,0.49%
Bajaj Financial Securities Ltd. (91D),Others,0.49%
360 ONE WAM LTD.(Erstwhile IIFL WEALTH MANAGEMENT LIMITED) (91D),Others,0.49%
Cholamandalam Investment & Finance Company Ltd. (76D),Others,0.49%
Indian Bank,Others,0.49%
Aditya Birla Money Ltd. (Formerly Apollo Sindhoori Capital Investments Ltd.) (90D),Others,0.49%
360 One Prime Ltd. (Erstwhile IIFL Wealth Prime Ltd.) (91D),Others,0.49%
Treasury Bill (91D),Others,0.48%
Axis Bank Ltd.,Others,0.48%
Canara Bank,Others,0.48%
Aditya Birla Money Ltd. (Formerly Apollo Sindhoori Capital Investments Ltd.) (91D),Others,0.48%
360 ONE WAM LTD.(Erstwhile IIFL WEALTH MANAGEMENT LIMITED) (91D),Others,0.48%
HDFC Bank Ltd. (364D),Others,0.48%
Indian Bank,Others,0.36%
Jm Financial Services Ltd. (91D),Others,0.36%
Godrej Industries Ltd. (91D),Others,0.36%
Godrej Industries Ltd. (91D),Others,0.36%
Union Bank Of India,Others,0.36%
Mahindra & Mahindra Financial Services Ltd. (362D),Others,0.36%
Godrej Industries Ltd. (89D),Others,0.32%
HSBC Investdirect Financial Services (India) Ltd. (91D),Others,0.31%
SBI - CDMDF - A2 Units,Others,0.31%
Triparty Repo,Others,0.28%
Reverse Repo,Others,0.24%
HSBC Investdirect Financial Services (India) Ltd. (91D),Others,0.24%
HSBC Investdirect Financial Services (India) Ltd. (91D),Others,0.24%
Canara Bank,Others,0.24%
Axis Bank Ltd.,Others,0.24%
Export Import Bank Of India (364D),Others,0.24%
HDFC Bank Ltd. (364D),Others,0.24%
7.87 Telangana Uday Bond Mar  7 2024,Debt,0.12%
Canara Bank,Others,0.12%
PNB Housing Finance Ltd. (175D),Others,0.12%
Treasury Bill (182D),Others,0.10%
TV18 Broadcast Ltd. (91D),Others,0.07%
Bank Of Baroda,Others,0.05%
Treasury Bill (182D),Others,0.05%
Treasury Bill (364D),Others,0.02%
Cash Margin,Debt,0.01%
HDFC Bank Ltd.,Others,0.00%
Current Assets,Others,-18.02%
