Company Name,Asset Type,Percentage Allocation
CBLO(CCIL),Others,12.35%
Treasury Bill (91D),Others,7.29%
Treasury Bill (91D),Others,7.28%
Treasury Bill (91D),Others,7.26%
Treasury Bill (91D),Others,6.06%
Treasury Bill (91D),Others,6.03%
Treasury Bill (91D),Others,6.02%
Treasury Bill (182D),Others,4.88%
Treasury Bill (91D),Others,4.88%
Treasury Bill (91D),Others,4.87%
Treasury Bill (91D),Others,4.87%
Treasury Bill (91D),Others,4.83%
Treasury Bill (91D),Others,2.44%
Treasury Bill (364D),Others,2.44%
Treasury Bill (182D),Others,2.42%
Treasury Bill (91D),Others,2.40%
9.8 Haryana SDL  Feb 26 2024,Debt,1.23%
Bank Of Baroda,Others,1.22%
Kotak Mahindra Bank Ltd.,Others,1.22%
National Bank For Agriculture & Rural Development (Nabard),Others,1.21%
HDFC Bank Ltd. (364D),Others,1.21%
Treasury Bill (364D),Others,1.21%
Treasury Bill (91D),Others,1.21%
Axis Bank Ltd.,Others,1.21%
Treasury Bill (364D),Others,1.21%
Treasury Bill (364D),Others,1.21%
State Bank Of India,Others,1.20%
SBI - CDMDF - A2 Units,Others,0.19%
HDFC Bank Ltd.,Debt,0.12%
HDFC Bank Ltd.,Debt,0.10%
HDFC Bank Ltd.,Debt,0.10%
HDFC Bank Ltd.,Debt,0.10%
HDFC Bank Ltd.,Debt,0.05%
HDFC Bank Ltd.,Debt,0.05%
HDFC Bank Ltd.,Debt,0.05%
Net Receivables/(Payable),Others,-0.38%
