Company Name,Asset Type,Percentage Allocation
7.38 GOI Jun 20 2027,Debt,6.48%
Axis Bank Ltd.,Others,4.17%
5.63 GOI Apr 12 2026,Debt,3.74%
HDFC Bank Ltd.,Others,3.37%
Kotak Mahindra Bank Ltd.,Others,3.33%
ICICI Bank Ltd.,Others,3.31%
Small Industries Development Bank Of India,Others,2.48%
HDFC Bank Ltd.,Others,2.39%
Small Industries Development Bank Of India,Others,2.39%
7.17 Power Finance Corporation Ltd. May 22 2025,Debt,2.25%
7.77 National Housing Bank Apr  2 2026,Debt,2.14%
Axis Bank Ltd.,Others,2.10%
7.33 GOI Sep 22 2033,Debt,2.09%
10 JM Financial Credit Solutions Ltd. Jul 23 2024,Debt,2.06%
10 Belstar Microfinance Ltd. Mar 31 2026,Debt,1.93%
ICICI Bank Ltd.,Others,1.81%
9.25 Shriram City Union Finance Ltd. May 28 2024,Debt,1.72%
7.49 HDB Financial Services Ltd. Jan 24 2025,Debt,1.70%
7.5 National Bank For Agriculture & Rural Development (Nabard) Aug 31 2026,Debt,1.66%
Axis Bank Ltd.,Others,1.62%
Axis Bank Ltd.,Others,1.60%
6.4 Embassy Office Parks Reit Feb 15 2024,Debt,1.50%
8.9 Bharti Telecom Ltd. Dec  4 2025,Debt,1.46%
7.59 Small Industries Development Bank Of India Feb 10 2026,Debt,1.41%
7.96 ICICI Home Finance Company Ltd. Mar 28 2025,Debt,1.37%
8.4 Bharti Telecom Ltd. Nov 21 2025,Debt,1.29%
8.1 Kotak Mahindra Prime Ltd. Apr 10 2026,Debt,1.28%
7.9 ICICI Home Finance Company Ltd. Dec 27 2024,Debt,1.28%
6.25 Embassy Office Parks Reit Oct 18 2024,Debt,1.27%
DBS Bank India Ltd.,Others,1.20%
5.55 Mahindra Rural Housing Finance Ltd. Jun 17 2024,Debt,1.07%
7.82 LIC Housing Finance Ltd. Nov 28 2025,Debt,1.07%
8.79 Vedanta Ltd. Mar 15 2024,Debt,1.07%
HDFC Bank Ltd. (364D),Others,1.04%
Kotak Mahindra Bank Ltd.,Others,1.01%
7.15 Tata Motors Finance Ltd. Jun 25 2024,Debt,1.00%
5.83 State Bank Of India Oct 25 2030,Debt,0.99%
9.1 CreditAccess Grameen Ltd. Sep  6 2025,Debt,0.89%
Treasury Bill (364D),Others,0.89%
8.3 Tata Capital Financial Services Ltd. Mar 13 2026,Debt,0.86%
8.04 Sundaram Finance Ltd. Oct 26 2026,Debt,0.86%
7.79 HDFC Bank Ltd. Mar  4 2025,Debt,0.85%
7.15 Small Industries Development Bank Of India Jul 21 2025,Debt,0.85%
Sharekhan Ltd. (365D),Others,0.84%
6.3 HDB Financial Services Ltd. Mar 17 2025,Debt,0.84%
Toyota Financial Services India Ltd. (365D),Others,0.83%
Small Industries Development Bank Of India,Others,0.83%
ICICI Bank Ltd.,Others,0.81%
Small Industries Development Bank Of India,Others,0.80%
7.95 Shriram City Union Finance Ltd. Aug 12 2024,Debt,0.77%
7.49 National Bank For Agriculture & Rural Development (Nabard) Oct 15 2026,Debt,0.72%
8.7 Bharti Telecom Ltd. Dec 12 2025,Debt,0.69%
7.13 Power Finance Corporation Ltd. Aug  8 2025,Debt,0.68%
5.23 National Bank For Agriculture & Rural Development (Nabard) Jan 31 2025,Debt,0.67%
6.1 Sundew Properties Ltd. Jun 28 2024,Debt,0.66%
7.57 National Bank For Agriculture & Rural Development (Nabard) Mar 19 2026,Debt,0.64%
7.38 LIC Housing Finance Ltd. Aug 18 2025,Debt,0.64%
5.27 National Bank For Agriculture & Rural Development (Nabard) Apr 29 2024,Debt,0.64%
Indusind Bank Ltd.,Others,0.64%
Small Industries Development Bank Of India,Others,0.55%
7.08 Cholamandalam Investment & Finance Company Ltd. Mar 11 2025,Debt,0.51%
7.5 Sun Petrochemicals Private Ltd. Apr 29 2024,Debt,0.43%
8.02 Bharat Petroleum Corporation Ltd. Mar 11 2024,Debt,0.43%
Reverse Repo,Others,0.43%
7.79 National Housing Bank Mar  9 2026,Debt,0.43%
7.06 GOI Apr 10 2028,Debt,0.43%
7.8 HDFC Bank Ltd. Jun  2 2025,Debt,0.43%
8.5 Adani Transmission Ltd. Dec 20 2024,Debt,0.43%
7.7 TMF Holdings Ltd. Feb 25 2025,Debt,0.42%
7.11 Small Industries Development Bank Of India Feb 27 2026,Debt,0.42%
Kotak Mahindra Bank Ltd.,Others,0.42%
Small Industries Development Bank Of India,Others,0.34%
9.75 Jamnagar Utilities & Power Pvt. Ltd. Aug  2 2024,Debt,0.33%
SBI - CDMDF - A2 Units,Others,0.25%
GOI,Debt,0.22%
8.05 Summit Digitel Infrastructure Pvt. Ltd. (Erstwhile Reliance Jio Infratel Pvt. Ltd.) May 31 2027,Debt,0.21%
8.1965 HDB Financial Services Ltd. May 30 2025,Debt,0.21%
5.85 Cholamandalam Investment & Finance Company Ltd. Feb 11 2025,Debt,0.21%
GOI,Debt,0.21%
6.7 DLF Cyber City Developers Ltd. Sep 30 2024,Debt,0.20%
GOI,Debt,0.20%
6.85 DME Development Ltd. Mar 16 2036,Debt,0.18%
6.85 DME Development Ltd. Mar 16 2037,Debt,0.18%
