Company Name,Asset Type,Percentage Allocation
Triparty Repo,Others,10.85%
State Bank Of India,Others,8.38%
Kotak Mahindra Bank Ltd.,Others,8.15%
HDFC Bank Ltd.,Others,7.62%
ICICI Bank Ltd.,Others,7.62%
Small Industries Development Bank Of India,Others,6.67%
8.9 Bharti Telecom Ltd. Dec  4 2025,Debt,5.76%
9 Shriram Finance Ltd.(Erstwhile Shriram Transport Finance Company Limited) Jun 24 2024,Debt,5.75%
7.4 Reliance Industries Ltd. Apr 25 2025,Debt,5.72%
7.13 Power Finance Corporation Ltd. Aug  8 2025,Debt,5.69%
6.25 Embassy Office Parks Reit Oct 18 2024,Debt,5.66%
Axis Bank Ltd.,Others,5.55%
8.02 Mindspace Business Parks Reit Apr 13 2026,Debt,4.02%
8.5 JM Financial Products Ltd. May 16 2025,Debt,3.98%
8.8 Piramal Capital & Housing Finance Ltd. (Erstwhile Dewan Housing Finance Corporation Ltd.) Dec 30 2024,Debt,2.87%
7.08 Karnataka Sdl Dec 14 2026,Debt,2.85%
6.39 Indian Oil Corporation Ltd. Mar  6 2025,Debt,2.83%
5.22 GOI Jun 15 2025,Debt,1.47%
SBI - CDMDF - A2 Units,Others,0.27%
Net Receivables/(Payable),Others,-1.69%
