Company Name,Asset Type,Percentage Allocation
7.26 GOI Feb  6 2033,Debt,10.53%
7.18 GOI Jul 24 2037,Debt,10.44%
7.18 GOI Aug 14 2033,Debt,10.28%
7.83 Small Industries Development Bank Of India Nov 24 2028,Debt,3.87%
8.47 Tata Projects Ltd. Nov 20 2026,Debt,2.63%
7.8 Mahanagar Telephone Nigam Ltd. Nov  7 2033,Debt,2.58%
7.46 REC Ltd. Jun 30 2028,Debt,2.55%
8.6 Poonawalla Housing Finance Ltd. Nov 29 2024,Debt,2.44%
Net Receivables/(Payable),Others,2.42%
8.1 Century Textiles & Industries Ltd. Apr 25 2026,Debt,2.29%
10 JM Financial Credit Solutions Ltd. Jul 23 2024,Debt,2.21%
8.15 Samvardhana Motherson International Ltd. (Erstwhile Motherson Sumi Systems Ltd.) Jan 23 2026,Debt,2.05%
9.95 Indostar Capital Finance Ltd. Jun 30 2025,Debt,2.04%
7.75 Mindspace Business Parks Reit Jun 30 2026,Debt,1.79%
7.78 Bihar SDL Nov  1 2031,Debt,1.56%
CBLO(CCIL),Others,1.55%
6.7 DLF Cyber City Developers Ltd. Sep 30 2024,Debt,1.52%
GOI,Debt,1.52%
Vajra Trust,Debt,1.46%
5.35 Muthoot Finance Ltd. Aug 26 2024,Debt,1.29%
10.2541 Vivriti Capital Pvt. Ltd. Dec 26 2024,Debt,1.29%
7.9 Jamnagar Utilities & Power Pvt. Ltd. Aug 10 2028,Debt,1.28%
9.1 CreditAccess Grameen Ltd. Sep  6 2025,Debt,1.28%
9.25 Motilal Oswal Finvest Ltd. Nov  1 2024,Debt,1.28%
7.59 Power Finance Corporation Ltd. Jan 17 2028,Debt,1.28%
8.15 Godrej Properties Ltd. Jul  3 2026,Debt,1.27%
7.75 Tata Capital Housing Finance Ltd. May 18 2027,Debt,1.27%
6.72 India Grid Trust Sep 14 2026,Debt,1.25%
6.24 State Bank Of India Sep 20 2030,Debt,1.25%
9.45 CreditAccess Grameen Ltd. Nov 22 2024,Debt,1.23%
First Business Receivables Trust,Debt,1.05%
9 Shriram Finance Ltd.(Erstwhile Shriram Transport Finance Company Limited) Jun 24 2024,Debt,1.03%
8.28 Oriental Nagpur Betul Highway Ltd. Mar 30 2024,Debt,1.03%
7.86 Nexus Select Trust Jun 16 2026,Debt,1.02%
9.2627 SK Finance Ltd. (Erstwhile Ess Kay Fincorp Ltd.) Jan 27 2025,Debt,1.02%
7.3 GOI Jun 19 2053,Debt,1.02%
7.33 GOI Sep 22 2033,Debt,0.99%
7.78 Greenlam Industries Ltd. Feb 28 2025,Debt,0.96%
6.49 Malwa Solar Power Generation Pvt. Ltd. Jul  1 2024,Debt,0.93%
8.5 Aadhar Housing Finance Ltd. May 26 2026,Debt,0.92%
7.15 G R Infraprojects Ltd. May 31 2024,Debt,0.92%
7.32 GOI Nov 13 2030,Debt,0.78%
6.5 Tata Realty & Infrastructure Ltd. Jul 17 2024,Debt,0.76%
10.58 Veritas Finance Pvt. Ltd. Sep 24 2024,Debt,0.76%
6.1 GOI Jul 12 2031,Debt,0.72%
6.49 Vector Green Prayagraj Solar Pvt. Ltd. (Erstwhile Rattanindia Solar 2 Pvt. Ltd.) Jul  1 2024,Debt,0.67%
8.7 Bharti Telecom Ltd. Nov 21 2024,Debt,0.51%
9.65 Nuvoco Vistas Corporation Ltd. Jul  6 2077,Debt,0.51%
7.36 J. K. Cement Ltd. Jul 23 2024,Debt,0.51%
8.28 Oriental Nagpur Betul Highway Ltd. Sep 30 2024,Debt,0.51%
6.1 Sundew Properties Ltd. Jun 28 2024,Debt,0.51%
8.3 SK Finance Ltd. (Erstwhile Ess Kay Fincorp Ltd.) Apr 29 2025,Debt,0.50%
6.59 Summit Digitel Infrastructure Pvt. Ltd. (Erstwhile Reliance Jio Infratel Pvt. Ltd.) Jun 16 2026,Debt,0.50%
10.6 Kogta Financial (India) Ltd. May  9 2025,Debt,0.36%
7.26 GOI Aug 22 2032,Debt,0.36%
First Business Receivables Trust,Debt,0.29%
7.64 Power Finance Corporation Ltd. Feb 22 2033,Debt,0.26%
SBI - CDMDF - A2 Units,Others,0.21%
7.57 GOI Jun 17 2033,Debt,0.16%
7.25 Punjab National Bank Oct 14 2030,Debt,0.15%
7.1 GOI Apr 18 2029,Debt,0.10%
7.88 GOI Mar 19 2030,Debt,0.08%
8.49 National Highways Authority Of India Feb  5 2029,Debt,0.06%
5.85 REC Ltd. Dec 20 2025,Debt,0.03%
7.38 GOI Jun 20 2027,Debt,0.03%
7.26 GOI Jan 14 2029,Debt,0.03%
5.79 GOI May 11 2030,Debt,0.02%
8.6 GOI Jun  2 2028,Debt,0.02%
Interest Rate Swap,Debt,0.01%
8.15 GOI Nov 24 2026,Debt,0.00%
7.59 GOI Mar 20 2029,Debt,0.00%
Interest Rate Swap,Debt,0.00%
Interest Rate Swap,Debt,0.00%
Interest Rate Swap,Debt,0.00%
