Company Name,Asset Type,Percentage Allocation
8.3 National Thermal Power Corporation Ltd. Jan 15 2029,Debt,7.97%
7.77 REC Ltd. Mar 31 2028,Debt,7.64%
8.65 Reliance Industries Ltd. Dec 11 2028,Debt,7.49%
7.45 Indian Railway Finance Corporation Ltd. Oct 13 2028,Debt,7.41%
7.9 Jamnagar Utilities & Power Pvt. Ltd. Aug 10 2028,Debt,7.40%
8.08 Karnataka Sdl Dec 26 2028,Debt,7.38%
7.85 Bajaj Housing Finance Ltd. Sep  1 2028,Debt,7.34%
7.77 LIC Housing Finance Ltd. Aug 11 2028,Debt,7.34%
8 Bajaj Finance Ltd. Oct 17 2028,Debt,7.31%
7.83 Small Industries Development Bank Of India Nov 24 2028,Debt,7.27%
ICICI Bank Ltd.,Others,6.85%
7.37 GOI Oct 23 2028,Debt,5.90%
Motilal Oswal Financial Services Ltd.,Others,4.23%
7.1 GOI Apr 18 2029,Debt,2.91%
Au Small Finance Bank Ltd.,Others,2.82%
Treasury Bill (364D),Others,1.42%
Triparty Repo,Others,0.75%
Net Receivables/(Payable),Others,0.33%
SBI - CDMDF - A2 Units,Others,0.24%
