Company Name,Asset Type,Percentage Allocation
7.18 GOI Aug 14 2033,Debt,82.65%
7.18 GOI Jul 24 2037,Debt,3.26%
Net Receivables/(Payable),Others,2.71%
7.97 HDFC Bank Ltd. Feb 17 2033,Debt,1.44%
7.8 HDFC Bank Ltd. May  3 2033,Debt,1.42%
7.86 HDFC Bank Ltd. Dec  2 2032,Debt,1.42%
7.3 GOI Jun 19 2053,Debt,1.40%
6.54 GOI Jan 17 2032,Debt,1.09%
8.47 LIC Housing Finance Ltd. Jun 10 2026,Debt,0.57%
8.43 LIC Housing Finance Ltd. Jul 10 2026,Debt,0.57%
7.7 Larsen & Toubro Ltd. Apr 28 2025,Debt,0.57%
5.83 State Bank Of India Oct 25 2030,Debt,0.55%
7.65 Power Finance Corporation Ltd. Nov 22 2027,Debt,0.28%
5.7 National Bank For Agriculture & Rural Development (Nabard) Jul 31 2025,Debt,0.28%
SBI - CDMDF - A2 Units,Others,0.22%
CBLO(CCIL),Others,0.19%
7.54 Small Industries Development Bank Of India Jan 12 2026,Debt,0.17%
7.17 GOI Apr 17 2030,Debt,0.14%
7.4 National Bank For Agriculture & Rural Development (Nabard) Jan 30 2026,Debt,0.14%
7.15 Maharashtra SDL  Oct 13 2026,Debt,0.11%
7.59 Small Industries Development Bank Of India Feb 10 2026,Debt,0.10%
8.67 Maharashtra SDL  Feb 24 2026,Debt,0.09%
7.06 GOI Apr 10 2028,Debt,0.08%
7.65 Telangana SDL Apr 15 2030,Debt,0.06%
7.65 Uttar Pradesh SDL Apr 15 2030,Debt,0.06%
8.88 West Bengal SDL Feb 24 2026,Debt,0.06%
8.31 Telangana SDL Jan 13 2026,Debt,0.06%
6.54 Maharashtra SDL  Feb  9 2027,Debt,0.05%
7.81 Uttar Pradesh SDL Mar 29 2034,Debt,0.05%
5.74 GOI Nov 15 2026,Debt,0.05%
8.06 Tamil Nadu SDL Apr 15 2025,Debt,0.03%
8.28 GOI Sep 21 2027,Debt,0.03%
8.08 Madhya Pradesh SDL Feb 11 2025,Debt,0.03%
9.45 Rajasthan SDL Mar 26 2024,Debt,0.02%
6.72 Tamil Nadu SDL Oct  7 2027,Debt,0.02%
7.88 Chhattisgarh SDL Mar 15 2027,Debt,0.01%
GOI,Debt,0.01%
Interest Rate Swap,Debt,0.00%
7.41 GOI Dec 19 2036,Debt,0.00%
Derivative,Others,0.00%
