Company Name,Asset Type,Percentage Allocation
7.18 GOI Jul 24 2037,Debt,26.42%
7.33 GOI Sep 22 2033,Debt,21.23%
7.26 GOI Feb  6 2033,Debt,12.35%
7.25 GOI Jun 12 2063,Debt,4.93%
7.79 Small Industries Development Bank Of India May 14 2027,Debt,4.20%
7.75 HDFC Bank Ltd. Jun 13 2033,Debt,4.17%
7.17 GOI Apr 17 2030,Debt,3.95%
Current Assets,Others,3.33%
6.83 Power Finance Corporation Ltd. Jan 22 2031,Debt,2.79%
GOI,Debt,2.39%
4.45 GOI Oct 30 2034,Debt,1.74%
7.23 Small Industries Development Bank Of India Mar  9 2026,Debt,1.66%
GOI,Debt,1.42%
7.71 HDFC Bank Ltd. Dec 20 2033,Debt,1.40%
7.69 HDFC Bank Ltd. Jan 27 2033,Debt,1.39%
6.99 Telangana SDL Jun 10 2028,Debt,1.10%
GOI,Debt,0.84%
7.74 DME Development Ltd. Dec  4 2038,Debt,0.84%
7.18 GOI Aug 14 2033,Debt,0.70%
Triparty Repo,Others,0.64%
7.64 Power Finance Corporation Ltd. Feb 22 2033,Debt,0.56%
GOI,Debt,0.41%
GOI,Debt,0.39%
7.55 REC Ltd. Mar 31 2028,Debt,0.33%
7.33 GOI Dec  7 2031,Debt,0.28%
SBI - CDMDF - A2 Units,Others,0.22%
6.58 Gujarat SDL Mar 31 2027,Debt,0.12%
7.78 West Bengal SDL Mar  1 2027,Debt,0.11%
GOI,Debt,0.08%
7.3 GOI Jun 19 2053,Debt,0.01%
6.67 GOI Dec 17 2050,Debt,0.00%
6.4 Andhra Pradesh SDL Dec  2 2028,Debt,0.00%
