Company Name,Asset Type,Percentage Allocation
7.18 GOI Aug 14 2033,Debt,31.90%
7.18 GOI Jul 24 2037,Debt,10.14%
7.3 GOI Jun 19 2053,Debt,7.22%
Triparty Repo,Others,5.86%
8.5 Torrent Power Ltd. Jun  7 2031,Debt,4.37%
8.3 Godrej Properties Ltd. Mar 19 2027,Debt,4.37%
7.09 Tata Realty & Infrastructure Ltd. Jun 21 2024,Debt,4.08%
8.25 Tata Housing Development Company Ltd. Apr 30 2026,Debt,3.80%
8 Mahanagar Telephone Nigam Ltd. Nov 15 2032,Debt,3.28%
9.5221 Avanse Financial Services Ltd. May 29 2026,Debt,3.22%
8.8 Bharti Telecom Ltd. Nov 21 2025,Debt,2.93%
7.98 REC Ltd. Apr 28 2123,Debt,2.93%
7.9 Jamnagar Utilities & Power Pvt. Ltd. Aug 10 2028,Debt,2.92%
7.67 LIC Housing Finance Ltd. Apr 15 2033,Debt,2.91%
10.21 JM Financial Asset Reconstruction Company Pvt. Ltd. Feb  2 2026,Debt,2.63%
7.73 Jindal Stainless Ltd. May 24 2025,Debt,2.57%
8.65 Poonawalla Housing Finance Ltd. Sep 16 2025,Debt,1.75%
8.57 Bank Of India Dec  2 2122,Debt,1.70%
8.43 Tata Projects Ltd. Feb  6 2026,Debt,1.46%
8.5 Aadhar Housing Finance Ltd. Aug 17 2026,Debt,1.45%
SBI - CDMDF - A2 Units,Others,0.22%
Net Receivables/(Payable),Others,-1.72%
