Company Name,Asset Type,Percentage Allocation
CBLO(CCIL),Others,3.49%
Gujarat Fluorochemicals Ltd.,Equity,3.42%
Coromandel International Ltd. (Coromandel Fertilisers Ltd.),Equity,2.96%
Au Small Finance Bank Ltd.,Equity,2.93%
Fortis Healthcare Ltd.,Equity,2.81%
Mphasis Ltd.,Equity,2.76%
Torrent Power Ltd.,Equity,2.68%
The Phoenix Mills Ltd.,Equity,2.62%
The Federal Bank Ltd.,Equity,2.50%
K P R Mill Ltd.,Equity,2.49%
Cholamandalam Financial Holdings Ltd.,Equity,2.42%
Glenmark Pharmaceuticals Ltd.,Equity,2.27%
Bharat Electronics Ltd.,Equity,2.24%
Cholamandalam Investment & Finance Company Ltd.,Equity,2.05%
Bharat Forge Ltd.,Equity,2.00%
Shriram Finance Ltd.(Erstwhile Shriram Transport Finance Company Limited),Equity,1.94%
AIA Engineering Ltd.,Equity,1.77%
Max Financial Services Ltd.,Equity,1.69%
Crompton Greaves Consumer Electrcials Ltd.,Equity,1.68%
Mahindra & Mahindra Financial Services Ltd.,Equity,1.67%
NMDC Ltd.,Equity,1.65%
Thermax Ltd.,Equity,1.60%
Voltas Ltd.,Equity,1.58%
ICICI Bank Ltd.,Equity,1.54%
Cummins India Ltd.,Equity,1.49%
Coforge Ltd.,Equity,1.46%
GMM Pfaudler Ltd.,Equity,1.44%
Inox Wind Energy Ltd.,Equity,1.43%
Radico Khaitan Ltd.,Equity,1.38%
TVS Motor Company Ltd.,Equity,1.38%
ACC Ltd.,Equity,1.35%
Lupin Ltd.,Equity,1.29%
Sanofi India Ltd.,Equity,1.16%
Apollo Hospitals Enterprise Ltd.,Equity,1.15%
Sun T V Network Ltd.,Equity,1.15%
Container Corporation Of India Ltd.,Equity,1.14%
Aarti Industries Ltd.,Equity,1.12%
Polycab India Ltd.,Equity,1.11%
Aditya Birla Fashion & Retail Ltd.,Equity,1.09%
Century Textiles & Industries Ltd.,Equity,1.06%
Jindal Steel & Power Ltd.,Equity,1.06%
Info Edge (India) Ltd.,Equity,1.04%
The Ramco Cements Ltd.,Equity,1.03%
Sona Blw Precision Forgings Ltd.,Equity,1.02%
The Indian Hotels Company Ltd.,Equity,1.02%
Ltimindtree Ltd.,Equity,1.00%
Computer Age Management Services Ltd.,Equity,0.97%
Ashok Leyland Ltd.,Equity,0.92%
Vedant Fashions Pvt. Ltd.,Equity,0.77%
Birlasoft Ltd.,Equity,0.76%
Kansai Nerolac Paints Ltd.,Equity,0.73%
Kalpataru Projects International Ltd.,Equity,0.68%
Schaeffler India Ltd.,Equity,0.67%
Tata Consumer Products Ltd.,Equity,0.66%
Whirlpool of India Ltd.,Equity,0.65%
Exide Industries Ltd.,Equity,0.64%
HDFC Asset Management Company Ltd.,Equity,0.60%
Endurance Technologies Ltd.,Equity,0.58%
United Spirits Ltd.,Equity,0.58%
Emami Ltd.,Equity,0.57%
Jubilant Foodworks Ltd.,Equity,0.57%
Steel Authority Of India Ltd.,Equity,0.55%
Akzo Nobel India Ltd.,Equity,0.53%
Indusind Bank Ltd.,Equity,0.52%
The Supreme Industries Ltd.,Equity,0.52%
Gateway Distriparks Ltd.,Equity,0.51%
DCB Bank Ltd.,Equity,0.48%
Atul Ltd.,Equity,0.47%
V-Guard Industries Ltd.,Equity,0.45%
GFL Ltd.,Equity,0.44%
GMR Airports Infrastructure Ltd.,Equity,0.41%
NMDC Steel Ltd,Equity,0.38%
United Breweries Ltd.,Equity,0.36%
Net Receivables/(Payable),Others,0.35%
MRF Ltd.,Equity,0.35%
Restaurant Brands Asia Ltd.,Equity,0.33%
Sundram Fasteners Ltd.,Equity,0.31%
Bank Of India,Equity,0.28%
IDFC Ltd.,Equity,0.26%
Metropolis Healthcare Ltd.,Equity,0.24%
Fsn ECommerce Ventures Ltd.,Equity,0.19%
Dalmia Bharat Ltd.,Equity,0.16%
Aditya Birla Capital Ltd.,Equity,0.11%
Other Margin,Debt,0.10%
Solara Active Pharma Sciences Ltd.,Equity,0.09%
IDFC First Bank Ltd. (Erstwhile IDFC Bank Ltd.),Equity,0.09%
Bharti Airtel Ltd.,Equity,0.03%
Happy Forgings Ltd.,Equity,0.02%
Cash,Others,0.00%
