Company Name,Asset Type,Percentage Allocation
Triparty Repo,Others,3.69%
Tata Technologies Ltd.,Equity,3.46%
Trent Ltd.,Equity,3.46%
CG Power & Industrial Solutions Ltd.,Equity,2.95%
TVS Motor Company Ltd.,Equity,2.81%
Cummins India Ltd.,Equity,2.76%
The Federal Bank Ltd.,Equity,2.75%
Persistent Systems Ltd.,Equity,2.50%
Astral Ltd. (Erstwhile Astral Poly Technik Ltd.),Equity,2.47%
UNO Minda Ltd.,Equity,2.43%
The Indian Hotels Company Ltd.,Equity,2.27%
Tata Communications Ltd.,Equity,2.12%
Navin Fluorine International Ltd.,Equity,2.06%
Sona Blw Precision Forgings Ltd.,Equity,2.01%
APL Apollo Tubes Ltd.,Equity,1.99%
The Supreme Industries Ltd.,Equity,1.95%
Kajaria Ceramics Ltd.,Equity,1.85%
Prestige Estates Projects Ltd.,Equity,1.82%
Metro Brands Ltd.,Equity,1.76%
Schaeffler India Ltd.,Equity,1.62%
Concord Biotech Ltd.,Equity,1.59%
Bharat Forge Ltd.,Equity,1.59%
Coromandel International Ltd. (Coromandel Fertilisers Ltd.),Equity,1.58%
Varun Beverages Ltd.,Equity,1.56%
Apar Industries Ltd.,Equity,1.51%
KPIT Technologies Ltd.,Equity,1.51%
Cholamandalam Investment & Finance Company Ltd.,Equity,1.48%
Tata Chemicals Ltd.,Equity,1.44%
Thermax Ltd.,Equity,1.44%
Timken India Ltd.,Equity,1.43%
Sundram Fasteners Ltd.,Equity,1.37%
United Breweries Ltd.,Equity,1.33%
Max Healthcare Institute Ltd.,Equity,1.33%
Mphasis Ltd.,Equity,1.26%
Data Patterns (India) Ltd.,Equity,1.19%
Abbott India Ltd.,Equity,1.19%
K P R Mill Ltd.,Equity,1.19%
3M India Ltd.,Equity,1.17%
Solar Industries India Ltd.,Equity,1.16%
Suzlon Energy Ltd.,Equity,1.13%
Torrent Power Ltd.,Equity,1.11%
Carborundum Universal Ltd.,Equity,1.09%
Safari Industries (India) Ltd.,Equity,1.07%
Craftsman Automation Ltd.,Equity,1.07%
CreditAccess Grameen Ltd.,Equity,1.04%
Blue Jet Healthcare Ltd.,Equity,1.03%
Titagarh Railsystems Ltd.,Equity,1.01%
Polycab India Ltd.,Equity,0.99%
J. K. Cement Ltd.,Equity,0.98%
Dixon Technologies (India) Ltd.,Equity,0.98%
ICICI Bank Ltd.,Equity,0.97%
Electronics Mart India Ltd.,Equity,0.94%
Krishna Institute of Medical Sciences Ltd.,Equity,0.92%
Coforge Ltd.,Equity,0.89%
Tata Motors Ltd.,Equity,0.85%
L&T Finance Holding Ltd.,Equity,0.85%
Kaynes Technology India Pvt. Ltd.,Equity,0.84%
Mahindra & Mahindra Financial Services Ltd.,Equity,0.75%
Aether Industries Ltd.,Equity,0.73%
REC Ltd.,Equity,0.73%
IDFC First Bank Ltd. (Erstwhile IDFC Bank Ltd.),Equity,0.71%
Shriram Finance Ltd.(Erstwhile Shriram Transport Finance Company Limited),Equity,0.62%
Vedant Fashions Pvt. Ltd.,Equity,0.61%
Bajaj Finance Ltd.,Equity,0.60%
R R Kabel Ltd.,Equity,0.54%
BSE Ltd.,Equity,0.50%
KEI Industries Ltd.,Equity,0.44%
Indian Bank,Equity,0.36%
NMDC Ltd.,Equity,0.31%
Jindal Stainless Ltd.,Equity,0.30%
Power Finance Corporation Ltd.,Equity,0.29%
Piramal Pharma Ltd.,Equity,0.21%
Mrs Bectors Food Specialities Ltd.,Equity,0.15%
Doms Industries Ltd.,Equity,0.09%
Cash Margin,Debt,0.02%
Current Assets,Others,-0.78%
