Company Name,Asset Type,Percentage Allocation
Trent Ltd.,Equity,3.33%
UNO Minda Ltd.,Equity,3.30%
Bharat Electronics Ltd.,Equity,3.05%
CRISIL Ltd.,Equity,2.99%
Sundaram Finance Ltd.,Equity,2.96%
Polycab India Ltd.,Equity,2.77%
The Federal Bank Ltd.,Equity,2.77%
J. K. Cement Ltd.,Equity,2.75%
Indian Bank,Equity,2.51%
K P R Mill Ltd.,Equity,2.49%
Abbott India Ltd.,Equity,2.47%
Sundram Fasteners Ltd.,Equity,2.41%
Global Health Ltd.,Equity,2.34%
TVS Motor Company Ltd.,Equity,2.31%
Max Healthcare Institute Ltd.,Equity,2.30%
Persistent Systems Ltd.,Equity,2.27%
HDFC Bank Ltd.,Equity,2.22%
Power Finance Corporation Ltd.,Equity,2.19%
Triparty Repo,Others,2.06%
PI Industries Ltd.,Equity,2.05%
Astral Ltd. (Erstwhile Astral Poly Technik Ltd.),Equity,2.00%
AIA Engineering Ltd.,Equity,1.99%
Linde India Ltd.,Equity,1.95%
Bharat Forge Ltd.,Equity,1.90%
Kajaria Ceramics Ltd.,Equity,1.88%
Deepak Nitrite Ltd.,Equity,1.80%
REC Ltd.,Equity,1.69%
JK Lakshmi Cement Ltd.,Equity,1.53%
Coforge Ltd.,Equity,1.53%
Bharti Airtel Ltd.,Equity,1.48%
Navin Fluorine International Ltd.,Equity,1.48%
Max Financial Services Ltd.,Equity,1.39%
APL Apollo Tubes Ltd.,Equity,1.38%
The Phoenix Mills Ltd.,Equity,1.38%
Mankind Pharma Ltd.,Equity,1.24%
ICICI Bank Ltd.,Equity,1.24%
Torrent Power Ltd.,Equity,1.22%
Page Industries Ltd.,Equity,1.19%
JB Chemicals & Pharmaceuticals Ltd.,Equity,1.19%
CG Power & Industrial Solutions Ltd.,Equity,1.18%
Devyani International Ltd.,Equity,1.15%
Mphasis Ltd.,Equity,1.15%
NHPC Ltd.,Equity,1.14%
Bharat Heavy Electricals Ltd.,Equity,1.06%
Schaeffler India Ltd.,Equity,1.05%
United Breweries Ltd.,Equity,1.02%
Gland Pharma Ltd.,Equity,1.01%
Avenue Supermarts Ltd.,Equity,0.99%
Dixon Technologies (India) Ltd.,Equity,0.99%
KPIT Technologies Ltd.,Equity,0.98%
Shriram Finance Ltd.(Erstwhile Shriram Transport Finance Company Limited),Equity,0.97%
The Indian Hotels Company Ltd.,Equity,0.97%
CreditAccess Grameen Ltd.,Equity,0.85%
Brigade Enterprises Ltd.,Equity,0.84%
Go Fashion (India) Ltd.,Equity,0.80%
Metro Brands Ltd.,Equity,0.66%
Net Receivables/(Payable),Others,0.61%
IPCA Laboratories Ltd.,Equity,0.59%
Tata Steel Ltd.,Equity,0.52%
Happy Forgings Ltd.,Equity,0.49%
