Company Name,Asset Type,Percentage Allocation
The Federal Bank Ltd.,Equity,3.71%
Bharat Electronics Ltd.,Equity,2.73%
Trent Ltd.,Equity,2.66%
Deepak Nitrite Ltd.,Equity,2.64%
Cash,Others,2.62%
Equitas Small Finance Bank Ltd.,Equity,2.52%
Prestige Estates Projects Ltd.,Equity,2.45%
REC Ltd.,Equity,2.41%
Mphasis Ltd.,Equity,2.28%
Persistent Systems Ltd.,Equity,2.21%
Coromandel International Ltd. (Coromandel Fertilisers Ltd.),Equity,2.20%
Hindustan Aeronautics Ltd.,Equity,2.16%
ICICI Bank Ltd.,Equity,2.16%
HDFC Bank Ltd.,Equity,2.12%
Emami Ltd.,Equity,2.10%
Tata Steel Ltd.,Equity,2.07%
Crompton Greaves Consumer Electrcials Ltd.,Equity,2.01%
Sundram Fasteners Ltd.,Equity,1.95%
NHPC Ltd.,Equity,1.83%
Cummins India Ltd.,Equity,1.78%
J. K. Cement Ltd.,Equity,1.70%
Oberoi Realty Ltd.,Equity,1.69%
IPCA Laboratories Ltd.,Equity,1.68%
CG Power & Industrial Solutions Ltd.,Equity,1.67%
Max Financial Services Ltd.,Equity,1.66%
Coforge Ltd.,Equity,1.64%
Max Healthcare Institute Ltd.,Equity,1.60%
Alkem Laboratories Ltd.,Equity,1.58%
The Indian Hotels Company Ltd.,Equity,1.49%
Indusind Bank Ltd.,Equity,1.43%
Mahindra & Mahindra Financial Services Ltd.,Equity,1.42%
Apollo Tyres Ltd.,Equity,1.40%
City Union Bank Ltd.,Equity,1.35%
The Ramco Cements Ltd.,Equity,1.35%
The Phoenix Mills Ltd.,Equity,1.29%
Dixon Technologies (India) Ltd.,Equity,1.26%
United Breweries Ltd.,Equity,1.24%
Escorts Kubota Ltd.,Equity,1.21%
Abbott India Ltd.,Equity,1.21%
Page Industries Ltd.,Equity,1.21%
Colgate-Palmolive Ltd.,Equity,1.15%
PB Fintech Ltd.,Equity,1.13%
Ajanta Pharma Ltd.,Equity,1.11%
Motherson Sumi Wiring India Ltd.,Equity,1.09%
Container Corporation Of India Ltd.,Equity,1.08%
Endurance Technologies Ltd.,Equity,1.08%
Laurus Labs Ltd.,Equity,1.06%
Jubilant Foodworks Ltd.,Equity,1.05%
Tube Investments Of India Ltd.,Equity,1.04%
Voltas Ltd.,Equity,1.04%
Gujarat State Petronet Ltd.,Equity,1.03%
ACC Ltd.,Equity,0.99%
Karur Vysya Bank Ltd.,Equity,0.96%
Nuvoco Vistas Corporation Ltd.,Equity,0.93%
L&T Finance Holding Ltd.,Equity,0.90%
APL Apollo Tubes Ltd.,Equity,0.88%
PI Industries Ltd.,Equity,0.80%
Bharat Forge Ltd.,Equity,0.67%
Kajaria Ceramics Ltd.,Equity,0.65%
Hindustan Petroleum Corporation Ltd.,Equity,0.61%
Whirlpool of India Ltd.,Equity,0.58%
Indraprastha Gas Ltd.,Equity,0.56%
Devyani International Ltd.,Equity,0.53%
K P R Mill Ltd.,Equity,0.50%
SKF India Ltd.,Equity,0.47%
Ashok Leyland Ltd.,Equity,0.45%
Praj Industries Ltd.,Equity,0.42%
EPL Ltd. (Erstwhile Essel Propack Ltd.),Equity,0.42%
Honeywell Automation India Ltd.,Equity,0.41%
Bosch Ltd.,Equity,0.31%
Chemplast Sanmar Ltd.,Equity,0.20%
Exide Industries Ltd.,Equity,0.12%
Mahindra & Mahindra Financial Services Ltd.,Equity,0.08%
Term Deposit,Debt,0.07%
Numero Uno International Ltd.,Equity,0.00%
Derivative,Others,-0.08%
