Company Name,Asset Type,Percentage Allocation
Net Receivables/(Payable),Others,4.78%
Solar Industries India Ltd.,Equity,3.11%
The Federal Bank Ltd.,Equity,2.26%
Max Healthcare Institute Ltd.,Equity,2.06%
Persistent Systems Ltd.,Equity,2.04%
Laurus Labs Ltd.,Equity,2.02%
Bharat Dynamics Ltd.,Equity,1.99%
Sundaram Finance Ltd.,Equity,1.92%
Power Finance Corporation Ltd.,Equity,1.89%
ABB India Ltd.,Equity,1.88%
REC Ltd.,Equity,1.87%
Jindal Stainless Ltd.,Equity,1.85%
Indian Bank,Equity,1.84%
Coforge Ltd.,Equity,1.82%
Bank Of India,Equity,1.82%
Union Bank Of India,Equity,1.82%
Alkem Laboratories Ltd.,Equity,1.75%
Bharat Heavy Electricals Ltd.,Equity,1.69%
Mphasis Ltd.,Equity,1.67%
Bharat Electronics Ltd.,Equity,1.64%
Page Industries Ltd.,Equity,1.58%
Timken India Ltd.,Equity,1.57%
Schaeffler India Ltd.,Equity,1.53%
Aurobindo Pharma Ltd.,Equity,1.49%
Zomato Ltd.,Equity,1.48%
The Phoenix Mills Ltd.,Equity,1.46%
TVS Motor Company Ltd.,Equity,1.45%
Honeywell Automation India Ltd.,Equity,1.43%
Tube Investments Of India Ltd.,Equity,1.42%
Hindustan Aeronautics Ltd.,Equity,1.40%
Cummins India Ltd.,Equity,1.34%
Bosch Ltd.,Equity,1.34%
Muthoot Finance Ltd.,Equity,1.34%
NMDC Ltd.,Equity,1.34%
GMR Airports Infrastructure Ltd.,Equity,1.33%
Emami Ltd.,Equity,1.28%
Tata Communications Ltd.,Equity,1.24%
Shriram Finance Ltd.(Erstwhile Shriram Transport Finance Company Limited),Equity,1.23%
Dalmia Bharat Ltd.,Equity,1.23%
Bank Of Maharashtra,Equity,1.19%
Trent Ltd.,Equity,1.18%
Brigade Enterprises Ltd.,Equity,1.13%
Archean Chemical Industries Ltd.,Equity,1.11%
National Thermal Power Corporation Ltd.,Equity,1.09%
Westlife Foodworld Ltd.,Equity,1.08%
NLC India Ltd.,Equity,1.05%
TTK Prestige Ltd.,Equity,1.03%
Inox Wind Ltd.,Equity,1.03%
Vinati Organics Ltd.,Equity,1.02%
AIA Engineering Ltd.,Equity,1.02%
Sumitomo Chemical India Ltd.,Equity,1.01%
Container Corporation Of India Ltd.,Equity,1.01%
Samvardhana Motherson International Ltd. (Erstwhile Motherson Sumi Systems Ltd.),Equity,1.00%
SJVN Ltd.,Equity,0.99%
Sundram Fasteners Ltd.,Equity,0.98%
Max Financial Services Ltd.,Equity,0.97%
NHPC Ltd.,Equity,0.96%
Mankind Pharma Ltd.,Equity,0.96%
Ircon International Ltd.,Equity,0.94%
KPIT Technologies Ltd.,Equity,0.90%
Rail Vikas Nigam Ltd.,Equity,0.89%
Jupiter Wagons Ltd.,Equity,0.89%
Suzlon Energy Ltd.,Equity,0.85%
Thomas Cook (India) Ltd.,Equity,0.84%
Kaynes Technology India Pvt. Ltd.,Equity,0.82%
Ganesha Ecosphere Ltd.,Equity,0.81%
Carborundum Universal Ltd.,Equity,0.79%
J. K. Cement Ltd.,Equity,0.76%
IDEAForge Technology Ltd.,Equity,0.75%
Bharat Petroleum Corporation Ltd.,Equity,0.72%
ITI Mutual Fund (ITI Banking & PSU Debt Fund - Direct - Growth),Debt,0.68%
APL Apollo Tubes Ltd.,Equity,0.65%
Tata Technologies Ltd.,Equity,0.52%
Finolex Cables Ltd.,Equity,0.49%
IRM Energy Ltd.,Equity,0.43%
Derivative,Others,-0.72%
