Company Name,Asset Type,Percentage Allocation
Cholamandalam Investment & Finance Company Ltd.,Equity,4.22%
Trent Ltd.,Equity,4.20%
The Federal Bank Ltd.,Equity,3.93%
Prestige Estates Projects Ltd.,Equity,3.08%
Apollo Tyres Ltd.,Equity,3.03%
Max Healthcare Institute Ltd.,Equity,3.03%
Mankind Pharma Ltd.,Equity,3.00%
REC Ltd.,Equity,2.78%
Max Financial Services Ltd.,Equity,2.73%
NHPC Ltd.,Equity,2.26%
Persistent Systems Ltd.,Equity,2.21%
Honasa Consumer Ltd.,Equity,2.20%
Kalyan Jewellers India Ltd.,Equity,2.07%
Apar Industries Ltd.,Equity,2.05%
Bharat Forge Ltd.,Equity,2.02%
J. K. Cement Ltd.,Equity,2.00%
Dixon Technologies (India) Ltd.,Equity,2.00%
TVS Motor Company Ltd.,Equity,1.99%
Sundram Fasteners Ltd.,Equity,1.98%
The Indian Hotels Company Ltd.,Equity,1.97%
Cummins India Ltd.,Equity,1.96%
ICICI Bank Ltd.,Equity,1.93%
BSE Ltd.,Equity,1.84%
Astral Ltd. (Erstwhile Astral Poly Technik Ltd.),Equity,1.82%
Indian Bank,Equity,1.69%
Triparty Repo,Others,1.60%
Coforge Ltd.,Equity,1.59%
UNO Minda Ltd.,Equity,1.56%
Gland Pharma Ltd.,Equity,1.56%
Timken India Ltd.,Equity,1.55%
Ratnamani Metals & Tubes Ltd.,Equity,1.50%
KEI Industries Ltd.,Equity,1.50%
ZF Commercial Vehicle Control Systems India Ltd.,Equity,1.50%
Kaynes Technology India Pvt. Ltd.,Equity,1.48%
The Phoenix Mills Ltd.,Equity,1.44%
Tata Elxsi Ltd.,Equity,1.37%
Global Health Ltd.,Equity,1.28%
PNC Infratech Ltd.,Equity,1.26%
Page Industries Ltd.,Equity,1.26%
AIA Engineering Ltd.,Equity,1.23%
Devyani International Ltd.,Equity,1.22%
Mphasis Ltd.,Equity,1.20%
Innova Captab Ltd.,Equity,1.19%
Metro Brands Ltd.,Equity,1.12%
Crompton Greaves Consumer Electrcials Ltd.,Equity,1.10%
PB Fintech Ltd.,Equity,1.07%
K P R Mill Ltd.,Equity,1.04%
The Ramco Cements Ltd.,Equity,1.03%
Thermax Ltd.,Equity,0.95%
APL Apollo Tubes Ltd.,Equity,0.92%
Jubilant Foodworks Ltd.,Equity,0.91%
Kajaria Ceramics Ltd.,Equity,0.91%
Sobha Ltd.,Equity,0.90%
L&T Finance Holding Ltd.,Equity,0.86%
Navin Fluorine International Ltd.,Equity,0.85%
Ethos Ltd.,Equity,0.84%
Honeywell Automation India Ltd.,Equity,0.75%
Equitas Small Finance Bank Ltd.,Equity,0.50%
Craftsman Automation Ltd.,Equity,0.02%
Net Receivables/(Payable),Others,-1.05%
