Company Name,Asset Type,Percentage Allocation
REC Ltd.,Equity,4.11%
NHPC Ltd.,Equity,3.46%
Bharat Heavy Electricals Ltd.,Equity,3.21%
The Federal Bank Ltd.,Equity,3.01%
Bank Of Maharashtra,Equity,2.94%
Cummins India Ltd.,Equity,2.88%
Equitas Small Finance Bank Ltd.,Equity,2.76%
Navin Fluorine International Ltd.,Equity,2.69%
Godrej Properties Ltd.,Equity,2.52%
Dr Lal PathLabs Ltd.,Equity,2.48%
Fortis Healthcare Ltd.,Equity,2.37%
Jubilant Foodworks Ltd.,Equity,2.37%
Aurobindo Pharma Ltd.,Equity,2.34%
Schaeffler India Ltd.,Equity,2.32%
Sumitomo Chemical India Ltd.,Equity,2.25%
Bharat Forge Ltd.,Equity,2.24%
Timken India Ltd.,Equity,2.15%
Coromandel International Ltd. (Coromandel Fertilisers Ltd.),Equity,2.05%
Coforge Ltd.,Equity,2.04%
Voltas Ltd.,Equity,2.03%
Dalmia Bharat Ltd.,Equity,2.00%
Tube Investments Of India Ltd.,Equity,1.99%
Triparty Repo,Others,1.98%
The Phoenix Mills Ltd.,Equity,1.90%
Poonawalla Fincorp Ltd. (Erstwhile Magma Fincorp Ltd.),Equity,1.88%
Hitachi Energy India Ltd.,Equity,1.80%
PB Fintech Ltd.,Equity,1.78%
Tata Technologies Ltd.,Equity,1.70%
Balkrishna Industries Ltd.,Equity,1.68%
Tata Steel Ltd.,Equity,1.63%
Sundram Fasteners Ltd.,Equity,1.61%
Steel Authority Of India Ltd.,Equity,1.61%
Arvind Ltd.,Equity,1.58%
HEG Ltd.,Equity,1.57%
Zomato Ltd.,Equity,1.53%
Jyothy Labs Ltd.,Equity,1.53%
Kirloskar Oil Engines Ltd.,Equity,1.46%
Birlasoft Ltd.,Equity,1.45%
K P R Mill Ltd.,Equity,1.43%
PVR INOX Ltd.,Equity,1.38%
Escorts Kubota Ltd.,Equity,1.37%
Thermax Ltd.,Equity,1.36%
Narayana Hrudayalaya Ltd.,Equity,1.34%
Mastek Ltd.,Equity,1.31%
Trent Ltd.,Equity,1.25%
Sun T V Network Ltd.,Equity,1.23%
Credo Brands Marketing Ltd.,Equity,1.23%
Blue Star Ltd.,Equity,1.16%
Ahluwalia Contracts Ltd.,Equity,1.15%
Hindustan Petroleum Corporation Ltd.,Equity,1.08%
Amber Enterprises India Ltd.,Equity,1.08%
Thomas Cook (India) Ltd.,Equity,1.00%
Current Assets,Others,-0.26%
