Company Name,Asset Type,Percentage Allocation
Triparty Repo,Others,5.22%
UNO Minda Ltd.,Equity,4.26%
Trent Ltd.,Equity,3.80%
ICICI Bank Ltd.,Equity,3.15%
Bharat Electronics Ltd.,Equity,3.07%
Coforge Ltd.,Equity,3.04%
The Federal Bank Ltd.,Equity,2.87%
Alkem Laboratories Ltd.,Equity,2.86%
PI Industries Ltd.,Equity,2.57%
Power Finance Corporation Ltd.,Equity,2.43%
Bank Of Baroda,Equity,2.29%
Dalmia Bharat Ltd.,Equity,2.18%
TVS Motor Company Ltd.,Equity,2.13%
State Bank Of India,Equity,2.13%
Crompton Greaves Consumer Electrcials Ltd.,Equity,2.07%
Endurance Technologies Ltd.,Equity,2.00%
Oberoi Realty Ltd.,Equity,1.99%
The Ramco Cements Ltd.,Equity,1.97%
Schaeffler India Ltd.,Equity,1.96%
APL Apollo Tubes Ltd.,Equity,1.90%
Bharat Forge Ltd.,Equity,1.89%
Voltas Ltd.,Equity,1.86%
Ashok Leyland Ltd.,Equity,1.85%
Balkrishna Industries Ltd.,Equity,1.84%
Zomato Ltd.,Equity,1.80%
Astral Ltd. (Erstwhile Astral Poly Technik Ltd.),Equity,1.79%
Info Edge (India) Ltd.,Equity,1.79%
The Indian Hotels Company Ltd.,Equity,1.79%
Container Corporation Of India Ltd.,Equity,1.74%
Cholamandalam Investment & Finance Company Ltd.,Equity,1.74%
PCBL Ltd. (Erstwhile Phillips Carbon Black Ltd.),Equity,1.67%
Sumitomo Chemical India Ltd.,Equity,1.65%
Torrent Power Ltd.,Equity,1.61%
3M India Ltd.,Equity,1.59%
K P R Mill Ltd.,Equity,1.52%
Muthoot Finance Ltd.,Equity,1.48%
Coromandel International Ltd. (Coromandel Fertilisers Ltd.),Equity,1.46%
The Supreme Industries Ltd.,Equity,1.46%
Piramal Enterprises Ltd.,Equity,1.37%
Metro Brands Ltd.,Equity,1.35%
Jubilant Foodworks Ltd.,Equity,1.32%
REC Ltd.,Equity,1.26%
Apollo Tyres Ltd.,Equity,1.18%
Tata Elxsi Ltd.,Equity,1.07%
Laurus Labs Ltd.,Equity,1.02%
Indian Railway Catering & Tourism Corporation Ltd.,Equity,1.01%
ACC Ltd.,Equity,0.97%
Shriram Finance Ltd.(Erstwhile Shriram Transport Finance Company Limited),Equity,0.93%
Honeywell Automation India Ltd.,Equity,0.89%
SAI Silks (Kalamandir) Ltd.,Equity,0.87%
Suzlon Energy Ltd.,Equity,0.83%
KEI Industries Ltd.,Equity,0.82%
Polycab India Ltd.,Equity,0.61%
Protean Egov Technologies Ltd.,Equity,0.48%
Net Receivables/(Payable),Others,-0.35%
