Company Name,Asset Type,Percentage Allocation
Triparty Repo,Others,5.12%
REC Ltd.,Equity,3.52%
The Federal Bank Ltd.,Equity,2.46%
Union Bank Of India,Equity,2.40%
Godrej Industries Ltd.,Equity,2.36%
Indus Towers Ltd. (Erstwhile Bharti Infratel Limited),Equity,2.31%
Max Healthcare Institute Ltd.,Equity,2.12%
Mphasis Ltd.,Equity,2.04%
Persistent Systems Ltd.,Equity,2.04%
Coforge Ltd.,Equity,2.03%
Coal India Ltd.,Equity,1.99%
Gujarat Fluorochemicals Ltd.,Equity,1.97%
Piramal Enterprises Ltd.,Equity,1.79%
L&T Finance Holding Ltd.,Equity,1.74%
NLC India Ltd.,Equity,1.72%
Lupin Ltd.,Equity,1.69%
Jindal Steel & Power Ltd.,Equity,1.67%
CRISIL Ltd.,Equity,1.67%
ZF Commercial Vehicle Control Systems India Ltd.,Equity,1.64%
Schaeffler India Ltd.,Equity,1.63%
Zydus Lifesciences Ltd.,Equity,1.62%
NMDC Ltd.,Equity,1.60%
NHPC Ltd.,Equity,1.60%
Vedant Fashions Pvt. Ltd.,Equity,1.59%
Max Financial Services Ltd.,Equity,1.58%
Apar Industries Ltd.,Equity,1.58%
Punjab National Bank,Equity,1.54%
Bharat Heavy Electricals Ltd.,Equity,1.52%
Aurobindo Pharma Ltd.,Equity,1.51%
Hindustan Aeronautics Ltd.,Equity,1.50%
Voltas Ltd.,Equity,1.50%
Minda Corporation Ltd.,Equity,1.49%
Deepak Nitrite Ltd.,Equity,1.45%
Dalmia Bharat Ltd.,Equity,1.45%
LIC Housing Finance Ltd.,Equity,1.41%
Zomato Ltd.,Equity,1.37%
Kajaria Ceramics Ltd.,Equity,1.36%
Jindal Stainless Ltd.,Equity,1.36%
Indian Bank,Equity,1.33%
Balkrishna Industries Ltd.,Equity,1.28%
AIA Engineering Ltd.,Equity,1.26%
Grindwell Norton Ltd.,Equity,1.22%
CG Power & Industrial Solutions Ltd.,Equity,1.21%
CESC Ltd.,Equity,1.17%
Zee Entertainment Enterprises Ltd.,Equity,1.15%
Emami Ltd.,Equity,1.09%
Aditya Birla Fashion & Retail Ltd.,Equity,1.08%
TVS Motor Company Ltd.,Equity,1.06%
Crompton Greaves Consumer Electrcials Ltd.,Equity,1.06%
Oberoi Realty Ltd.,Equity,1.02%
Apollo Tyres Ltd.,Equity,1.01%
Triveni Engineering & Industries Ltd.,Equity,0.99%
Hindustan Petroleum Corporation Ltd.,Equity,0.99%
Oil India Ltd.,Equity,0.98%
Solar Industries India Ltd.,Equity,0.97%
Kaynes Technology India Pvt. Ltd.,Equity,0.92%
Century Textiles & Industries Ltd.,Equity,0.88%
Polycab India Ltd.,Equity,0.85%
Jio Financial Services Ltd.,Equity,0.83%
One 97 Communications Ltd.,Equity,0.80%
Gland Pharma Ltd.,Equity,0.80%
Escorts Kubota Ltd.,Equity,0.78%
Lakshmi Machine Works Ltd.,Equity,0.76%
Page Industries Ltd.,Equity,0.73%
Bharat Forge Ltd.,Equity,0.65%
Kirloskar Oil Engines Ltd.,Equity,0.65%
K P R Mill Ltd.,Equity,0.64%
Dixon Technologies (India) Ltd.,Equity,0.58%
Navin Fluorine International Ltd.,Equity,0.45%
Net Receivables/(Payable),Others,-0.16%
