Company Name,Asset Type,Percentage Allocation
Max Healthcare Institute Ltd.,Equity,3.12%
The Phoenix Mills Ltd.,Equity,3.03%
Tube Investments Of India Ltd.,Equity,2.78%
TVS Motor Company Ltd.,Equity,2.76%
Triparty Repo,Others,2.66%
Dixon Technologies (India) Ltd.,Equity,2.61%
Cholamandalam Investment & Finance Company Ltd.,Equity,2.60%
HDFC Bank Ltd.,Equity,2.43%
Timken India Ltd.,Equity,2.27%
Kotak Mahindra Bank Ltd.,Equity,2.27%
Persistent Systems Ltd.,Equity,2.24%
UNO Minda Ltd.,Equity,2.18%
Poonawalla Fincorp Ltd. (Erstwhile Magma Fincorp Ltd.),Equity,2.14%
J. K. Cement Ltd.,Equity,2.09%
Page Industries Ltd.,Equity,2.04%
Sona Blw Precision Forgings Ltd.,Equity,2.01%
Navin Fluorine International Ltd.,Equity,1.97%
Indraprastha Gas Ltd.,Equity,1.95%
PI Industries Ltd.,Equity,1.89%
Max Financial Services Ltd.,Equity,1.83%
HDFC Asset Management Company Ltd.,Equity,1.70%
SKF India Ltd.,Equity,1.66%
CreditAccess Grameen Ltd.,Equity,1.65%
Container Corporation Of India Ltd.,Equity,1.60%
Solar Industries India Ltd.,Equity,1.58%
Coforge Ltd.,Equity,1.58%
Vedant Fashions Pvt. Ltd.,Equity,1.58%
Syngene International Ltd.,Equity,1.56%
Abbott India Ltd.,Equity,1.51%
Balkrishna Industries Ltd.,Equity,1.51%
The Indian Hotels Company Ltd.,Equity,1.50%
Devyani International Ltd.,Equity,1.42%
Astral Ltd. (Erstwhile Astral Poly Technik Ltd.),Equity,1.42%
Motherson Sumi Wiring India Ltd.,Equity,1.40%
CG Power & Industrial Solutions Ltd.,Equity,1.40%
Varun Beverages Ltd.,Equity,1.35%
Mankind Pharma Ltd.,Equity,1.35%
The Supreme Industries Ltd.,Equity,1.34%
L&T Technology Services Ltd.,Equity,1.29%
Oberoi Realty Ltd.,Equity,1.25%
Escorts Kubota Ltd.,Equity,1.24%
Info Edge (India) Ltd.,Equity,1.15%
Interglobe Aviation Ltd.,Equity,1.10%
Laurus Labs Ltd.,Equity,1.08%
Central Depository Services (India) Ltd.,Equity,1.07%
Dr Lal PathLabs Ltd.,Equity,1.00%
Metro Brands Ltd.,Equity,0.96%
United Spirits Ltd.,Equity,0.95%
ZF Commercial Vehicle Control Systems India Ltd.,Equity,0.93%
Bata India Ltd.,Equity,0.93%
Mphasis Ltd.,Equity,0.85%
Zomato Ltd.,Equity,0.81%
Vinati Organics Ltd.,Equity,0.76%
CRISIL Ltd.,Equity,0.75%
Narayana Hrudayalaya Ltd.,Equity,0.72%
APL Apollo Tubes Ltd.,Equity,0.71%
Kajaria Ceramics Ltd.,Equity,0.71%
SBI Cards & Payment Services Pvt. Ltd.,Equity,0.71%
Clean Science & Technology Ltd.,Equity,0.70%
Happiest Minds Technologies Ltd.,Equity,0.69%
Blue Star Ltd.,Equity,0.67%
Sumitomo Chemical India Ltd.,Equity,0.63%
Au Small Finance Bank Ltd.,Equity,0.58%
Bharat Rasayan Ltd.,Equity,0.57%
Aavas Financiers Ltd. (Erstwhile A U Housing Finance),Equity,0.52%
Multi Commodity Exchange of India Ltd.,Equity,0.49%
Havells India Ltd.,Equity,0.48%
Triveni Turbine Ltd.,Equity,0.48%
Cello World Ltd.,Equity,0.43%
Schaeffler India Ltd.,Equity,0.40%
Grindwell Norton Ltd.,Equity,0.25%
Treasury Bill (364D),Others,0.20%
Global Health Ltd.,Equity,0.11%
Net Receivables/(Payable),Others,-0.17%
