Company Name,Asset Type,Percentage Allocation
Triparty Repo,Others,6.58%
CRISIL Ltd.,Equity,3.93%
Sundaram Finance Ltd.,Equity,3.38%
Schaeffler India Ltd.,Equity,3.36%
Tube Investments Of India Ltd.,Equity,3.21%
Torrent Power Ltd.,Equity,3.12%
Thermax Ltd.,Equity,3.01%
Coromandel International Ltd. (Coromandel Fertilisers Ltd.),Equity,2.83%
Sheela Foam Ltd.,Equity,2.61%
The Indian Hotels Company Ltd.,Equity,2.46%
Page Industries Ltd.,Equity,2.39%
Cholamandalam Investment & Finance Company Ltd.,Equity,2.28%
K P R Mill Ltd.,Equity,2.27%
Procter & Gamble Hygiene & Healthcare Ltd.,Equity,2.25%
Carborundum Universal Ltd.,Equity,2.23%
Sona Blw Precision Forgings Ltd.,Equity,2.19%
Max Healthcare Institute Ltd.,Equity,2.00%
Gokaldas Exports Ltd.,Equity,1.95%
Bharat Forge Ltd.,Equity,1.88%
Aether Industries Ltd.,Equity,1.87%
TVS Motor Company Ltd.,Equity,1.84%
Coforge Ltd.,Equity,1.83%
J. K. Cement Ltd.,Equity,1.75%
The Phoenix Mills Ltd.,Equity,1.45%
Mankind Pharma Ltd.,Equity,1.44%
Triveni Turbine Ltd.,Equity,1.44%
Oberoi Realty Ltd.,Equity,1.38%
Jupiter Life Line Hospitals Ltd.,Equity,1.33%
HDFC Bank Ltd.,Equity,1.33%
Motherson Sumi Wiring India Ltd.,Equity,1.31%
Endurance Technologies Ltd.,Equity,1.29%
Grindwell Norton Ltd.,Equity,1.24%
The Federal Bank Ltd.,Equity,1.22%
ZF Commercial Vehicle Control Systems India Ltd.,Equity,1.22%
Info Edge (India) Ltd.,Equity,1.21%
Mahindra & Mahindra Financial Services Ltd.,Equity,1.18%
The Ramco Cements Ltd.,Equity,1.14%
UNO Minda Ltd.,Equity,1.12%
Godrej Properties Ltd.,Equity,1.11%
SKF India Ltd.,Equity,1.05%
HDFC Asset Management Company Ltd.,Equity,1.04%
Jubilant Foodworks Ltd.,Equity,1.00%
Glaxo Smithkline Pharmaceuticals Ltd.,Equity,0.99%
Bajaj Finance Ltd.,Equity,0.95%
PI Industries Ltd.,Equity,0.91%
VRL Logistics Ltd.,Equity,0.77%
Nippon Life India Asset Management Ltd.,Equity,0.68%
Tatva Chintan Pharma Chem Ltd.,Equity,0.67%
Hatsun Agro Product Ltd.,Equity,0.65%
Treasury Bill (182D),Others,0.64%
National Aluminium Company Ltd.,Equity,0.58%
Laurus Labs Ltd.,Equity,0.57%
Pfizer Ltd.,Equity,0.57%
Fsn ECommerce Ventures Ltd.,Equity,0.56%
Sanofi India Ltd.,Equity,0.53%
Relaxo Footwears Ltd.,Equity,0.49%
Steel Authority Of India Ltd.,Equity,0.48%
Prism Johnson Ltd.,Equity,0.47%
Mahindra Lifespace Developers Ltd.,Equity,0.46%
Dodla Dairy Ltd.,Equity,0.46%
City Union Bank Ltd.,Equity,0.46%
Whirlpool of India Ltd.,Equity,0.44%
Natco Pharma Ltd.,Equity,0.39%
Timken India Ltd.,Equity,0.36%
Mangalam Cement Ltd.,Equity,0.34%
Other Margin,Debt,0.34%
Persistent Systems Ltd.,Equity,0.33%
ABB India Ltd.,Equity,0.30%
G R Infraprojects Ltd.,Equity,0.30%
Colgate-Palmolive Ltd.,Equity,0.25%
Swaraj Engines Ltd.,Equity,0.24%
Nuvoco Vistas Corporation Ltd.,Equity,0.23%
Indigo Paints Ltd.,Equity,0.09%
Jubilant Foodworks Ltd.,Equity,0.03%
Derivative,Others,-0.03%
Net Receivables/(Payable),Others,-0.25%
