Company Name,Asset Type,Percentage Allocation
Aurobindo Pharma Ltd.,Equity,3.57%
Thermax Ltd.,Equity,3.36%
IDFC First Bank Ltd. (Erstwhile IDFC Bank Ltd.),Equity,3.21%
Cummins India Ltd.,Equity,2.91%
CreditAccess Grameen Ltd.,Equity,2.89%
Bharat Heavy Electricals Ltd.,Equity,2.67%
AIA Engineering Ltd.,Equity,2.65%
Kajaria Ceramics Ltd.,Equity,2.60%
PI Industries Ltd.,Equity,2.60%
Aavas Financiers Ltd. (Erstwhile A U Housing Finance),Equity,2.52%
Birlasoft Ltd.,Equity,2.47%
UNO Minda Ltd.,Equity,2.24%
Bandhan Bank Ltd.,Equity,2.22%
Lupin Ltd.,Equity,2.18%
Bharat Electronics Ltd.,Equity,2.12%
Godrej Consumer Products Ltd.,Equity,2.11%
The Ramco Cements Ltd.,Equity,2.01%
JSW Infrastructure Ltd. (Erstwhile Sarvoday Advisory Services Pvt. Ltd.),Equity,1.88%
Max Financial Services Ltd.,Equity,1.79%
APL Apollo Tubes Ltd.,Equity,1.75%
Persistent Systems Ltd.,Equity,1.72%
The Federal Bank Ltd.,Equity,1.69%
Power Finance Corporation Ltd.,Equity,1.69%
LIC Housing Finance Ltd.,Equity,1.68%
Oberoi Realty Ltd.,Equity,1.66%
RBL Bank Ltd.,Equity,1.65%
KEC International Ltd.,Equity,1.65%
Brigade Enterprises Ltd.,Equity,1.59%
Carborundum Universal Ltd.,Equity,1.52%
Adani Ports and Special Economic Zone Ltd.,Equity,1.52%
ACC Ltd.,Equity,1.51%
Biocon Ltd.,Equity,1.48%
Alkem Laboratories Ltd.,Equity,1.37%
Sobha Ltd.,Equity,1.35%
Navin Fluorine International Ltd.,Equity,1.33%
K P R Mill Ltd.,Equity,1.30%
Indian Bank,Equity,1.25%
3M India Ltd.,Equity,1.23%
Ashok Leyland Ltd.,Equity,1.19%
Voltas Ltd.,Equity,1.16%
Piramal Pharma Ltd.,Equity,1.14%
Vesuvius India Ltd.,Equity,1.13%
Jubilant Foodworks Ltd.,Equity,1.12%
The Phoenix Mills Ltd.,Equity,1.11%
Zee Entertainment Enterprises Ltd.,Equity,1.08%
Bosch Ltd.,Equity,1.08%
Indus Towers Ltd. (Erstwhile Bharti Infratel Limited),Equity,1.06%
Crompton Greaves Consumer Electrcials Ltd.,Equity,1.02%
G R Infraprojects Ltd.,Equity,1.02%
Mahindra Logistics Ltd.,Equity,0.96%
Astral Ltd. (Erstwhile Astral Poly Technik Ltd.),Equity,0.94%
Linde India Ltd.,Equity,0.93%
Piramal Enterprises Ltd.,Equity,0.91%
Healthcare Global Enterprises Ltd.,Equity,0.90%
Page Industries Ltd.,Equity,0.89%
SKF India Ltd.,Equity,0.87%
Cash,Others,0.84%
Teamlease Services Ltd.,Equity,0.79%
Shoppers Stop Ltd.,Equity,0.69%
Hero Motocorp Ltd.,Equity,0.68%
Schaeffler India Ltd.,Equity,0.63%
Trent Ltd.,Equity,0.50%
Repo,Others,0.42%
