Company Name,Asset Type,Percentage Allocation
Century Textiles & Industries Ltd.,Equity,5.65%
Ami Organics Ltd.,Equity,5.56%
Hindware Home Innovation Ltd.,Equity,4.60%
Bharat Heavy Electricals Ltd.,Equity,4.21%
HDFC Asset Management Company Ltd.,Equity,3.58%
The Federal Bank Ltd.,Equity,3.57%
Faze Three Ltd.,Equity,3.57%
Mayur Uniquoters Ltd.,Equity,3.53%
Net Receivables/(Payable),Others,2.95%
Igarashi Motors India Ltd.,Equity,2.91%
Coforge Ltd.,Equity,2.90%
Sundaram Finance Ltd.,Equity,2.70%
Piramal Enterprises Ltd.,Equity,2.68%
Bharat Forge Ltd.,Equity,2.64%
Mphasis Ltd.,Equity,2.62%
Tata Communications Ltd.,Equity,2.62%
Dalmia Bharat Ltd.,Equity,2.57%
Sumitomo Chemical India Ltd.,Equity,2.46%
LIC Housing Finance Ltd.,Equity,2.40%
NMDC Ltd.,Equity,2.37%
REC Ltd.,Equity,2.27%
Anant Raj Ltd.,Equity,2.25%
Jubilant Foodworks Ltd.,Equity,2.22%
Schaeffler India Ltd.,Equity,2.12%
Max Financial Services Ltd.,Equity,2.09%
Voltas Ltd.,Equity,2.04%
Endurance Technologies Ltd.,Equity,2.02%
K P R Mill Ltd.,Equity,1.94%
Relaxo Footwears Ltd.,Equity,1.91%
Kajaria Ceramics Ltd.,Equity,1.81%
Laurus Labs Ltd.,Equity,1.60%
Aditya Birla Capital Ltd.,Equity,1.57%
Aditya Birla Fashion & Retail Ltd.,Equity,1.42%
Oberoi Realty Ltd.,Equity,1.31%
ACC Ltd.,Equity,1.28%
Astral Ltd. (Erstwhile Astral Poly Technik Ltd.),Equity,1.18%
The Ramco Cements Ltd.,Equity,1.11%
NBCC (India) Ltd.,Equity,0.94%
Cummins India Ltd.,Equity,0.71%
The Indian Hotels Company Ltd.,Equity,0.57%
Emami Ltd.,Equity,0.57%
Aurobindo Pharma Ltd.,Equity,0.49%
La Opala RG Ltd.,Equity,0.49%
