Company Name,Asset Type,Percentage Allocation
Current Assets,Others,2.85%
The Federal Bank Ltd.,Equity,2.41%
Bharat Forge Ltd.,Equity,2.31%
Tube Investments Of India Ltd.,Equity,2.30%
Coforge Ltd.,Equity,2.26%
Bharat Electronics Ltd.,Equity,2.16%
Alkem Laboratories Ltd.,Equity,2.10%
Polycab India Ltd.,Equity,2.05%
The Phoenix Mills Ltd.,Equity,2.03%
Shriram Finance Ltd.(Erstwhile Shriram Transport Finance Company Limited),Equity,2.01%
Persistent Systems Ltd.,Equity,2.00%
Astral Ltd. (Erstwhile Astral Poly Technik Ltd.),Equity,1.86%
J. K. Cement Ltd.,Equity,1.81%
Endurance Technologies Ltd.,Equity,1.70%
APL Apollo Tubes Ltd.,Equity,1.64%
Ashok Leyland Ltd.,Equity,1.58%
Max Financial Services Ltd.,Equity,1.53%
Jubilant Foodworks Ltd.,Equity,1.53%
Schaeffler India Ltd.,Equity,1.52%
Grindwell Norton Ltd.,Equity,1.48%
Sundram Fasteners Ltd.,Equity,1.45%
Oil India Ltd.,Equity,1.40%
Balkrishna Industries Ltd.,Equity,1.39%
Syngene International Ltd.,Equity,1.39%
Dr Lal PathLabs Ltd.,Equity,1.38%
Page Industries Ltd.,Equity,1.36%
Motherson Sumi Wiring India Ltd.,Equity,1.33%
Indian Bank,Equity,1.31%
Mphasis Ltd.,Equity,1.28%
Karur Vysya Bank Ltd.,Equity,1.27%
Coromandel International Ltd. (Coromandel Fertilisers Ltd.),Equity,1.25%
PB Fintech Ltd.,Equity,1.24%
L&T Technology Services Ltd.,Equity,1.22%
Gujarat Gas Ltd.,Equity,1.19%
Cholamandalam Investment & Finance Company Ltd.,Equity,1.16%
United Breweries Ltd.,Equity,1.13%
3M India Ltd.,Equity,1.12%
Crompton Greaves Consumer Electrcials Ltd.,Equity,1.12%
ICICI Lombard General Insurance Company Ltd.,Equity,1.10%
Sundaram Finance Ltd.,Equity,1.10%
The Supreme Industries Ltd.,Equity,1.09%
NHPC Ltd.,Equity,1.08%
The Ramco Cements Ltd.,Equity,1.08%
Oracle Financial Services Software Ltd.,Equity,1.06%
Voltamp Transformers Ltd.,Equity,1.06%
Voltas Ltd.,Equity,1.03%
Apollo Hospitals Enterprise Ltd.,Equity,1.02%
Ajanta Pharma Ltd.,Equity,1.02%
Computer Age Management Services Ltd.,Equity,1.02%
CIE Automotive India Ltd.,Equity,1.01%
Ltimindtree Ltd.,Equity,1.01%
360 ONE WAM LTD.(Erstwhile IIFL WEALTH MANAGEMENT LIMITED),Equity,1.00%
Metro Brands Ltd.,Equity,1.00%
Vedant Fashions Pvt. Ltd.,Equity,0.99%
City Union Bank Ltd.,Equity,0.97%
PI Industries Ltd.,Equity,0.97%
Kajaria Ceramics Ltd.,Equity,0.95%
Muthoot Finance Ltd.,Equity,0.95%
Emami Ltd.,Equity,0.94%
Biocon Ltd.,Equity,0.94%
CESC Ltd.,Equity,0.93%
Whirlpool of India Ltd.,Equity,0.90%
Teamlease Services Ltd.,Equity,0.84%
CreditAccess Grameen Ltd.,Equity,0.83%
STAR HEALTH & ALLIED INSURANCE COMPANY Ltd.,Equity,0.82%
Hero Motocorp Ltd.,Equity,0.79%
La Opala RG Ltd.,Equity,0.75%
JB Chemicals & Pharmaceuticals Ltd.,Equity,0.73%
MTAR Technologies Ltd.,Equity,0.72%
Metropolis Healthcare Ltd.,Equity,0.72%
Aarti Industries Ltd.,Equity,0.71%
Aavas Financiers Ltd. (Erstwhile A U Housing Finance),Equity,0.67%
IFB Industries Ltd.,Equity,0.66%
Pfizer Ltd.,Equity,0.61%
Praj Industries Ltd.,Equity,0.61%
PNC Infratech Ltd.,Equity,0.55%
Eris Lifesciences Ltd.,Equity,0.55%
MOIL Ltd.,Equity,0.54%
VIP Industries Ltd.,Equity,0.53%
Lupin Ltd.,Equity,0.53%
SRF Ltd.,Equity,0.43%
Vardhman Textiles Ltd.,Equity,0.41%
Info Edge (India) Ltd.,Equity,0.26%
Treasury Bill (364D),Others,0.17%
Escorts Kubota Ltd.,Equity,0.14%
Aditya Birla Sun Life Amc Ltd.,Equity,0.05%
CBLO(CCIL),Others,0.02%
