Company Name,Asset Type,Percentage Allocation
The Phoenix Mills Ltd.,Equity,2.92%
Triparty Repo,Others,2.68%
Dixon Technologies (India) Ltd.,Equity,2.61%
Max Healthcare Institute Ltd.,Equity,2.56%
UNO Minda Ltd.,Equity,2.47%
Shriram Finance Ltd.(Erstwhile Shriram Transport Finance Company Limited),Equity,2.47%
Coromandel International Ltd. (Coromandel Fertilisers Ltd.),Equity,2.30%
CG Power & Industrial Solutions Ltd.,Equity,2.16%
The Federal Bank Ltd.,Equity,2.16%
Bharat Electronics Ltd.,Equity,2.04%
TVS Motor Company Ltd.,Equity,2.04%
Thermax Ltd.,Equity,1.99%
Coforge Ltd.,Equity,1.99%
Persistent Systems Ltd.,Equity,1.89%
Nippon Life India Asset Management Ltd.,Equity,1.87%
Oberoi Realty Ltd.,Equity,1.75%
NMDC Ltd.,Equity,1.73%
Mphasis Ltd.,Equity,1.72%
Lupin Ltd.,Equity,1.72%
Polycab India Ltd.,Equity,1.72%
Gland Pharma Ltd.,Equity,1.72%
Power Finance Corporation Ltd.,Equity,1.68%
Muthoot Finance Ltd.,Equity,1.58%
Alkem Laboratories Ltd.,Equity,1.57%
HDFC Asset Management Company Ltd.,Equity,1.55%
REC Ltd.,Equity,1.50%
Zydus Lifesciences Ltd.,Equity,1.50%
Balkrishna Industries Ltd.,Equity,1.47%
J. K. Cement Ltd.,Equity,1.45%
3M India Ltd.,Equity,1.43%
Abbott India Ltd.,Equity,1.43%
K P R Mill Ltd.,Equity,1.43%
Sona Blw Precision Forgings Ltd.,Equity,1.37%
Trent Ltd.,Equity,1.29%
Solar Industries India Ltd.,Equity,1.27%
Zomato Ltd.,Equity,1.26%
JSW Energy Ltd.,Equity,1.25%
Indian Bank,Equity,1.19%
Spandana Sphoorty Financial Ltd.,Equity,1.19%
Endurance Technologies Ltd.,Equity,1.19%
PVR INOX Ltd.,Equity,1.15%
Karur Vysya Bank Ltd.,Equity,1.14%
Deepak Nitrite Ltd.,Equity,1.14%
PB Fintech Ltd.,Equity,1.13%
Voltas Ltd.,Equity,1.12%
Kaynes Technology India Pvt. Ltd.,Equity,1.10%
Bajaj Auto Ltd.,Equity,1.09%
Equitas Small Finance Bank Ltd.,Equity,1.03%
HCL Technologies Ltd.,Equity,1.03%
Syrma SGS Technology Ltd.,Equity,1.02%
The Ramco Cements Ltd.,Equity,1.01%
Info Edge (India) Ltd.,Equity,1.01%
Greenply Industries Ltd.,Equity,1.00%
Max Financial Services Ltd.,Equity,1.00%
Canara Bank,Equity,0.99%
KEC International Ltd.,Equity,0.99%
Quess Corp Ltd.,Equity,0.99%
CRISIL Ltd.,Equity,0.95%
Cyient Ltd.,Equity,0.94%
JSW Infrastructure Ltd. (Erstwhile Sarvoday Advisory Services Pvt. Ltd.),Equity,0.94%
S.J.S. Enterprises Ltd.,Equity,0.93%
Gabriel India Ltd.,Equity,0.91%
Schaeffler India Ltd.,Equity,0.89%
Eureka Forbes Ltd.,Equity,0.85%
Varun Beverages Ltd.,Equity,0.82%
Kajaria Ceramics Ltd.,Equity,0.82%
VRL Logistics Ltd.,Equity,0.80%
Kewal Kiran Clothing Ltd.,Equity,0.72%
Data Patterns (India) Ltd.,Equity,0.72%
Greenpanel Industries Ltd.,Equity,0.70%
Gokaldas Exports Ltd.,Equity,0.35%
Treasury Bill (182D),Others,0.07%
Net Receivables/(Payable),Others,-0.49%
