Company Name,Asset Type,Percentage Allocation
CBLO(CCIL),Others,7.43%
CG Power & Industrial Solutions Ltd.,Equity,3.24%
Persistent Systems Ltd.,Equity,2.74%
The Indian Hotels Company Ltd.,Equity,2.54%
Coforge Ltd.,Equity,2.46%
The Federal Bank Ltd.,Equity,2.39%
REC Ltd.,Equity,2.31%
IIFL Finance Ltd. (Erstwhile India Infoline Finance Limited),Equity,2.30%
Muthoot Finance Ltd.,Equity,2.26%
AIA Engineering Ltd.,Equity,2.22%
Max Healthcare Institute Ltd.,Equity,2.16%
KPIT Technologies Ltd.,Equity,2.03%
Astral Ltd. (Erstwhile Astral Poly Technik Ltd.),Equity,2.02%
Nifty,Equity,1.97%
Treasury Bill (91D),Others,1.96%
Shriram Finance Ltd.(Erstwhile Shriram Transport Finance Company Limited),Equity,1.84%
Procter & Gamble Hygiene & Healthcare Ltd.,Equity,1.69%
Abbott India Ltd.,Equity,1.68%
Metro Brands Ltd.,Equity,1.61%
Info Edge (India) Ltd.,Equity,1.60%
The Phoenix Mills Ltd.,Equity,1.54%
IDFC First Bank Ltd. (Erstwhile IDFC Bank Ltd.),Equity,1.51%
Computer Age Management Services Ltd.,Equity,1.31%
Grindwell Norton Ltd.,Equity,1.28%
Alkem Laboratories Ltd.,Equity,1.24%
Mahindra & Mahindra Ltd.,Equity,1.18%
Container Corporation Of India Ltd.,Equity,1.17%
Vedant Fashions Pvt. Ltd.,Equity,1.13%
HDFC Asset Management Company Ltd.,Equity,1.13%
Treasury Bill (182D),Others,1.11%
Treasury Bill (91D),Others,1.04%
Trent Ltd.,Equity,1.02%
Bank Of India,Equity,1.01%
Balkrishna Industries Ltd.,Equity,1.00%
Syngene International Ltd.,Equity,1.00%
Max Financial Services Ltd.,Equity,0.98%
Treasury Bill (91D),Others,0.98%
Five-Star Business Finance Ltd.,Equity,0.90%
IPCA Laboratories Ltd.,Equity,0.90%
KSB Ltd.,Equity,0.89%
Ajanta Pharma Ltd.,Equity,0.88%
CMS Info Systems Ltd.,Equity,0.87%
Bayer Cropscience Ltd.,Equity,0.85%
CreditAccess Grameen Ltd.,Equity,0.83%
Hindustan Petroleum Corporation Ltd.,Equity,0.82%
Neuland Laboratories Ltd.,Equity,0.82%
Global Health Ltd.,Equity,0.81%
Rainbow Childrens Medicare Ltd.,Equity,0.79%
Dixon Technologies (India) Ltd.,Equity,0.77%
360 ONE WAM LTD.(Erstwhile IIFL WEALTH MANAGEMENT LIMITED),Equity,0.77%
3M India Ltd.,Equity,0.74%
Nexus Select Trust,Others,0.74%
Power Finance Corporation Ltd.,Equity,0.73%
Indian Bank,Equity,0.73%
Dalmia Bharat Ltd.,Equity,0.72%
Jindal Stainless Ltd.,Equity,0.70%
Electronics Mart India Ltd.,Equity,0.68%
Brookfield REIT,Others,0.68%
Oil India Ltd.,Equity,0.65%
Varun Beverages Ltd.,Equity,0.65%
Sonata Software Ltd.,Equity,0.64%
Krishna Institute of Medical Sciences Ltd.,Equity,0.62%
Coromandel International Ltd. (Coromandel Fertilisers Ltd.),Equity,0.61%
Polycab India Ltd.,Equity,0.60%
Navin Fluorine International Ltd.,Equity,0.60%
Onward Technologies Ltd.,Equity,0.60%
Indian Renewable Energy Development Agency (Ireda),Equity,0.59%
Intellect Design Arena Ltd.,Equity,0.59%
Honasa Consumer Ltd.,Equity,0.59%
Au Small Finance Bank Ltd.,Equity,0.58%
Newgen Software Technologies Ltd.,Equity,0.58%
ACC Ltd.,Equity,0.57%
Safari Industries (India) Ltd.,Equity,0.57%
Innova Captab Ltd.,Equity,0.57%
Kewal Kiran Clothing Ltd.,Equity,0.56%
The Jammu & Kashmir Bank Ltd.,Equity,0.55%
Fortis Healthcare Ltd.,Equity,0.55%
Poly Medicure Ltd.,Equity,0.54%
KEI Industries Ltd.,Equity,0.53%
PI Industries Ltd.,Equity,0.53%
Endurance Technologies Ltd.,Equity,0.53%
Cummins India Ltd.,Equity,0.53%
Hindalco Industries Ltd.,Equity,0.50%
Page Industries Ltd.,Equity,0.50%
L&T Technology Services Ltd.,Equity,0.50%
Gandhar Oil Refinery (India) Ltd.,Equity,0.49%
JB Chemicals & Pharmaceuticals Ltd.,Equity,0.48%
Nucleus Software Exports Ltd.,Equity,0.47%
Colgate-Palmolive Ltd.,Equity,0.43%
Fine Organic Industries Ltd.,Equity,0.43%
Gujarat Gas Ltd.,Equity,0.41%
Garware Technical Fibres Ltd.,Equity,0.41%
Jupiter Life Line Hospitals Ltd.,Equity,0.41%
SAI Silks (Kalamandir) Ltd.,Equity,0.40%
India Shelter Finance Corporation Ltd.,Equity,0.40%
Senco Gold Ltd.,Equity,0.40%
Eureka Forbes Ltd.,Equity,0.40%
Vesuvius India Ltd.,Equity,0.39%
Gujarat Ambuja Exports Ltd.,Equity,0.39%
Arvind Fashions Ltd.,Equity,0.38%
Saregama India Ltd.,Equity,0.37%
CSB Bank Ltd. (Formerly The Catholic Syrian Bank Ltd.),Equity,0.37%
Petronet Lng Ltd.,Equity,0.37%
Timken India Ltd.,Equity,0.36%
Radiant Cash Management Services Ltd.,Equity,0.36%
STAR HEALTH & ALLIED INSURANCE COMPANY Ltd.,Equity,0.35%
