Company Name,Asset Type,Percentage Allocation
Axis Mutual Fund (Axis Gold ETF),Others,12.49%
HDFC Bank Ltd.,Equity,5.85%
Bajaj Finance Ltd.,Equity,5.45%
ICICI Bank Ltd.,Equity,5.25%
Avenue Supermarts Ltd.,Equity,4.52%
Tata Consultancy Services Ltd.,Equity,3.88%
Reliance Industries Ltd.,Equity,3.02%
Infosys Ltd.,Equity,2.89%
Larsen & Toubro Ltd.,Equity,2.57%
PI Industries Ltd.,Equity,2.36%
1.5 HDFC Bank Ltd. Mar 27 2027,Debt,2.01%
Tata Motors Ltd.,Equity,1.89%
Ultratech Cement Ltd.,Equity,1.85%
Sansera Engineering Ltd.,Equity,1.82%
Sona Blw Precision Forgings Ltd.,Equity,1.60%
State Bank Of India,Equity,1.45%
Clean Science & Technology Ltd.,Equity,1.44%
Bajaj Finserv Ltd.,Equity,1.42%
SKF India Ltd.,Equity,1.42%
Shree Cement Ltd.,Equity,1.40%
Divi Laboratories Ltd.,Equity,1.31%
Cholamandalam Investment & Finance Company Ltd.,Equity,1.30%
UNO Minda Ltd.,Equity,1.29%
Cholamandalam Investment & Finance Company Ltd.,Equity,1.24%
Kotak Mahindra Bank Ltd.,Equity,1.24%
7.37 GOI Oct 23 2028,Debt,1.23%
7.54 Small Industries Development Bank Of India Jan 12 2026,Debt,1.21%
State Bank Of India,Equity,1.17%
Samvardhana Motherson International Ltd. (Erstwhile Motherson Sumi Systems Ltd.),Equity,1.15%
Sun Pharmaceuticals Ind Ltd.,Equity,1.12%
Jio Financial Services Ltd.,Equity,1.09%
CBLO(CCIL),Others,1.06%
Sumitomo Chemical India Ltd.,Equity,1.05%
Nestle India Ltd.,Equity,1.01%
Vedant Fashions Pvt. Ltd.,Equity,0.97%
Motherson Sumi Wiring India Ltd.,Equity,0.96%
Hindustan Unilever Ltd.,Equity,0.89%
Sudarshan Chemical Industries Ltd.,Equity,0.87%
KFIN Technologies Ltd.,Equity,0.83%
9 Bharti Telecom Ltd. Dec  4 2028,Debt,0.82%
7.47 Small Industries Development Bank Of India Nov 25 2025,Debt,0.81%
7.18 GOI Jul 24 2037,Debt,0.80%
7.2 National Bank For Agriculture & Rural Development (Nabard) Sep 23 2025,Debt,0.80%
Apollo Hospitals Enterprise Ltd.,Equity,0.80%
JB Chemicals & Pharmaceuticals Ltd.,Equity,0.79%
7.25 GOI Jun 12 2063,Debt,0.79%
Fine Organic Industries Ltd.,Equity,0.79%
Fsn ECommerce Ventures Ltd.,Equity,0.78%
MTAR Technologies Ltd.,Equity,0.76%
CreditAccess Grameen Ltd.,Equity,0.65%
Teamlease Services Ltd.,Equity,0.61%
Honeywell Automation India Ltd.,Equity,0.56%
Mahindra & Mahindra Ltd.,Equity,0.53%
National Thermal Power Corporation Ltd.,Equity,0.50%
Hindalco Industries Ltd.,Equity,0.50%
8.85 Power Finance Corporation Ltd. May 25 2029,Debt,0.42%
Zomato Ltd.,Equity,0.42%
8.21 Rajasthan UDAY Bond Mar 31 2026,Debt,0.41%
Treasury Bill (182D),Others,0.40%
7.15 Tata Motors Finance Ltd. Jun 25 2024,Debt,0.40%
6.19 GOI Sep 16 2034,Debt,0.37%
Jindal Steel & Power Ltd.,Equity,0.35%
Godrej Consumer Products Ltd.,Equity,0.32%
K P R Mill Ltd.,Equity,0.27%
9.41 India Infrastructure Finance Company Ltd. (IIFCL) Jul 27 2037,Debt,0.23%
Coal India Ltd.,Equity,0.23%
Mphasis Ltd.,Equity,0.18%
Net Receivables/(Payable),Others,-0.87%
