Company Name,Asset Type,Percentage Allocation
DSP Mutual Fund,Others,16.45%
7.62 National Bank For Agriculture & Rural Development (Nabard) Jan 31 2028,Debt,6.12%
HDFC Bank Ltd.,Equity,4.70%
International Fund,Equity,4.14%
International Fund,Equity,4.04%
ICICI Bank Ltd.,Equity,4.00%
8.95 Bharti Telecom Ltd. Dec  4 2026,Debt,3.86%
State Bank Of India,Others,3.71%
DSP Mutual Fund (DSP Silver ETF),Others,3.39%
7.18 GOI Aug 14 2033,Debt,3.13%
Infosys Ltd.,Equity,3.02%
International Fund,Equity,2.77%
International Fund (ISHARES GLOBAL HEALTHCARE ETF),Equity,2.26%
ITC Ltd.,Equity,2.17%
HCL Technologies Ltd.,Equity,2.14%
7.46 REC Ltd. Jun 30 2028,Debt,1.97%
7.71 REC Ltd. Oct 31 2033,Debt,1.93%
Axis Bank Ltd.,Equity,1.93%
GAIL (India) Ltd.,Equity,1.91%
Sun Pharmaceuticals Ind Ltd.,Equity,1.87%
Godrej Consumer Products Ltd.,Equity,1.62%
Alkem Laboratories Ltd.,Equity,1.62%
Microsoft Corporation,Equity,1.45%
Hindustan Petroleum Corporation Ltd.,Equity,1.41%
Coal India Ltd.,Equity,1.24%
Tech Mahindra Ltd.,Equity,1.19%
IPCA Laboratories Ltd.,Equity,1.18%
7.06 GOI Apr 10 2028,Debt,1.16%
Coromandel International Ltd. (Coromandel Fertilisers Ltd.),Equity,1.12%
Narayana Hrudayalaya Ltd.,Equity,1.10%
Hero Motocorp Ltd.,Equity,1.06%
Samvardhana Motherson International Ltd. (Erstwhile Motherson Sumi Systems Ltd.),Equity,1.04%
Mahindra & Mahindra Ltd.,Equity,1.00%
CIE Automotive India Ltd.,Equity,1.00%
Taiwan Semiconductor Manufacturing Company Ltd.,Equity,1.00%
Suven Pharmaceuticals Ltd.,Equity,0.98%
Jindal Steel & Power Ltd.,Equity,0.84%
Craftsman Automation Ltd.,Equity,0.81%
Triparty Repo,Others,0.70%
Tencent Holdings,Equity,0.69%
Alembic Pharmaceuticals Ltd.,Equity,0.69%
Tata Steel Ltd.,Equity,0.62%
GMM Pfaudler Ltd.,Equity,0.51%
Cash Margin,Debt,0.38%
International Fund,Equity,0.19%
Nifty,Equity,0.02%
Nifty,Equity,0.01%
Nifty,Equity,0.01%
Nifty,Equity,0.00%
Net Receivables/(Payable),Others,-0.13%
