Company Name,Asset Type,Percentage Allocation
Derivative,Others,53.33%
7.38 GOI Jun 20 2027,Debt,16.48%
Silver - Bullion,Others,9.24%
6.8 Axis Finance Ltd. Nov 18 2026,Debt,7.08%
8.0359 Kotak Mahindra Investments Ltd. Oct  6 2026,Debt,6.49%
7.59 Small Industries Development Bank Of India Feb 10 2026,Debt,4.88%
Reliance Industries Ltd.,Equity,3.70%
CBLO(CCIL),Others,3.00%
7.5 National Bank For Agriculture & Rural Development (Nabard) Aug 31 2026,Debt,2.43%
Adani Enterprises Ltd.,Equity,2.37%
ICICI Bank Ltd.,Equity,2.04%
Hindustan Petroleum Corporation Ltd.,Equity,1.95%
7.8445 Tata Capital Housing Finance Ltd. Sep 18 2026,Debt,1.62%
State Bank Of India,Equity,1.62%
NMDC Ltd.,Equity,1.60%
6.35 HDB Financial Services Ltd. Sep 11 2026,Debt,1.56%
Indian Oil Corporation Ltd.,Equity,1.55%
Hindalco Industries Ltd.,Equity,1.39%
Net Receivables/(Payable),Others,1.26%
Sun Pharmaceuticals Ind Ltd.,Equity,1.18%
Wipro Ltd.,Equity,1.18%
Punjab National Bank,Equity,1.18%
Coal India Ltd.,Equity,1.10%
Kotak Mahindra Bank Ltd.,Equity,1.07%
Oil & Natural Gas Corporation Ltd.,Equity,0.98%
Oberoi Realty Ltd.,Equity,0.96%
Aurobindo Pharma Ltd.,Equity,0.95%
Voltas Ltd.,Equity,0.92%
Vodafone Idea Ltd.,Equity,0.92%
Biocon Ltd.,Equity,0.88%
Indusind Bank Ltd.,Equity,0.84%
7.9 Bajaj Finance Ltd. Nov 17 2025,Debt,0.81%
7.4 National Bank For Agriculture & Rural Development (Nabard) Jan 30 2026,Debt,0.81%
Axis Bank Ltd.,Equity,0.81%
Accrued Interest,Others,0.81%
Hindustan Aeronautics Ltd.,Equity,0.80%
Larsen & Toubro Ltd.,Equity,0.79%
Bharti Airtel Ltd.,Equity,0.75%
Apollo Tyres Ltd.,Equity,0.74%
Bharat Heavy Electricals Ltd.,Equity,0.66%
Shriram Finance Ltd.(Erstwhile Shriram Transport Finance Company Limited),Equity,0.60%
Trent Ltd.,Equity,0.58%
Maruti Suzuki India Ltd.,Equity,0.56%
Ashok Leyland Ltd.,Equity,0.56%
Zee Entertainment Enterprises Ltd.,Equity,0.54%
Tata Motors Ltd.,Equity,0.53%
Infosys Ltd.,Equity,0.51%
Indian Railway Catering & Tourism Corporation Ltd.,Equity,0.44%
The Federal Bank Ltd.,Equity,0.43%
Ambuja Cements Ltd.,Equity,0.43%
Ltimindtree Ltd.,Equity,0.42%
Indiamart Intermesh Ltd.,Equity,0.40%
Bharat Forge Ltd.,Equity,0.38%
Bandhan Bank Ltd.,Equity,0.37%
Dr Reddys Laboratories Ltd.,Equity,0.37%
Aditya Birla Fashion & Retail Ltd.,Equity,0.33%
Godrej Consumer Products Ltd.,Equity,0.32%
REC Ltd.,Equity,0.28%
IPCA Laboratories Ltd.,Equity,0.26%
DLF Ltd.,Equity,0.23%
Laurus Labs Ltd.,Equity,0.20%
Dabur India Ltd.,Equity,0.19%
Cummins India Ltd.,Equity,0.19%
IDFC Ltd.,Equity,0.19%
Lupin Ltd.,Equity,0.18%
Grasim Industries Ltd.,Equity,0.18%
National Aluminium Company Ltd.,Equity,0.13%
RBL Bank Ltd.,Equity,0.11%
Dr Lal PathLabs Ltd.,Equity,0.11%
Cipla Ltd.,Equity,0.11%
LIC Housing Finance Ltd.,Equity,0.11%
HDFC Asset Management Company Ltd.,Equity,0.08%
Hero Motocorp Ltd.,Equity,0.06%
Marico Ltd.,Equity,0.04%
Hindustan Unilever Ltd.,Equity,0.04%
Exide Industries Ltd.,Equity,0.02%
Sun T V Network Ltd.,Equity,0.02%
Bharat Petroleum Corporation Ltd.,Equity,0.01%
United Spirits Ltd.,Equity,0.01%
Gold Mini,Others,0.00%
Gold,Others,0.00%
United Spirits Ltd.,Equity,-0.01%
Bharat Petroleum Corporation Ltd.,Equity,-0.01%
Sun T V Network Ltd.,Equity,-0.02%
Exide Industries Ltd.,Equity,-0.02%
Hindustan Unilever Ltd.,Equity,-0.04%
Marico Ltd.,Equity,-0.04%
Hero Motocorp Ltd.,Equity,-0.06%
HDFC Asset Management Company Ltd.,Equity,-0.08%
LIC Housing Finance Ltd.,Equity,-0.11%
Cipla Ltd.,Equity,-0.11%
Dr Lal PathLabs Ltd.,Equity,-0.11%
RBL Bank Ltd.,Equity,-0.12%
National Aluminium Company Ltd.,Equity,-0.13%
Grasim Industries Ltd.,Equity,-0.18%
Lupin Ltd.,Equity,-0.19%
IDFC Ltd.,Equity,-0.19%
Cummins India Ltd.,Equity,-0.19%
Dabur India Ltd.,Equity,-0.19%
Laurus Labs Ltd.,Equity,-0.20%
DLF Ltd.,Equity,-0.24%
IPCA Laboratories Ltd.,Equity,-0.26%
REC Ltd.,Equity,-0.29%
Godrej Consumer Products Ltd.,Equity,-0.33%
Aditya Birla Fashion & Retail Ltd.,Equity,-0.34%
Dr Reddys Laboratories Ltd.,Equity,-0.37%
Bandhan Bank Ltd.,Equity,-0.38%
Bharat Forge Ltd.,Equity,-0.39%
Indiamart Intermesh Ltd.,Equity,-0.40%
Ltimindtree Ltd.,Equity,-0.42%
Ambuja Cements Ltd.,Equity,-0.43%
The Federal Bank Ltd.,Equity,-0.44%
Indian Railway Catering & Tourism Corporation Ltd.,Equity,-0.45%
Infosys Ltd.,Equity,-0.52%
Tata Motors Ltd.,Equity,-0.53%
Zee Entertainment Enterprises Ltd.,Equity,-0.54%
Ashok Leyland Ltd.,Equity,-0.57%
Maruti Suzuki India Ltd.,Equity,-0.57%
Trent Ltd.,Equity,-0.58%
Shriram Finance Ltd.(Erstwhile Shriram Transport Finance Company Limited),Equity,-0.61%
Bharat Heavy Electricals Ltd.,Equity,-0.67%
Apollo Tyres Ltd.,Equity,-0.75%
Bharti Airtel Ltd.,Equity,-0.76%
Larsen & Toubro Ltd.,Equity,-0.80%
Hindustan Aeronautics Ltd.,Equity,-0.80%
Axis Bank Ltd.,Equity,-0.82%
Indusind Bank Ltd.,Equity,-0.84%
Biocon Ltd.,Equity,-0.89%
Voltas Ltd.,Equity,-0.93%
Vodafone Idea Ltd.,Equity,-0.93%
Oberoi Realty Ltd.,Equity,-0.96%
Aurobindo Pharma Ltd.,Equity,-0.96%
Oil & Natural Gas Corporation Ltd.,Equity,-0.99%
Kotak Mahindra Bank Ltd.,Equity,-1.08%
Coal India Ltd.,Equity,-1.11%
Wipro Ltd.,Equity,-1.18%
Punjab National Bank,Equity,-1.18%
Sun Pharmaceuticals Ind Ltd.,Equity,-1.19%
Hindalco Industries Ltd.,Equity,-1.40%
Indian Oil Corporation Ltd.,Equity,-1.56%
NMDC Ltd.,Equity,-1.61%
State Bank Of India,Equity,-1.63%
Silver,Others,-1.85%
Hindustan Petroleum Corporation Ltd.,Equity,-1.96%
ICICI Bank Ltd.,Equity,-2.06%
Adani Enterprises Ltd.,Equity,-2.40%
Reliance Industries Ltd.,Equity,-3.72%
Silver Mini,Others,-7.64%
