Company Name,Asset Type,Percentage Allocation
Derivative,Others,13.75%
HDFC Mutual Fund (HDFC Gold Exchange Traded Fund),Others,11.89%
HDFC Bank Ltd.,Equity,5.36%
Axis Bank Ltd.,Equity,4.43%
Triparty Repo,Others,4.04%
ICICI Bank Ltd.,Equity,3.88%
State Bank Of India,Equity,2.65%
Titan Company Ltd.,Equity,2.50%
Infosys Ltd.,Equity,2.04%
Bharti Airtel Ltd.,Equity,2.01%
Larsen & Toubro Ltd.,Equity,1.87%
Hindalco Industries Ltd.,Equity,1.76%
Adani Ports and Special Economic Zone Ltd.,Equity,1.69%
6 HDB Financial Services Ltd. Jun 19 2025,Debt,1.68%
Reliance Industries Ltd.,Equity,1.68%
Asian Paints Ltd.,Equity,1.54%
7.1 GOI Apr 18 2029,Debt,1.51%
ITC Ltd.,Equity,1.50%
Embassy Office Parks Reit,Others,1.40%
Hindustan Aeronautics Ltd.,Equity,1.33%
Tata Steel Ltd.,Equity,1.31%
United Spirits Ltd.,Equity,1.27%
7.18 GOI Aug 14 2033,Debt,1.25%
National Thermal Power Corporation Ltd.,Equity,1.25%
Kotak Mahindra Bank Ltd.,Equity,1.24%
Bajaj Auto Ltd.,Equity,1.18%
HCL Technologies Ltd.,Equity,1.17%
Tata Motors Ltd.,Equity,1.14%
7.27 GOI Apr  8 2026,Debt,1.09%
Cipla Ltd.,Equity,1.08%
4.04 GOI Oct  4 2028,Debt,1.08%
Godrej Consumer Products Ltd.,Equity,1.07%
5.78 HDFC Bank Ltd. Nov 25 2025,Debt,1.04%
Sun Pharmaceuticals Ind Ltd.,Equity,1.04%
Brookfield REIT,Others,1.02%
Tata Consultancy Services Ltd.,Equity,0.97%
SBI Life Insurance Company Ltd.,Equity,0.93%
Mahindra & Mahindra Ltd.,Equity,0.90%
Dr Reddys Laboratories Ltd.,Equity,0.84%
GOI,Debt,0.81%
Bharat Petroleum Corporation Ltd.,Equity,0.78%
ICICI Lombard General Insurance Company Ltd.,Equity,0.74%
Oil & Natural Gas Corporation Ltd.,Equity,0.71%
City Union Bank Ltd.,Equity,0.71%
Power Grid Corporation Of India Ltd.,Equity,0.67%
7.38 GOI Jun 20 2027,Debt,0.65%
8.95 Bharti Telecom Ltd. Dec  4 2026,Debt,0.65%
7.83 Small Industries Development Bank Of India Nov 24 2028,Debt,0.65%
GOI,Debt,0.65%
7.17 GOI Apr 17 2030,Debt,0.65%
7.65 Bajaj Housing Finance Ltd. Jul 21 2025,Debt,0.65%
4.45 GOI Oct 30 2034,Debt,0.65%
Bharat Electronics Ltd.,Equity,0.64%
IPCA Laboratories Ltd.,Equity,0.63%
Indusind Bank Ltd.,Equity,0.62%
Wipro Ltd.,Equity,0.61%
Sonata Software Ltd.,Equity,0.61%
Rolex Rings Ltd.,Equity,0.60%
Gland Pharma Ltd.,Equity,0.58%
Gateway Distriparks Ltd.,Equity,0.54%
Maruti Suzuki India Ltd.,Equity,0.53%
Balrampur Chini Mills Ltd.,Equity,0.53%
Torrent Pharmaceuticals Ltd.,Equity,0.52%
Bayer Cropscience Ltd.,Equity,0.51%
Bank Of Baroda,Equity,0.50%
JSW Steel Ltd.,Equity,0.50%
Greenply Industries Ltd.,Equity,0.48%
Oracle Financial Services Software Ltd.,Equity,0.46%
9.05 HDFC Bank Ltd. Oct 16 2028,Debt,0.45%
Ambuja Cements Ltd.,Equity,0.45%
Chemplast Sanmar Ltd.,Equity,0.43%
7.06 GOI Apr 10 2028,Debt,0.43%
The Great Eastern Shipping Company Ltd.,Equity,0.42%
Sanofi India Ltd.,Equity,0.42%
CIE Automotive India Ltd.,Equity,0.41%
Ashok Leyland Ltd.,Equity,0.39%
Transport Corporation Of India Ltd.,Equity,0.39%
Whirlpool of India Ltd.,Equity,0.35%
Paradeep Phosphates Ltd.,Equity,0.35%
UTI Asset Management Company Ltd.,Equity,0.34%
AIA Engineering Ltd.,Equity,0.32%
Nexus Select Trust,Others,0.31%
9.25 Power Finance Corporation Ltd. Sep 25 2024,Debt,0.22%
7.75 Bank Of Baroda Dec 21 2033,Debt,0.22%
6.54 GOI Jan 17 2032,Debt,0.21%
Power Grid Infrastructure Investment Trust,Others,0.18%
5.63 GOI Apr 12 2026,Debt,0.10%
7.18 GOI Jul 24 2037,Debt,0.09%
Current Assets,Others,0.08%
Hindustan Unilever Ltd.,Equity,0.01%
Hindustan Unilever Ltd.,Equity,-0.01%
Sun Pharmaceuticals Ind Ltd.,Equity,-0.17%
United Spirits Ltd.,Equity,-0.30%
Ambuja Cements Ltd.,Equity,-0.45%
Godrej Consumer Products Ltd.,Equity,-0.46%
Tata Motors Ltd.,Equity,-0.47%
JSW Steel Ltd.,Equity,-0.50%
State Bank Of India,Equity,-0.85%
Tata Steel Ltd.,Equity,-0.89%
Hindalco Industries Ltd.,Equity,-1.24%
Asian Paints Ltd.,Equity,-1.55%
Adani Ports and Special Economic Zone Ltd.,Equity,-1.70%
Titan Company Ltd.,Equity,-2.53%
Axis Bank Ltd.,Equity,-2.64%
