Company Name,Asset Type,Percentage Allocation
Reliance Industries Ltd.,Equity,9.80%
Triparty Repo,Others,9.03%
Jio Financial Services Ltd.,Equity,8.56%
Orchid Pharma Ltd.,Equity,6.98%
Bank Of India,Equity,6.72%
Nippon India Mutual Fund (Nippon India Silver ETF),Others,5.05%
Hindalco Industries Ltd.,Equity,4.54%
Adani Power Ltd.,Equity,4.53%
Housing & Urban Development Corporation Ltd. (Hudco),Equity,4.45%
ICICI Prudential Mutual Fund (ICICI Prudential Silver ETF),Others,4.43%
GAIL (India) Ltd.,Equity,4.22%
Small Industries Development Bank Of India,Others,3.75%
Jindal Steel & Power Ltd.,Equity,3.40%
RBL Bank Ltd.,Equity,2.82%
Tata Communications Ltd.,Equity,2.62%
Bikaji Foods International Ltd.,Equity,2.49%
Britannia Industries Ltd.,Equity,2.48%
Signatureglobal (India) Ltd.,Equity,2.48%
Nippon India Mutual Fund (Nippon India ETF Gold BeES),Others,2.40%
India Shelter Finance Corporation Ltd.,Equity,2.24%
Poonawalla Fincorp Ltd. (Erstwhile Magma Fincorp Ltd.),Equity,1.76%
Britannia Industries Ltd.,Equity,1.61%
5.74 GOI Nov 15 2026,Debt,1.42%
Indian Railway Catering & Tourism Corporation Ltd.,Equity,1.31%
GOI,Debt,1.21%
HDFC Life Insurance Company Ltd.,Equity,1.11%
6.64 GOI Jun 16 2035,Debt,0.86%
GOI,Debt,0.83%
7.29 GOI Jan 27 2033,Debt,0.78%
7.26 GOI Feb  6 2033,Debt,0.78%
Kotak Mahindra Mutual Fund (Kotak Gold ETF),Others,0.65%
Axis Mutual Fund (Axis Gold ETF),Others,0.27%
QUANT Mutual Fund (Quant Gilt Fund - Direct - Growth),Debt,0.08%
SBI Mutual Fund (SBI Gold ETF),Others,0.08%
HDFC Mutual Fund (HDFC Gold Exchange Traded Fund),Others,0.07%
Aditya Birla Sun Life Mutual Fund (Aditya Birla Sun Life Gold ETF),Others,0.06%
UTI Mutual Fund (UTI Gold Exchange Traded Fund),Others,0.06%
Current Assets,Others,-5.95%
