Company Name,Asset Type,Percentage Allocation
ICICI Prudential Mutual Fund (ICICI Prudential Gold ETF),Others,11.56%
HDFC Mutual Fund (HDFC Gold Exchange Traded Fund),Others,8.69%
Derivative,Others,8.31%
CBLO(CCIL),Others,6.74%
7.18 GOI Aug 14 2033,Debt,6.11%
International Fund (Vanguard S&P 500 ETF),Equity,4.38%
7.37 GOI Oct 23 2028,Debt,3.49%
7.06 GOI Apr 10 2028,Debt,3.11%
ICICI Bank Ltd.,Equity,3.06%
Kotak Mahindra Bank Ltd.,Equity,2.96%
8.65 Power Finance Corporation Ltd. Dec 28 2024,Debt,2.63%
HDFC Bank Ltd.,Equity,2.50%
Bajaj Finance Ltd.,Equity,2.13%
7.99 Tata Power Company Ltd. Nov 15 2024,Debt,2.04%
7.33 LIC Housing Finance Ltd. Feb 12 2025,Debt,1.85%
HDFC Bank Ltd. (364D),Others,1.83%
Axis Bank Ltd.,Others,1.80%
Maruti Suzuki India Ltd.,Equity,1.69%
Motilal Oswal Mutual Fund (Motilal Oswal Nasdaq 100 ETF),Equity,1.59%
Reliance Industries Ltd.,Equity,1.53%
7.25 Small Industries Development Bank Of India Jul 31 2025,Debt,1.48%
Nestle India Ltd.,Equity,1.42%
Titan Company Ltd.,Equity,1.19%
7.38 Cholamandalam Investment & Finance Company Ltd. Jul 31 2024,Debt,1.11%
Brookfield REIT,Others,1.07%
Oil & Natural Gas Corporation Ltd.,Equity,1.05%
Net Receivables/(Payable),Others,1.00%
Larsen & Toubro Ltd.,Equity,0.93%
Nexus Select Trust,Others,0.91%
Tata Consultancy Services Ltd.,Equity,0.91%
Hindustan Unilever Ltd.,Equity,0.83%
Embassy Office Parks Reit,Others,0.76%
Mirae Asset Mutual Fund (Mirae Asset S&P 500 TOP 50 ETF),Equity,0.69%
Cholamandalam Investment & Finance Company Ltd.,Equity,0.68%
ABB India Ltd.,Equity,0.60%
Torrent Pharmaceuticals Ltd.,Equity,0.55%
Bharat Electronics Ltd.,Equity,0.55%
Infosys Ltd.,Equity,0.53%
Coforge Ltd.,Equity,0.52%
REC Ltd.,Equity,0.50%
Godrej Consumer Products Ltd.,Equity,0.46%
CG Power & Industrial Solutions Ltd.,Equity,0.46%
Mahindra & Mahindra Ltd.,Equity,0.41%
Ltimindtree Ltd.,Equity,0.40%
Bajaj Finserv Ltd.,Equity,0.40%
Persistent Systems Ltd.,Equity,0.39%
Computer Age Management Services Ltd.,Equity,0.38%
Zomato Ltd.,Equity,0.36%
HDFC Life Insurance Company Ltd.,Equity,0.36%
Hindalco Industries Ltd.,Equity,0.35%
State Bank Of India,Equity,0.31%
Ambuja Cements Ltd.,Equity,0.31%
Neuland Laboratories Ltd.,Equity,0.30%
Trent Ltd.,Equity,0.28%
Jio Financial Services Ltd.,Equity,0.28%
Varun Beverages Ltd.,Equity,0.26%
KSB Ltd.,Equity,0.26%
Bharti Airtel Ltd.,Equity,0.25%
Tata Steel Ltd.,Equity,0.25%
Info Edge (India) Ltd.,Equity,0.23%
National Thermal Power Corporation Ltd.,Equity,0.22%
CMS Info Systems Ltd.,Equity,0.22%
Axis Bank Ltd.,Equity,0.21%
ICICI Prudential Life Insurance Company Ltd.,Equity,0.21%
Global Health Ltd.,Equity,0.19%
