Company Name,Asset Type,Percentage Allocation
HDFC Bank Ltd.,Equity,5.18%
ICICI Bank Ltd.,Equity,4.71%
Reliance Industries Ltd.,Equity,4.27%
Infosys Ltd.,Equity,2.73%
Polycab India Ltd.,Equity,2.46%
Larsen & Toubro Ltd.,Equity,2.21%
Brigade Enterprises Ltd.,Equity,2.19%
Bharti Airtel Ltd.,Equity,2.10%
Fortis Healthcare Ltd.,Equity,2.07%
ACC Ltd.,Equity,2.03%
Dixon Technologies (India) Ltd.,Equity,2.02%
CBLO(CCIL),Others,1.99%
Axis Bank Ltd.,Equity,1.94%
Cyient Ltd.,Equity,1.90%
The Federal Bank Ltd.,Equity,1.89%
Ultratech Cement Ltd.,Equity,1.72%
Tata Motors Ltd.,Equity,1.70%
Bajaj Finance Ltd.,Equity,1.67%
Indusind Bank Ltd.,Equity,1.64%
Coforge Ltd.,Equity,1.64%
Poonawalla Fincorp Ltd. (Erstwhile Magma Fincorp Ltd.),Equity,1.63%
Craftsman Automation Ltd.,Equity,1.56%
Union Bank Of India,Equity,1.55%
Hitachi Energy India Ltd.,Equity,1.54%
Mahindra & Mahindra Ltd.,Equity,1.54%
Sun Pharmaceuticals Ind Ltd.,Equity,1.51%
United Spirits Ltd.,Equity,1.49%
Container Corporation Of India Ltd.,Equity,1.45%
CIE Automotive India Ltd.,Equity,1.44%
Gateway Distriparks Ltd.,Equity,1.44%
Sanofi India Ltd.,Equity,1.43%
National Thermal Power Corporation Ltd.,Equity,1.42%
Torrent Pharmaceuticals Ltd.,Equity,1.40%
V-Guard Industries Ltd.,Equity,1.37%
Cummins India Ltd.,Equity,1.36%
ABB India Ltd.,Equity,1.34%
Britannia Industries Ltd.,Equity,1.30%
Hindalco Industries Ltd.,Equity,1.27%
The Indian Hotels Company Ltd.,Equity,1.26%
STAR HEALTH & ALLIED INSURANCE COMPANY Ltd.,Equity,1.26%
State Bank Of India,Equity,1.24%
Radico Khaitan Ltd.,Equity,1.18%
Cholamandalam Financial Holdings Ltd.,Equity,1.12%
Triveni Turbine Ltd.,Equity,1.11%
Bajaj Auto Ltd.,Equity,1.10%
S.J.S. Enterprises Ltd.,Equity,1.08%
Vinati Organics Ltd.,Equity,1.07%
Max Financial Services Ltd.,Equity,1.07%
Timken India Ltd.,Equity,1.06%
LIC Housing Finance Ltd.,Equity,1.05%
Tata Technologies Ltd.,Equity,1.04%
Go Fashion (India) Ltd.,Equity,1.00%
Ahluwalia Contracts Ltd.,Equity,0.95%
Kaynes Technology India Pvt. Ltd.,Equity,0.89%
VIP Industries Ltd.,Equity,0.88%
Td Power Systems Ltd.,Equity,0.83%
Westlife Foodworld Ltd.,Equity,0.81%
Jupiter Life Line Hospitals Ltd.,Equity,0.74%
Home First Finance Company India Ltd.,Equity,0.74%
IDFC First Bank Ltd. (Erstwhile IDFC Bank Ltd.),Equity,0.69%
GMM Pfaudler Ltd.,Equity,0.67%
Ajanta Pharma Ltd.,Equity,0.60%
Somany Ceramics Ltd.,Equity,0.59%
Utkarsh Small Finance Bank Ltd.,Equity,0.56%
La Opala RG Ltd.,Equity,0.48%
Moldtek Packaging Ltd.,Equity,0.34%
Vedant Fashions Pvt. Ltd.,Equity,0.30%
Butterfly Gandhimathi Appliances Ltd.,Equity,0.23%
Ashok Leyland Ltd.,Equity,0.03%
Doms Industries Ltd.,Equity,0.02%
Inox India Ltd.,Equity,0.01%
Happy Forgings Ltd.,Equity,0.01%
Net Receivables/(Payable),Others,-0.16%
