Company Name,Asset Type,Percentage Allocation
ICICI Bank Ltd.,Equity,5.77%
Birlasoft Ltd.,Equity,4.49%
Cholamandalam Investment & Finance Company Ltd.,Equity,4.14%
Persistent Systems Ltd.,Equity,3.81%
The Phoenix Mills Ltd.,Equity,3.76%
Trent Ltd.,Equity,3.74%
Bajaj Finance Ltd.,Equity,3.37%
HDFC Bank Ltd.,Equity,3.14%
Brigade Enterprises Ltd.,Equity,2.72%
Fortis Healthcare Ltd.,Equity,2.54%
Sundaram Finance Ltd.,Equity,2.49%
Mahindra & Mahindra Ltd.,Equity,2.48%
Infosys Ltd.,Equity,2.31%
Blue Star Ltd.,Equity,2.31%
Minda Corporation Ltd.,Equity,2.29%
Narayana Hrudayalaya Ltd.,Equity,2.19%
Coforge Ltd.,Equity,2.11%
Larsen & Toubro Ltd.,Equity,1.90%
UNO Minda Ltd.,Equity,1.84%
Krishna Institute of Medical Sciences Ltd.,Equity,1.66%
TVS Motor Company Ltd.,Equity,1.60%
Sansera Engineering Ltd.,Equity,1.57%
Galaxy Surfactants Ltd.,Equity,1.51%
Kaynes Technology India Pvt. Ltd.,Equity,1.50%
Mphasis Ltd.,Equity,1.48%
JB Chemicals & Pharmaceuticals Ltd.,Equity,1.41%
Tata Motors Ltd.,Equity,1.41%
Tata Consultancy Services Ltd.,Equity,1.37%
DLF Ltd.,Equity,1.29%
Zomato Ltd.,Equity,1.23%
Fine Organic Industries Ltd.,Equity,1.22%
Polycab India Ltd.,Equity,1.20%
Ccl Products (India) Ltd.,Equity,1.05%
CBLO(CCIL),Others,1.02%
Go Fashion (India) Ltd.,Equity,1.00%
Bharat Electronics Ltd.,Equity,0.99%
Rolex Rings Ltd.,Equity,0.97%
National Thermal Power Corporation Ltd.,Equity,0.91%
Craftsman Automation Ltd.,Equity,0.90%
Sona Blw Precision Forgings Ltd.,Equity,0.89%
Net Receivables/(Payable),Others,0.89%
Bharti Airtel Ltd.,Equity,0.86%
Crompton Greaves Consumer Electrcials Ltd.,Equity,0.84%
CG Power & Industrial Solutions Ltd.,Equity,0.78%
Ultratech Cement Ltd.,Equity,0.77%
Rainbow Childrens Medicare Ltd.,Equity,0.77%
Mankind Pharma Ltd.,Equity,0.76%
Jio Financial Services Ltd.,Equity,0.74%
Mrs Bectors Food Specialities Ltd.,Equity,0.73%
Voltas Ltd.,Equity,0.72%
Tata Power Company Ltd.,Equity,0.70%
CIE Automotive India Ltd.,Equity,0.62%
Motherson Sumi Wiring India Ltd.,Equity,0.60%
ICICI Prudential Life Insurance Company Ltd.,Equity,0.58%
State Bank Of India,Equity,0.56%
KEI Industries Ltd.,Equity,0.54%
Solar Industries India Ltd.,Equity,0.54%
Dixon Technologies (India) Ltd.,Equity,0.51%
United Spirits Ltd.,Equity,0.50%
Bharat Dynamics Ltd.,Equity,0.46%
Cummins India Ltd.,Equity,0.41%
Navin Fluorine International Ltd.,Equity,0.40%
PI Industries Ltd.,Equity,0.40%
J. K. Cement Ltd.,Equity,0.32%
Torrent Pharmaceuticals Ltd.,Equity,0.28%
Jupiter Life Line Hospitals Ltd.,Equity,0.26%
The Ramco Cements Ltd.,Equity,0.25%
Canfin Homes Ltd.,Equity,0.25%
Bata India Ltd.,Equity,0.21%
Maruti Suzuki India Ltd.,Equity,0.17%
