Company Name,Asset Type,Percentage Allocation
HDFC Bank Ltd.,Equity,4.95%
Reliance Industries Ltd.,Equity,3.14%
Triparty Repo,Others,2.83%
ICICI Bank Ltd.,Equity,2.48%
Axis Bank Ltd.,Equity,2.13%
Infosys Ltd.,Equity,2.13%
Larsen & Toubro Ltd.,Equity,2.04%
Tata Consultancy Services Ltd.,Equity,1.87%
Bosch Ltd.,Equity,1.84%
Kotak Mahindra Bank Ltd.,Equity,1.79%
Greenply Industries Ltd.,Equity,1.71%
Cyient Ltd.,Equity,1.71%
United Breweries Ltd.,Equity,1.68%
Indusind Bank Ltd.,Equity,1.63%
EIH Ltd.,Equity,1.55%
V-Mart Retail Ltd.,Equity,1.49%
Sun Pharmaceuticals Ind Ltd.,Equity,1.46%
Mahindra Lifespace Developers Ltd.,Equity,1.43%
The Ramco Cements Ltd.,Equity,1.41%
Metro Brands Ltd.,Equity,1.40%
ITC Ltd.,Equity,1.40%
Tata Motors Ltd.,Equity,1.40%
Indian Bank,Equity,1.39%
Avanti Feeds Ltd.,Equity,1.39%
Updater Services Ltd.,Equity,1.30%
Mahindra & Mahindra Financial Services Ltd.,Equity,1.30%
ICICI Lombard General Insurance Company Ltd.,Equity,1.22%
Syrma SGS Technology Ltd.,Equity,1.20%
Tata Consumer Products Ltd.,Equity,1.20%
Sterling & Wilson Renewable Energy Ltd. (Erstwhile Sterling & Wilson Solar Ltd.),Equity,1.19%
Rallis India Ltd.,Equity,1.17%
HDFC Life Insurance Company Ltd.,Equity,1.16%
Bharti Airtel Ltd.,Equity,1.14%
Maruti Suzuki India Ltd.,Equity,1.14%
Crompton Greaves Consumer Electrcials Ltd.,Equity,1.12%
Bajaj Finance Ltd.,Equity,1.09%
Bank Of Baroda,Equity,1.08%
Cummins India Ltd.,Equity,1.08%
Carborundum Universal Ltd.,Equity,1.08%
NHPC Ltd.,Equity,1.07%
Grasim Industries Ltd.,Equity,1.06%
Yatra Online Ltd.,Equity,1.06%
Automotive Axles Ltd.,Equity,1.05%
NMDC Ltd.,Equity,1.04%
Jindal Steel & Power Ltd.,Equity,1.03%
Radico Khaitan Ltd.,Equity,1.01%
Sundaram Finance Ltd.,Equity,0.97%
Dr Reddys Laboratories Ltd.,Equity,0.96%
Aurobindo Pharma Ltd.,Equity,0.96%
JK Tyre & Industries Ltd.,Equity,0.96%
Container Corporation Of India Ltd.,Equity,0.95%
Latent View Analytics Ltd.,Equity,0.94%
CG Power & Industrial Solutions Ltd.,Equity,0.94%
Bandhan Bank Ltd.,Equity,0.93%
Avenue Supermarts Ltd.,Equity,0.90%
Natco Pharma Ltd.,Equity,0.90%
Teamlease Services Ltd.,Equity,0.88%
Kalpataru Projects International Ltd.,Equity,0.86%
Thermax Ltd.,Equity,0.85%
Zee Entertainment Enterprises Ltd.,Equity,0.83%
Max Financial Services Ltd.,Equity,0.79%
Keystone Realtors Ltd,Equity,0.78%
Shriram Finance Ltd.(Erstwhile Shriram Transport Finance Company Limited),Equity,0.74%
JK Lakshmi Cement Ltd.,Equity,0.70%
VRL Logistics Ltd.,Equity,0.68%
Manappuram Finance Ltd.,Equity,0.66%
Power Finance Corporation Ltd.,Equity,0.63%
Jubilant Foodworks Ltd.,Equity,0.62%
Biocon Ltd.,Equity,0.62%
Cipla Ltd.,Equity,0.58%
Info Edge (India) Ltd.,Equity,0.57%
Samvardhana Motherson International Ltd. (Erstwhile Motherson Sumi Systems Ltd.),Equity,0.56%
Krishna Institute of Medical Sciences Ltd.,Equity,0.55%
State Bank Of India,Equity,0.53%
Home First Finance Company India Ltd.,Equity,0.52%
Tech Mahindra Ltd.,Equity,0.49%
Laurus Labs Ltd.,Equity,0.48%
Glaxo Smithkline Pharmaceuticals Ltd.,Equity,0.47%
Sumitomo Chemical India Ltd.,Equity,0.45%
Rishabh Instruments Ltd.,Equity,0.44%
Satin Creditcare Network Ltd.,Equity,0.43%
Suzlon Energy Ltd.,Equity,0.42%
NLC India Ltd.,Equity,0.42%
Coforge Ltd.,Equity,0.42%
Mphasis Ltd.,Equity,0.38%
Whirlpool of India Ltd.,Equity,0.38%
Aditya Birla Fashion & Retail Ltd.,Equity,0.37%
AIA Engineering Ltd.,Equity,0.31%
Alkem Laboratories Ltd.,Equity,0.29%
PVR INOX Ltd.,Equity,0.23%
Eicher Motors Ltd.,Equity,0.23%
Voltas Ltd.,Equity,0.22%
Hitachi Energy India Ltd.,Equity,0.15%
Cash Margin,Debt,0.11%
Oil India Ltd.,Equity,0.10%
Cash Margin,Debt,0.02%
Cash,Others,0.00%
Net Receivables/(Payable),Others,-0.23%
