Company Name,Asset Type,Percentage Allocation
HDFC Bank Ltd.,Equity,5.06%
ICICI Bank Ltd.,Equity,3.75%
Triparty Repo,Others,3.21%
Zomato Ltd.,Equity,2.91%
Reliance Industries Ltd.,Equity,2.74%
Larsen & Toubro Ltd.,Equity,2.64%
Indusind Bank Ltd.,Equity,2.44%
Mphasis Ltd.,Equity,2.32%
Tata Motors Ltd.,Equity,2.13%
NHPC Ltd.,Equity,2.13%
Rainbow Childrens Medicare Ltd.,Equity,2.12%
Hitachi Energy India Ltd.,Equity,2.08%
TVS Motor Company Ltd.,Equity,2.08%
Ratnamani Metals & Tubes Ltd.,Equity,2.05%
Sun Pharmaceuticals Ind Ltd.,Equity,2.01%
Coforge Ltd.,Equity,1.94%
Brigade Enterprises Ltd.,Equity,1.93%
Radico Khaitan Ltd.,Equity,1.90%
Dixon Technologies (India) Ltd.,Equity,1.85%
Power Finance Corporation Ltd.,Equity,1.80%
Ltimindtree Ltd.,Equity,1.78%
Tata Consultancy Services Ltd.,Equity,1.77%
BSE Ltd.,Equity,1.71%
Nestle India Ltd.,Equity,1.69%
The Indian Hotels Company Ltd.,Equity,1.65%
The Phoenix Mills Ltd.,Equity,1.55%
Linde India Ltd.,Equity,1.55%
JB Chemicals & Pharmaceuticals Ltd.,Equity,1.53%
KEI Industries Ltd.,Equity,1.53%
Bharat Electronics Ltd.,Equity,1.52%
eClerx Services Ltd.,Equity,1.48%
Mrs Bectors Food Specialities Ltd.,Equity,1.45%
Craftsman Automation Ltd.,Equity,1.45%
Indian Bank,Equity,1.42%
Affle (India) Ltd.,Equity,1.42%
Birla Corporation Ltd.,Equity,1.41%
Concord Biotech Ltd.,Equity,1.38%
Canfin Homes Ltd.,Equity,1.36%
Punjab National Bank,Equity,1.35%
Five-Star Business Finance Ltd.,Equity,1.35%
Tega Industries Ltd.,Equity,1.32%
Nippon Life India Asset Management Ltd.,Equity,1.32%
Mahindra & Mahindra Financial Services Ltd.,Equity,1.30%
Trent Ltd.,Equity,1.29%
Tata Communications Ltd.,Equity,1.29%
Alkem Laboratories Ltd.,Equity,1.22%
Bajaj Finance Ltd.,Equity,1.21%
Bharti Airtel Ltd.,Equity,1.19%
Motherson Sumi Wiring India Ltd.,Equity,1.16%
Dalmia Bharat Ltd.,Equity,1.11%
Westlife Foodworld Ltd.,Equity,1.11%
The Jammu & Kashmir Bank Ltd.,Equity,1.10%
CG Power & Industrial Solutions Ltd.,Equity,1.08%
Jindal Stainless Ltd.,Equity,1.08%
Metro Brands Ltd.,Equity,0.99%
APL Apollo Tubes Ltd.,Equity,0.99%
Protean Egov Technologies Ltd.,Equity,0.92%
Net Receivables/(Payable),Others,0.89%
Maruti Suzuki India Ltd.,Equity,0.88%
Amex Carbonates & Chemicals Ltd.,Equity,0.00%
Derivative,Others,-0.88%
