Company Name,Asset Type,Percentage Allocation
HDFC Bank Ltd.,Equity,4.67%
Persistent Systems Ltd.,Equity,3.02%
Coforge Ltd.,Equity,3.02%
ICICI Bank Ltd.,Equity,2.95%
Larsen & Toubro Ltd.,Equity,2.80%
CBLO(CCIL),Others,2.69%
National Thermal Power Corporation Ltd.,Equity,2.08%
Amber Enterprises India Ltd.,Equity,2.07%
KEI Industries Ltd.,Equity,1.74%
Bajaj Auto Ltd.,Equity,1.65%
Tata Motors Ltd.,Equity,1.59%
Ltimindtree Ltd.,Equity,1.59%
Coal India Ltd.,Equity,1.59%
Bikaji Foods International Ltd.,Equity,1.55%
Axis Bank Ltd.,Equity,1.54%
Radico Khaitan Ltd.,Equity,1.51%
Bajaj Finance Ltd.,Equity,1.49%
Reliance Industries Ltd.,Equity,1.48%
TVS Motor Company Ltd.,Equity,1.48%
Trent Ltd.,Equity,1.48%
ITC Ltd.,Equity,1.45%
Ultratech Cement Ltd.,Equity,1.44%
Dixon Technologies (India) Ltd.,Equity,1.42%
Power Finance Corporation Ltd.,Equity,1.35%
Titan Company Ltd.,Equity,1.34%
Ajanta Pharma Ltd.,Equity,1.34%
HCL Technologies Ltd.,Equity,1.28%
Birlasoft Ltd.,Equity,1.24%
Sundaram Finance Ltd.,Equity,1.22%
Krishna Institute of Medical Sciences Ltd.,Equity,1.14%
Shriram Finance Ltd.(Erstwhile Shriram Transport Finance Company Limited),Equity,1.13%
JB Chemicals & Pharmaceuticals Ltd.,Equity,1.11%
Sun Pharmaceuticals Ind Ltd.,Equity,1.10%
Bharat Electronics Ltd.,Equity,1.10%
Hindalco Industries Ltd.,Equity,1.04%
Birla Corporation Ltd.,Equity,1.03%
Chalet Hotels Ltd.,Equity,1.03%
Zomato Ltd.,Equity,1.02%
Mahindra & Mahindra Financial Services Ltd.,Equity,1.00%
Godrej Properties Ltd.,Equity,1.00%
The Phoenix Mills Ltd.,Equity,0.98%
Central Depository Services (India) Ltd.,Equity,0.97%
Cholamandalam Investment & Finance Company Ltd.,Equity,0.95%
ABB India Ltd.,Equity,0.92%
Karur Vysya Bank Ltd.,Equity,0.91%
Brigade Enterprises Ltd.,Equity,0.91%
State Bank Of India,Equity,0.90%
Indusind Bank Ltd.,Equity,0.87%
JSW Energy Ltd.,Equity,0.85%
Max Financial Services Ltd.,Equity,0.79%
Equitas Small Finance Bank Ltd.,Equity,0.76%
APL Apollo Tubes Ltd.,Equity,0.74%
Bharat Dynamics Ltd.,Equity,0.74%
Max Healthcare Institute Ltd.,Equity,0.73%
SBI Life Insurance Company Ltd.,Equity,0.71%
Eicher Motors Ltd.,Equity,0.70%
CreditAccess Grameen Ltd.,Equity,0.70%
Cummins India Ltd.,Equity,0.69%
Tejas Networks Ltd.,Equity,0.69%
Kajaria Ceramics Ltd.,Equity,0.67%
The Federal Bank Ltd.,Equity,0.66%
Ratnamani Metals & Tubes Ltd.,Equity,0.66%
Suven Pharmaceuticals Ltd.,Equity,0.65%
Voltamp Transformers Ltd.,Equity,0.64%
Kaynes Technology India Pvt. Ltd.,Equity,0.64%
Indian Bank,Equity,0.60%
Home First Finance Company India Ltd.,Equity,0.59%
Mazagon Dock Shipbuilders Ltd.,Equity,0.56%
Canfin Homes Ltd.,Equity,0.53%
Teamlease Services Ltd.,Equity,0.53%
Solar Industries India Ltd.,Equity,0.52%
Aarti Industries Ltd.,Equity,0.52%
Mahindra & Mahindra Ltd.,Equity,0.51%
Nestle India Ltd.,Equity,0.51%
Fortis Healthcare Ltd.,Equity,0.51%
Endurance Technologies Ltd.,Equity,0.51%
Voltas Ltd.,Equity,0.50%
Jindal Steel & Power Ltd.,Equity,0.50%
Westlife Foodworld Ltd.,Equity,0.49%
Bharat Forge Ltd.,Equity,0.48%
Tech Mahindra Ltd.,Equity,0.47%
The Indian Hotels Company Ltd.,Equity,0.45%
Avalon Technologies Ltd,Equity,0.44%
Jubilant Foodworks Ltd.,Equity,0.43%
Samvardhana Motherson International Ltd. (Erstwhile Motherson Sumi Systems Ltd.),Equity,0.43%
AIA Engineering Ltd.,Equity,0.42%
Cholamandalam Financial Holdings Ltd.,Equity,0.42%
Vedant Fashions Pvt. Ltd.,Equity,0.39%
Bank Of Baroda,Equity,0.39%
Suzlon Energy Ltd.,Equity,0.38%
Grindwell Norton Ltd.,Equity,0.38%
Bharti Airtel Ltd.,Equity,0.37%
Cipla Ltd.,Equity,0.35%
Dr Reddys Laboratories Ltd.,Equity,0.34%
Tata Technologies Ltd.,Equity,0.26%
NMDC Ltd.,Equity,0.25%
Moldtek Packaging Ltd.,Equity,0.23%
Syngene International Ltd.,Equity,0.20%
JSW Steel Ltd.,Equity,0.19%
Net Receivables/(Payable),Others,0.16%
Accrued Interest,Others,0.00%
