Company Name,Asset Type,Percentage Allocation
HDFC Bank Ltd.,Equity,5.51%
ICICI Bank Ltd.,Equity,2.89%
Triparty Repo,Others,2.69%
Reliance Industries Ltd.,Equity,2.41%
Infosys Ltd.,Equity,2.31%
Coforge Ltd.,Equity,1.61%
Larsen & Toubro Ltd.,Equity,1.49%
Indusind Bank Ltd.,Equity,1.36%
Vesuvius India Ltd.,Equity,1.26%
ITC Ltd.,Equity,1.26%
Tata Motors Ltd.,Equity,1.20%
Tata Consultancy Services Ltd.,Equity,1.18%
Bharti Airtel Ltd.,Equity,1.17%
Max Healthcare Institute Ltd.,Equity,1.14%
State Bank Of India,Equity,1.11%
SBI Life Insurance Company Ltd.,Equity,1.09%
Axis Bank Ltd.,Equity,1.08%
Hindustan Petroleum Corporation Ltd.,Equity,1.08%
Apar Industries Ltd.,Equity,1.06%
Chalet Hotels Ltd.,Equity,1.01%
HCL Technologies Ltd.,Equity,1.00%
Ambuja Cements Ltd.,Equity,0.99%
Bajaj Finance Ltd.,Equity,0.96%
JSW Infrastructure Ltd. (Erstwhile Sarvoday Advisory Services Pvt. Ltd.),Equity,0.96%
Ultratech Cement Ltd.,Equity,0.95%
Tata Communications Ltd.,Equity,0.95%
Mphasis Ltd.,Equity,0.94%
Sun Pharmaceuticals Ind Ltd.,Equity,0.92%
Coal India Ltd.,Equity,0.89%
National Thermal Power Corporation Ltd.,Equity,0.88%
Five-Star Business Finance Ltd.,Equity,0.88%
Power Finance Corporation Ltd.,Equity,0.88%
The Indian Hotels Company Ltd.,Equity,0.87%
Fusion Micro Finance Ltd.,Equity,0.86%
Apollo Tyres Ltd.,Equity,0.83%
United Spirits Ltd.,Equity,0.80%
Kalpataru Projects International Ltd.,Equity,0.78%
The Federal Bank Ltd.,Equity,0.76%
REC Ltd.,Equity,0.75%
Bank Of Baroda,Equity,0.74%
Escorts Kubota Ltd.,Equity,0.74%
Shriram Finance Ltd.(Erstwhile Shriram Transport Finance Company Limited),Equity,0.73%
Persistent Systems Ltd.,Equity,0.72%
Bharat Forge Ltd.,Equity,0.70%
Voltas Ltd.,Equity,0.69%
Centum Electronics Ltd.,Equity,0.66%
Embassy Office Parks Reit,Others,0.65%
Techno Electric & Engineering Company Ltd.,Equity,0.65%
Carborundum Universal Ltd.,Equity,0.65%
Cipla Ltd.,Equity,0.65%
Archean Chemical Industries Ltd.,Equity,0.65%
360 ONE WAM LTD.(Erstwhile IIFL WEALTH MANAGEMENT LIMITED),Equity,0.64%
Mahindra & Mahindra Ltd.,Equity,0.63%
Chambal Fertilisers & Chemicals Ltd.,Equity,0.63%
The Supreme Industries Ltd.,Equity,0.63%
Oil & Natural Gas Corporation Ltd.,Equity,0.63%
Wheels India Ltd.,Equity,0.62%
Delta Corp Ltd.,Equity,0.61%
Aurobindo Pharma Ltd.,Equity,0.59%
Timken India Ltd.,Equity,0.58%
Hindustan Unilever Ltd.,Equity,0.58%
The Great Eastern Shipping Company Ltd.,Equity,0.58%
Cholamandalam Investment & Finance Company Ltd.,Equity,0.57%
Eris Lifesciences Ltd.,Equity,0.56%
Trent Ltd.,Equity,0.55%
Birla Corporation Ltd.,Equity,0.55%
Hindustan Construction Company Ltd.,Equity,0.55%
Tata Steel Ltd.,Equity,0.54%
Dixon Technologies (India) Ltd.,Equity,0.54%
Gland Pharma Ltd.,Equity,0.51%
Elecon Engineering Company Ltd.,Equity,0.50%
Sonata Software Ltd.,Equity,0.50%
Crompton Greaves Consumer Electrcials Ltd.,Equity,0.48%
IPCA Laboratories Ltd.,Equity,0.48%
Bharat Dynamics Ltd.,Equity,0.48%
Symphony Ltd.,Equity,0.48%
Jindal Steel & Power Ltd.,Equity,0.47%
Motilal Oswal Financial Services Ltd.,Equity,0.47%
Bharat Electronics Ltd.,Equity,0.47%
Atul Ltd.,Equity,0.46%
Metro Brands Ltd.,Equity,0.45%
Hindalco Industries Ltd.,Equity,0.45%
Zee Entertainment Enterprises Ltd.,Equity,0.44%
CESC Ltd.,Equity,0.44%
Indian Renewable Energy Development Agency (Ireda),Equity,0.44%
Dr Reddys Laboratories Ltd.,Equity,0.44%
Kotak Mahindra Bank Ltd.,Equity,0.43%
Mahindra & Mahindra Financial Services Ltd.,Equity,0.43%
Gujarat Fluorochemicals Ltd.,Equity,0.43%
Td Power Systems Ltd.,Equity,0.42%
Gabriel India Ltd.,Equity,0.41%
Gulf Oil Lubricants India Ltd.,Equity,0.41%
Godrej Consumer Products Ltd.,Equity,0.41%
Sundaram Finance Ltd.,Equity,0.40%
Gandhar Oil Refinery (India) Ltd.,Equity,0.39%
Aavas Financiers Ltd. (Erstwhile A U Housing Finance),Equity,0.39%
Asian Paints Ltd.,Equity,0.39%
The Ramco Cements Ltd.,Equity,0.38%
KEC International Ltd.,Equity,0.37%
Maruti Suzuki India Ltd.,Equity,0.37%
Navin Fluorine International Ltd.,Equity,0.37%
PB Fintech Ltd.,Equity,0.37%
Mahanagar Gas Ltd.,Equity,0.36%
EIH Ltd.,Equity,0.36%
Muthoot Finance Ltd.,Equity,0.36%
Tech Mahindra Ltd.,Equity,0.35%
Dilip Buildcon Ltd.,Equity,0.35%
CIE Automotive India Ltd.,Equity,0.34%
Havells India Ltd.,Equity,0.34%
Dabur India Ltd.,Equity,0.33%
Pidilite Industries Ltd.,Equity,0.33%
United Breweries Ltd.,Equity,0.32%
Torrent Power Ltd.,Equity,0.32%
CreditAccess Grameen Ltd.,Equity,0.32%
UPL Ltd. (Erstwhile United Phosphorus Ltd.),Equity,0.31%
CG Power & Industrial Solutions Ltd.,Equity,0.31%
Jubilant Ingrevia Ltd.,Equity,0.31%
Aarti Industries Ltd.,Equity,0.30%
Nilkamal Ltd.,Equity,0.30%
Kajaria Ceramics Ltd.,Equity,0.30%
Sula Vineyards Ltd.,Equity,0.29%
Bandhan Bank Ltd.,Equity,0.28%
Graphite India Ltd.,Equity,0.28%
Zensar Technologies Ltd.,Equity,0.28%
Prudent Corporate Advisory Services Ltd.,Equity,0.27%
Jagran Prakashan Ltd.,Equity,0.27%
Eicher Motors Ltd.,Equity,0.26%
Shoppers Stop Ltd.,Equity,0.26%
Bajaj Electricals Ltd.,Equity,0.26%
Greenply Industries Ltd.,Equity,0.26%
Kaynes Technology India Pvt. Ltd.,Equity,0.26%
MM Forgings Ltd.,Equity,0.26%
Restaurant Brands Asia Ltd.,Equity,0.25%
Orient Cement Ltd.,Equity,0.25%
Equitas Small Finance Bank Ltd.,Equity,0.25%
Varroc Engineering Pvt. Ltd.,Equity,0.25%
Goodyear India Ltd.,Equity,0.25%
Tega Industries Ltd.,Equity,0.25%
Aditya Birla Fashion & Retail Ltd.,Equity,0.24%
L&T Technology Services Ltd.,Equity,0.24%
Indoco Remedies Ltd.,Equity,0.24%
Akzo Nobel India Ltd.,Equity,0.24%
Sona Blw Precision Forgings Ltd.,Equity,0.23%
Bajaj Consumer Care Ltd.,Equity,0.23%
Gateway Distriparks Ltd.,Equity,0.23%
Samvardhana Motherson International Ltd. (Erstwhile Motherson Sumi Systems Ltd.),Equity,0.22%
Sagar Cements Ltd.,Equity,0.20%
Aarti Pharmalabs Ltd,Equity,0.20%
Bank Of India,Equity,0.19%
Blue Star Ltd.,Equity,0.18%
Rallis India Ltd.,Equity,0.17%
Advanced Enzyme Technologies Ltd.,Equity,0.17%
TCI Express Ltd.,Equity,0.17%
Alkem Laboratories Ltd.,Equity,0.17%
Chemplast Sanmar Ltd.,Equity,0.16%
Voltamp Transformers Ltd.,Equity,0.15%
Go Fashion (India) Ltd.,Equity,0.15%
Balkrishna Industries Ltd.,Equity,0.15%
Suprajit Engineering Ltd.,Equity,0.15%
Balrampur Chini Mills Ltd.,Equity,0.14%
Vardhman Textiles Ltd.,Equity,0.14%
SBI Cards & Payment Services Pvt. Ltd.,Equity,0.14%
Sundram Fasteners Ltd.,Equity,0.14%
Data Patterns (India) Ltd.,Equity,0.13%
Jio Financial Services Ltd.,Equity,0.13%
Canfin Homes Ltd.,Equity,0.13%
Motherson Sumi Wiring India Ltd.,Equity,0.13%
Bikaji Foods International Ltd.,Equity,0.12%
JSW Energy Ltd.,Equity,0.09%
SRF Ltd.,Equity,0.09%
Avanti Feeds Ltd.,Equity,0.08%
Bajel Projects Limited (BPL),Equity,0.03%
Rishabh Instruments Ltd.,Equity,0.03%
Torrent Pharmaceuticals Ltd.,Equity,0.01%
Current Assets,Others,-0.17%
