Company Name,Asset Type,Percentage Allocation
Power Finance Corporation Ltd.,Equity,2.85%
Birlasoft Ltd.,Equity,2.68%
Larsen & Toubro Ltd.,Equity,2.68%
National Thermal Power Corporation Ltd.,Equity,2.65%
HDFC Bank Ltd.,Equity,2.31%
Kirloskar Oil Engines Ltd.,Equity,2.29%
Trent Ltd.,Equity,2.26%
KPIT Technologies Ltd.,Equity,2.10%
ICICI Bank Ltd.,Equity,2.04%
Ultratech Cement Ltd.,Equity,1.92%
Multi Commodity Exchange of India Ltd.,Equity,1.90%
TVS Motor Company Ltd.,Equity,1.83%
JB Chemicals & Pharmaceuticals Ltd.,Equity,1.79%
State Bank Of India,Equity,1.79%
Infosys Ltd.,Equity,1.78%
Zydus Lifesciences Ltd.,Equity,1.77%
Zensar Technologies Ltd.,Equity,1.75%
Shriram Finance Ltd.(Erstwhile Shriram Transport Finance Company Limited),Equity,1.71%
Varun Beverages Ltd.,Equity,1.65%
Sonata Software Ltd.,Equity,1.63%
DLF Ltd.,Equity,1.62%
Power Mech Projects Ltd.,Equity,1.62%
Sundaram Finance Ltd.,Equity,1.60%
Canara Bank,Equity,1.58%
Bharat Electronics Ltd.,Equity,1.57%
Global Health Ltd.,Equity,1.54%
ITC Ltd.,Equity,1.51%
K P R Mill Ltd.,Equity,1.49%
Ratnamani Metals & Tubes Ltd.,Equity,1.45%
KEI Industries Ltd.,Equity,1.42%
Lemon Tree Hotels Ltd.,Equity,1.42%
Td Power Systems Ltd.,Equity,1.39%
Triparty Repo,Others,1.38%
APL Apollo Tubes Ltd.,Equity,1.34%
AIA Engineering Ltd.,Equity,1.28%
Oil India Ltd.,Equity,1.26%
HDFC Asset Management Company Ltd.,Equity,1.25%
Reliance Industries Ltd.,Equity,1.20%
Jindal Stainless Ltd.,Equity,1.20%
Gokaldas Exports Ltd.,Equity,1.15%
The Indian Hotels Company Ltd.,Equity,1.09%
The Ramco Cements Ltd.,Equity,1.06%
Axis Bank Ltd.,Equity,1.06%
PNC Infratech Ltd.,Equity,1.01%
Mahindra & Mahindra Ltd.,Equity,1.01%
Sumitomo Chemical India Ltd.,Equity,0.95%
Gujarat Fluorochemicals Ltd.,Equity,0.93%
GE T&D India Ltd.,Equity,0.92%
Siemens Ltd.,Equity,0.86%
Mahindra & Mahindra Financial Services Ltd.,Equity,0.85%
Mahindra Lifespace Developers Ltd.,Equity,0.84%
Safari Industries (India) Ltd.,Equity,0.83%
Sun Pharmaceuticals Ind Ltd.,Equity,0.82%
Tech Mahindra Ltd.,Equity,0.79%
The Phoenix Mills Ltd.,Equity,0.78%
Ccl Products (India) Ltd.,Equity,0.77%
KEC International Ltd.,Equity,0.76%
The Federal Bank Ltd.,Equity,0.74%
Britannia Industries Ltd.,Equity,0.74%
Suven Pharmaceuticals Ltd.,Equity,0.73%
Persistent Systems Ltd.,Equity,0.73%
Grindwell Norton Ltd.,Equity,0.72%
VRL Logistics Ltd.,Equity,0.71%
PI Industries Ltd.,Equity,0.70%
Karur Vysya Bank Ltd.,Equity,0.70%
Cholamandalam Investment & Finance Company Ltd.,Equity,0.69%
Rolex Rings Ltd.,Equity,0.66%
Indian Bank,Equity,0.65%
Maharashtra Seamless Ltd.,Equity,0.65%
Carborundum Universal Ltd.,Equity,0.62%
Hindustan Petroleum Corporation Ltd.,Equity,0.61%
Balrampur Chini Mills Ltd.,Equity,0.61%
Aegis Logistics Ltd.,Equity,0.59%
RHI Magnesita India Ltd.,Equity,0.59%
UNO Minda Ltd.,Equity,0.59%
eClerx Services Ltd.,Equity,0.58%
Escorts Kubota Ltd.,Equity,0.47%
Ltimindtree Ltd.,Equity,0.43%
KNR Constructions Ltd.,Equity,0.37%
Krishna Institute of Medical Sciences Ltd.,Equity,0.35%
ABB India Ltd.,Equity,0.31%
Voltas Ltd.,Equity,0.24%
SAI Silks (Kalamandir) Ltd.,Equity,0.16%
Timken India Ltd.,Equity,0.07%
Current Assets,Others,0.00%
