Company Name,Asset Type,Percentage Allocation
HDFC Bank Ltd.,Equity,3.84%
ICICI Bank Ltd.,Equity,2.85%
Jindal Stainless Ltd.,Equity,2.59%
Reliance Industries Ltd.,Equity,2.55%
Prestige Estates Projects Ltd.,Equity,2.09%
KPIT Technologies Ltd.,Equity,1.99%
NLC India Ltd.,Equity,1.81%
Larsen & Toubro Ltd.,Equity,1.79%
ITC Ltd.,Equity,1.78%
Net Receivables/(Payable),Others,1.78%
Inox Wind Ltd.,Equity,1.71%
Triparty Repo,Others,1.66%
Power Finance Corporation Ltd.,Equity,1.63%
Infosys Ltd.,Equity,1.62%
Solar Industries India Ltd.,Equity,1.55%
Lupin Ltd.,Equity,1.55%
National Thermal Power Corporation Ltd.,Equity,1.50%
Tata Consultancy Services Ltd.,Equity,1.49%
Ambuja Cements Ltd.,Equity,1.47%
TVS Motor Company Ltd.,Equity,1.42%
Jupiter Wagons Ltd.,Equity,1.37%
Bharat Dynamics Ltd.,Equity,1.36%
Kotak Mahindra Bank Ltd.,Equity,1.36%
Archean Chemical Industries Ltd.,Equity,1.32%
Sun Pharmaceuticals Ind Ltd.,Equity,1.31%
HI TECH PIPES LTD.,Equity,1.29%
AIA Engineering Ltd.,Equity,1.29%
Siemens Ltd.,Equity,1.26%
State Bank Of India,Equity,1.26%
Ultratech Cement Ltd.,Equity,1.26%
Indusind Bank Ltd.,Equity,1.22%
Bharti Airtel Ltd.,Equity,1.22%
Apollo Hospitals Enterprise Ltd.,Equity,1.19%
Kaynes Technology India Pvt. Ltd.,Equity,1.18%
Hindalco Industries Ltd.,Equity,1.14%
Aster DM Healthcare Ltd.,Equity,1.14%
Maruti Suzuki India Ltd.,Equity,1.12%
Karur Vysya Bank Ltd.,Equity,1.06%
Shriram Finance Ltd.(Erstwhile Shriram Transport Finance Company Limited),Equity,1.06%
L&T Technology Services Ltd.,Equity,1.06%
Bank Of Baroda,Equity,1.05%
Bosch Ltd.,Equity,1.05%
Titan Company Ltd.,Equity,1.04%
Tata Communications Ltd.,Equity,1.03%
ZF Commercial Vehicle Control Systems India Ltd.,Equity,1.03%
Asahi India Glass Ltd.,Equity,1.02%
Axis Bank Ltd.,Equity,1.00%
Cummins India Ltd.,Equity,1.00%
Indian Bank,Equity,0.98%
Zomato Ltd.,Equity,0.98%
Triveni Engineering & Industries Ltd.,Equity,0.97%
The Federal Bank Ltd.,Equity,0.97%
DCB Bank Ltd.,Equity,0.97%
The Indian Hotels Company Ltd.,Equity,0.96%
Sterling & Wilson Renewable Energy Ltd. (Erstwhile Sterling & Wilson Solar Ltd.),Equity,0.95%
Ganesha Ecosphere Ltd.,Equity,0.95%
IDFC Ltd.,Equity,0.95%
SBI Life Insurance Company Ltd.,Equity,0.95%
Suzlon Energy Ltd.,Equity,0.93%
Gujarat Fluorochemicals Ltd.,Equity,0.93%
Westlife Foodworld Ltd.,Equity,0.92%
Hindustan Unilever Ltd.,Equity,0.88%
Sobha Ltd.,Equity,0.87%
Cera Sanitaryware Ltd.,Equity,0.86%
PI Industries Ltd.,Equity,0.86%
Timken India Ltd.,Equity,0.86%
Wonderla Holidays Ltd.,Equity,0.85%
Karnataka Bank Ltd.,Equity,0.85%
PNC Infratech Ltd.,Equity,0.85%
Max Financial Services Ltd.,Equity,0.85%
Thomas Cook (India) Ltd.,Equity,0.83%
Page Industries Ltd.,Equity,0.82%
Hindustan Aeronautics Ltd.,Equity,0.82%
Blue Dart Express Ltd.,Equity,0.81%
ABB India Ltd.,Equity,0.80%
Share India Securities Ltd.,Equity,0.78%
Bajaj Finance Ltd.,Equity,0.78%
Ccl Products (India) Ltd.,Equity,0.76%
Credo Brands Marketing Ltd.,Equity,0.75%
The Jammu & Kashmir Bank Ltd.,Equity,0.74%
Multi Commodity Exchange of India Ltd.,Equity,0.74%
Data Patterns (India) Ltd.,Equity,0.73%
Taj G V K Hotels & Resorts Ltd.,Equity,0.72%
Bharat Petroleum Corporation Ltd.,Equity,0.64%
Derivative,Others,-2.20%
